#         t         u1         u2         u3        s11        s12        s13        s22        s23        s33
 0.0000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 2.5350e-01 -2.050e-03  1.500e-04 -9.000e-05  3.030e-03  3.200e-04  8.300e-06  1.300e-04  1.000e-07  3.270e-05
 5.1280e-01 -3.780e-03  2.780e-04 -1.620e-04  5.580e-03  5.890e-04  1.530e-05  2.400e-04  1.800e-07  6.020e-05
 7.7250e-01 -5.220e-03  3.850e-04 -2.230e-04  7.700e-03  8.150e-04  2.090e-05  3.300e-04  2.500e-07  8.310e-05
 1.0350e+00 -6.460e-03  4.780e-04 -2.630e-04  9.510e-03  1.010e-03  2.560e-05  4.000e-04  3.000e-07  1.026e-04
 1.2980e+00 -7.510e-03  5.570e-04 -3.030e-04  1.106e-02  1.177e-03  2.950e-05  4.700e-04  3.100e-07  1.194e-04
 1.5620e+00 -8.420e-03  6.250e-04 -3.330e-04  1.239e-02  1.323e-03  3.330e-05  5.300e-04  2.500e-07  1.340e-04
 1.8270e+00 -9.220e-03  6.840e-04 -3.530e-04  1.355e-02  1.452e-03  3.600e-05  5.700e-04  3.100e-07  1.462e-04
 2.0910e+00 -9.920e-03  7.360e-04 -3.730e-04  1.458e-02  1.569e-03  3.900e-05  6.200e-04  3.000e-08  1.578e-04
 2.3580e+00 -1.056e-02  7.830e-04 -3.930e-04  1.550e-02  1.675e-03  4.010e-05  6.500e-04  2.900e-07  1.646e-04
 2.6240e+00 -1.113e-02  8.250e-04 -4.030e-04  1.633e-02  1.770e-03  4.340e-05  6.900e-04 -6.000e-08  1.764e-04
 2.8910e+00 -1.163e-02  8.630e-04 -4.130e-04  1.707e-02  1.856e-03  4.580e-05  7.200e-04 -7.600e-07  1.853e-04
 3.1570e+00 -1.207e-02  8.990e-04 -4.230e-04  1.773e-02  1.935e-03  4.880e-05  7.400e-04  1.000e-07  1.911e-04
