#         t         u1         u2         u3        s11        s12        s13        s22        s23        s33
 0.0000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 2.1160e-01 -1.840e-03  2.360e-04 -1.060e-04  2.450e-03  3.830e-04  7.100e-06  3.100e-04  2.100e-07  2.600e-05
 4.2440e-01 -3.400e-03  4.360e-04 -1.930e-04  4.550e-03  7.060e-04  1.290e-05  5.700e-04  3.900e-07  4.660e-05
 6.3820e-01 -4.750e-03  6.070e-04 -2.530e-04  6.350e-03  9.820e-04  1.790e-05  7.800e-04  2.800e-07  6.750e-05
 8.5270e-01 -5.920e-03  7.440e-04 -3.130e-04  7.920e-03  1.216e-03  2.250e-05  9.700e-04  8.900e-07  8.420e-05
 1.0680e+00 -6.950e-03  8.660e-04 -3.530e-04  9.290e-03  1.419e-03  2.460e-05  1.120e-03 -1.320e-06  9.790e-05
 1.2830e+00 -7.850e-03  9.710e-04 -3.930e-04  1.051e-02  1.596e-03  2.920e-05  1.250e-03  5.900e-07  1.123e-04
 1.4980e+00 -8.650e-03  1.056e-03 -4.330e-04  1.159e-02  1.752e-03  3.230e-05  1.360e-03  9.900e-07  1.291e-04
 1.7200e+00 -9.390e-03  1.133e-03 -4.630e-04  1.258e-02  1.895e-03  3.500e-05  1.460e-03  1.060e-06  1.333e-04
 1.9420e+00 -1.004e-02  1.215e-03 -4.830e-04  1.347e-02  2.024e-03  3.650e-05  1.540e-03 -6.000e-08  1.405e-04
 2.1640e+00 -1.065e-02  1.263e-03 -5.130e-04  1.426e-02  2.131e-03  4.180e-05  1.630e-03  4.320e-06  1.620e-04
 2.3860e+00 -1.118e-02  1.316e-03 -5.230e-04  1.497e-02  2.238e-03  4.150e-05  1.700e-03  5.200e-07  1.551e-04
 2.6080e+00 -1.165e-02  1.376e-03 -5.430e-04  1.558e-02  2.311e-03  4.670e-05  1.770e-03  5.270e-06  1.769e-04
 2.8310e+00 -1.210e-02  1.427e-03 -5.530e-04  1.621e-02  2.439e-03  4.220e-05  1.840e-03 -3.090e-06  1.720e-04
 3.0530e+00  4.321e-02  2.913e-02 -1.059e-02 -1.174e-01 -6.813e-02 -1.140e-03 -1.539e-02 -4.977e-04 -2.627e-03
