#         t         u1         u2         u3        s11        s12        s13        s22        s23        s33
 0.0000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 3.6090e-04  0.000e+00 -3.000e-05  0.000e+00 -1.000e-05  3.000e-05 -1.000e-07  0.000e+00  0.000e+00 -1.000e-06
 7.2170e-04  1.000e-06 -6.000e-05  0.000e+00 -2.000e-05  6.000e-05 -1.000e-07 -1.000e-04  0.000e+00 -1.000e-06
 1.0820e-03  1.000e-06 -9.000e-05 -1.000e-05 -3.000e-05  9.000e-05 -1.000e-07 -1.000e-04  0.000e+00 -1.000e-06
 1.4430e-03  2.000e-06 -1.200e-04 -1.000e-05 -4.000e-05  1.200e-04 -2.000e-07 -1.000e-04  0.000e+00 -1.000e-06
 1.8040e-03  2.000e-06 -1.500e-04 -1.000e-05 -5.000e-05  1.400e-04 -2.000e-07 -2.000e-04  0.000e+00 -2.000e-06
 2.1640e-03  3.000e-06 -1.800e-04 -1.000e-05 -6.000e-05  1.700e-04 -2.000e-07 -2.000e-04  0.000e+00 -2.000e-06
 2.5250e-03  4.000e-06 -2.100e-04 -1.000e-05 -7.000e-05  2.000e-04 -2.000e-07 -2.000e-04  0.000e+00 -2.000e-06
 2.8850e-03  4.000e-06 -2.400e-04 -1.000e-05 -8.000e-05  2.300e-04 -3.000e-07 -3.000e-04  0.000e+00 -3.000e-06
 3.2460e-03  5.000e-06 -2.600e-04 -1.000e-05 -9.000e-05  2.500e-04 -3.000e-07 -3.000e-04  0.000e+00 -3.000e-06
 3.6060e-03  5.000e-06 -2.900e-04 -1.000e-05 -1.000e-04  2.800e-04 -3.000e-07 -4.000e-04  0.000e+00 -3.000e-06
 3.9660e-03  6.000e-06 -3.200e-04 -1.000e-05 -1.100e-04  3.000e-04 -3.000e-07 -4.000e-04  0.000e+00 -4.000e-06
 4.3270e-03  6.000e-06 -3.400e-04 -1.000e-05 -1.200e-04  3.300e-04 -4.000e-07 -4.000e-04  0.000e+00 -4.000e-06
 4.6870e-03  7.000e-06 -3.700e-04 -2.000e-05 -1.300e-04  3.600e-04 -4.000e-07 -5.000e-04  0.000e+00 -4.000e-06
 5.0470e-03  7.000e-06 -4.000e-04 -2.000e-05 -1.400e-04  3.800e-04 -4.000e-07 -5.000e-04  0.000e+00 -5.000e-06
 5.4070e-03  8.000e-06 -4.200e-04 -2.000e-05 -1.500e-04  4.100e-04 -4.000e-07 -5.000e-04  0.000e+00 -5.000e-06
 5.7670e-03  8.000e-06 -4.500e-04 -2.000e-05 -1.600e-04  4.300e-04 -5.000e-07 -5.000e-04  0.000e+00 -5.000e-06
 6.1270e-03  9.000e-06 -4.800e-04 -2.000e-05 -1.600e-04  4.600e-04 -5.000e-07 -6.000e-04  0.000e+00 -5.000e-06
 6.4880e-03  9.000e-06 -5.000e-04 -2.000e-05 -1.700e-04  4.800e-04 -5.000e-07 -6.000e-04  0.000e+00 -6.000e-06
 6.8480e-03  1.000e-05 -5.300e-04 -2.000e-05 -1.800e-04  5.000e-04 -5.000e-07 -6.000e-04  0.000e+00 -6.000e-06
 7.2080e-03  1.000e-05 -5.500e-04 -2.000e-05 -1.900e-04  5.300e-04 -6.000e-07 -7.000e-04  0.000e+00 -7.000e-06
 7.5680e-03  1.100e-05 -5.800e-04 -2.000e-05 -2.000e-04  5.500e-04 -6.000e-07 -7.000e-04  0.000e+00 -7.000e-06
 7.9280e-03  1.100e-05 -6.000e-04 -2.000e-05 -2.100e-04  5.700e-04 -6.000e-07 -7.000e-04  0.000e+00 -7.000e-06
 8.2880e-03  1.200e-05 -6.300e-04 -3.000e-05 -2.200e-04  6.000e-04 -6.000e-07 -8.000e-04 -1.000e-06 -8.000e-06
 8.6470e-03  1.200e-05 -6.500e-04 -3.000e-05 -2.200e-04  6.200e-04 -6.000e-07 -8.000e-04  0.000e+00 -8.000e-06
 9.0070e-03  1.300e-05 -6.700e-04 -3.000e-05 -2.300e-04  6.400e-04 -7.000e-07 -8.000e-04 -1.000e-06 -8.000e-06
 9.3670e-03  1.300e-05 -7.000e-04 -3.000e-05 -2.400e-04  6.700e-04 -7.000e-07 -9.000e-04 -1.000e-06 -9.000e-06
 9.7270e-03  1.400e-05 -7.200e-04 -3.000e-05 -2.500e-04  6.900e-04 -7.000e-07 -9.000e-04 -1.000e-06 -9.000e-06
 1.0090e-02  1.400e-05 -7.500e-04 -3.000e-05 -2.600e-04  7.100e-04 -7.000e-07 -9.000e-04 -1.000e-06 -9.000e-06
 1.0450e-02  1.500e-05 -7.700e-04 -3.000e-05 -2.700e-04  7.300e-04 -7.000e-07 -9.000e-04 -1.000e-06 -9.000e-06
 1.0810e-02  1.500e-05 -7.900e-04 -3.000e-05 -2.700e-04  7.600e-04 -8.000e-07 -1.000e-03 -1.000e-06 -9.000e-06
 1.1170e-02  1.600e-05 -8.200e-04 -3.000e-05 -2.800e-04  7.800e-04 -8.000e-07 -1.000e-03 -1.000e-06 -1.000e-05
 1.1530e-02  1.600e-05 -8.400e-04 -3.000e-05 -2.900e-04  8.000e-04 -8.000e-07 -1.000e-03 -1.000e-06 -1.000e-05
 1.1890e-02  1.700e-05 -8.600e-04 -3.000e-05 -3.000e-04  8.200e-04 -8.000e-07 -1.100e-03 -1.000e-06 -1.000e-05
 1.2250e-02  1.700e-05 -8.800e-04 -4.000e-05 -3.000e-04  8.400e-04 -9.000e-07 -1.100e-03 -2.000e-06 -1.100e-05
 1.2610e-02  1.800e-05 -9.100e-04 -4.000e-05 -3.100e-04  8.600e-04 -9.000e-07 -1.100e-03 -1.000e-06 -1.100e-05
 1.2970e-02  1.800e-05 -9.300e-04 -4.000e-05 -3.200e-04  8.800e-04 -9.000e-07 -1.100e-03 -2.000e-06 -1.100e-05
 1.3320e-02  1.800e-05 -9.500e-04 -4.000e-05 -3.300e-04  9.100e-04 -9.000e-07 -1.200e-03 -2.000e-06 -1.200e-05
 1.3680e-02  1.900e-05 -9.700e-04 -4.000e-05 -3.300e-04  9.300e-04 -9.000e-07 -1.200e-03 -2.000e-06 -1.200e-05
 1.4040e-02  1.900e-05 -9.900e-04 -4.000e-05 -3.400e-04  9.500e-04 -9.000e-07 -1.200e-03 -2.000e-06 -1.200e-05
 1.4400e-02  2.000e-05 -1.020e-03 -4.000e-05 -3.500e-04  9.700e-04 -9.000e-07 -1.200e-03 -2.000e-06 -1.200e-05
 1.4760e-02  2.000e-05 -1.040e-03 -4.000e-05 -3.600e-04  9.900e-04 -1.000e-06 -1.300e-03 -2.000e-06 -1.300e-05
 1.5120e-02  2.100e-05 -1.060e-03 -4.000e-05 -3.600e-04  1.010e-03 -1.000e-06 -1.300e-03 -2.000e-06 -1.300e-05
 1.5480e-02  2.100e-05 -1.080e-03 -4.000e-05 -3.700e-04  1.030e-03 -1.000e-06 -1.300e-03 -2.000e-06 -1.300e-05
 1.5840e-02  2.200e-05 -1.100e-03 -4.000e-05 -3.800e-04  1.050e-03 -1.000e-06 -1.400e-03 -2.000e-06 -1.400e-05
 1.6200e-02  2.200e-05 -1.120e-03 -4.000e-05 -3.900e-04  1.070e-03 -1.000e-06 -1.400e-03 -2.000e-06 -1.400e-05
 1.6560e-02  2.200e-05 -1.140e-03 -5.000e-05 -3.900e-04  1.090e-03 -1.100e-06 -1.400e-03 -2.000e-06 -1.400e-05
 1.6920e-02  2.300e-05 -1.160e-03 -5.000e-05 -4.000e-04  1.110e-03 -1.100e-06 -1.400e-03 -2.000e-06 -1.500e-05
 1.7280e-02  2.300e-05 -1.180e-03 -5.000e-05 -4.100e-04  1.130e-03 -1.100e-06 -1.500e-03 -3.000e-06 -1.500e-05
 1.7640e-02  2.400e-05 -1.200e-03 -5.000e-05 -4.100e-04  1.140e-03 -1.100e-06 -1.500e-03 -3.000e-06 -1.500e-05
 1.8000e-02  2.400e-05 -1.220e-03 -5.000e-05 -4.200e-04  1.160e-03 -1.100e-06 -1.500e-03 -2.000e-06 -1.500e-05
 1.8360e-02  2.400e-05 -1.240e-03 -5.000e-05 -4.300e-04  1.180e-03 -1.200e-06 -1.500e-03 -2.000e-06 -1.600e-05
 1.8720e-02  2.500e-05 -1.260e-03 -5.000e-05 -4.300e-04  1.200e-03 -1.200e-06 -1.600e-03 -2.000e-06 -1.600e-05
 1.9080e-02  2.500e-05 -1.280e-03 -5.000e-05 -4.400e-04  1.220e-03 -1.200e-06 -1.600e-03 -2.000e-06 -1.600e-05
 2.0170e-02  2.600e-05 -1.340e-03 -5.000e-05 -4.600e-04  1.280e-03 -1.300e-06 -1.600e-03 -2.000e-06 -1.700e-05
 2.1260e-02  2.800e-05 -1.400e-03 -6.000e-05 -4.800e-04  1.330e-03 -1.300e-06 -1.700e-03 -2.000e-06 -1.700e-05
 2.2360e-02  2.900e-05 -1.460e-03 -6.000e-05 -5.000e-04  1.380e-03 -1.400e-06 -1.800e-03 -2.000e-06 -1.800e-05
 2.3460e-02  3.000e-05 -1.510e-03 -6.000e-05 -5.200e-04  1.440e-03 -1.400e-06 -1.900e-03 -2.000e-06 -1.900e-05
 2.4560e-02  3.100e-05 -1.570e-03 -6.000e-05 -5.400e-04  1.490e-03 -1.500e-06 -1.900e-03 -2.000e-06 -2.000e-05
 2.5660e-02  3.200e-05 -1.620e-03 -7.000e-05 -5.500e-04  1.540e-03 -1.500e-06 -2.000e-03 -2.000e-06 -2.000e-05
 2.6760e-02  3.300e-05 -1.670e-03 -7.000e-05 -5.700e-04  1.590e-03 -1.600e-06 -2.100e-03 -2.000e-06 -2.100e-05
 2.7860e-02  3.400e-05 -1.720e-03 -7.000e-05 -5.900e-04  1.640e-03 -1.600e-06 -2.100e-03 -2.000e-06 -2.100e-05
 2.8970e-02  3.500e-05 -1.780e-03 -7.000e-05 -6.100e-04  1.680e-03 -1.700e-06 -2.200e-03 -2.000e-06 -2.200e-05
 3.0080e-02  3.600e-05 -1.830e-03 -7.000e-05 -6.200e-04  1.730e-03 -1.800e-06 -2.200e-03 -2.000e-06 -2.300e-05
 3.1190e-02  3.700e-05 -1.880e-03 -8.000e-05 -6.400e-04  1.780e-03 -1.800e-06 -2.300e-03 -2.000e-06 -2.300e-05
 3.2300e-02  3.800e-05 -1.920e-03 -8.000e-05 -6.600e-04  1.820e-03 -1.900e-06 -2.400e-03 -3.000e-06 -2.400e-05
 3.3410e-02  3.900e-05 -1.970e-03 -8.000e-05 -6.700e-04  1.870e-03 -1.900e-06 -2.400e-03 -3.000e-06 -2.400e-05
 3.4530e-02  4.000e-05 -2.020e-03 -8.000e-05 -6.900e-04  1.910e-03 -2.000e-06 -2.500e-03 -3.000e-06 -2.500e-05
 3.5650e-02  4.100e-05 -2.070e-03 -8.000e-05 -7.000e-04  1.960e-03 -2.000e-06 -2.500e-03 -3.000e-06 -2.500e-05
 3.6760e-02  4.200e-05 -2.110e-03 -9.000e-05 -7.200e-04  2.000e-03 -2.000e-06 -2.600e-03 -2.000e-06 -2.600e-05
 3.7880e-02  4.300e-05 -2.160e-03 -9.000e-05 -7.300e-04  2.040e-03 -2.100e-06 -2.600e-03 -2.000e-06 -2.600e-05
 3.9000e-02  4.400e-05 -2.200e-03 -9.000e-05 -7.500e-04  2.080e-03 -2.100e-06 -2.700e-03 -3.000e-06 -2.700e-05
 4.0130e-02  4.500e-05 -2.240e-03 -9.000e-05 -7.600e-04  2.120e-03 -2.200e-06 -2.800e-03 -3.000e-06 -2.700e-05
 4.1250e-02  4.500e-05 -2.290e-03 -9.000e-05 -7.800e-04  2.160e-03 -2.200e-06 -2.800e-03 -3.000e-06 -2.800e-05
 4.2380e-02  4.600e-05 -2.330e-03 -1.000e-04 -7.900e-04  2.200e-03 -2.300e-06 -2.900e-03 -3.000e-06 -2.800e-05
 4.3510e-02  4.700e-05 -2.370e-03 -1.000e-04 -8.000e-04  2.240e-03 -2.300e-06 -2.900e-03 -3.000e-06 -2.900e-05
 4.4640e-02  4.800e-05 -2.410e-03 -1.000e-04 -8.200e-04  2.280e-03 -2.300e-06 -3.000e-03 -3.000e-06 -2.900e-05
 4.5770e-02  4.900e-05 -2.450e-03 -1.000e-04 -8.300e-04  2.310e-03 -2.400e-06 -3.000e-03 -4.000e-06 -3.000e-05
 4.6900e-02  5.000e-05 -2.490e-03 -1.000e-04 -8.400e-04  2.350e-03 -2.400e-06 -3.100e-03 -3.000e-06 -3.000e-05
 4.8030e-02  5.000e-05 -2.530e-03 -1.100e-04 -8.600e-04  2.390e-03 -2.500e-06 -3.100e-03 -3.000e-06 -3.100e-05
 4.9170e-02  5.100e-05 -2.570e-03 -1.100e-04 -8.700e-04  2.420e-03 -2.500e-06 -3.100e-03 -3.000e-06 -3.100e-05
 5.0300e-02  5.200e-05 -2.600e-03 -1.100e-04 -8.800e-04  2.460e-03 -2.500e-06 -3.200e-03 -3.000e-06 -3.100e-05
 5.1440e-02  5.300e-05 -2.640e-03 -1.100e-04 -8.900e-04  2.490e-03 -2.600e-06 -3.200e-03 -3.000e-06 -3.200e-05
 5.2580e-02  5.300e-05 -2.680e-03 -1.100e-04 -9.100e-04  2.530e-03 -2.600e-06 -3.300e-03 -4.000e-06 -3.200e-05
 5.3720e-02  5.400e-05 -2.710e-03 -1.100e-04 -9.200e-04  2.560e-03 -2.700e-06 -3.300e-03 -4.000e-06 -3.300e-05
 5.4860e-02  5.500e-05 -2.750e-03 -1.200e-04 -9.300e-04  2.590e-03 -2.700e-06 -3.400e-03 -4.000e-06 -3.300e-05
 5.6010e-02  5.500e-05 -2.780e-03 -1.200e-04 -9.400e-04  2.630e-03 -2.800e-06 -3.400e-03 -4.000e-06 -3.400e-05
 5.7150e-02  5.600e-05 -2.820e-03 -1.200e-04 -9.500e-04  2.660e-03 -2.800e-06 -3.500e-03 -4.000e-06 -3.400e-05
 5.8300e-02  5.700e-05 -2.850e-03 -1.200e-04 -9.600e-04  2.690e-03 -2.800e-06 -3.500e-03 -4.000e-06 -3.500e-05
 5.9440e-02  5.700e-05 -2.890e-03 -1.200e-04 -9.800e-04  2.720e-03 -2.900e-06 -3.500e-03 -4.000e-06 -3.500e-05
 6.0590e-02  5.800e-05 -2.920e-03 -1.200e-04 -9.900e-04  2.750e-03 -2.900e-06 -3.600e-03 -4.000e-06 -3.600e-05
 6.1740e-02  5.900e-05 -2.950e-03 -1.200e-04 -1.000e-03  2.780e-03 -2.900e-06 -3.600e-03 -5.000e-06 -3.600e-05
 6.2900e-02  5.900e-05 -2.980e-03 -1.300e-04 -1.010e-03  2.810e-03 -2.900e-06 -3.700e-03 -5.000e-06 -3.600e-05
 6.4050e-02  6.000e-05 -3.020e-03 -1.300e-04 -1.020e-03  2.840e-03 -3.000e-06 -3.700e-03 -5.000e-06 -3.600e-05
 6.5200e-02  6.100e-05 -3.050e-03 -1.300e-04 -1.030e-03  2.870e-03 -3.000e-06 -3.700e-03 -5.000e-06 -3.700e-05
