#         t         u1         u2         u3        s11        s12        s13        s22        s23        s33
 0.0000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 3.6090e-04 -1.000e-04  2.000e-05  2.000e-05  1.000e-04 -3.000e-05 -1.000e-06  0.000e+00 -6.000e-07  2.000e-06
 7.2170e-04 -2.000e-04  4.000e-05  4.000e-05  3.000e-04 -6.000e-05 -2.000e-06  0.000e+00 -1.100e-06  4.000e-06
 1.0820e-03 -2.000e-04  7.000e-05  5.000e-05  4.000e-04 -9.000e-05 -3.000e-06  0.000e+00 -1.700e-06  6.000e-06
 1.4430e-03 -3.000e-04  9.000e-05  7.000e-05  5.000e-04 -1.300e-04 -4.000e-06 -1.000e-04 -2.300e-06  7.000e-06
 1.8040e-03 -4.000e-04  1.100e-04  8.000e-05  7.000e-04 -1.600e-04 -5.000e-06 -1.000e-04 -2.900e-06  9.000e-06
 2.1640e-03 -5.000e-04  1.300e-04  1.000e-04  8.000e-04 -1.900e-04 -6.000e-06 -1.000e-04 -3.500e-06  1.000e-05
 2.5250e-03 -5.000e-04  1.500e-04  1.100e-04  9.000e-04 -2.200e-04 -7.000e-06 -1.000e-04 -4.100e-06  1.200e-05
 2.8850e-03 -6.000e-04  1.700e-04  1.300e-04  1.000e-03 -2.500e-04 -8.000e-06 -1.000e-04 -4.600e-06  1.300e-05
 3.2460e-03 -7.000e-04  1.900e-04  1.400e-04  1.200e-03 -2.800e-04 -9.000e-06 -1.000e-04 -5.200e-06  1.500e-05
 3.6060e-03 -8.000e-04  2.100e-04  1.600e-04  1.300e-03 -3.100e-04 -1.000e-05 -1.000e-04 -5.700e-06  1.600e-05
 3.9660e-03 -8.000e-04  2.300e-04  1.700e-04  1.400e-03 -3.400e-04 -1.100e-05 -1.000e-04 -6.300e-06  1.800e-05
 4.3270e-03 -9.000e-04  2.500e-04  1.900e-04  1.500e-03 -3.700e-04 -1.200e-05 -1.000e-04 -6.900e-06  1.900e-05
 4.6870e-03 -1.000e-03  2.700e-04  2.000e-04  1.600e-03 -4.000e-04 -1.300e-05 -1.000e-04 -7.400e-06  2.100e-05
