#         t         u1         u2         u3        s11        s12        s13        s22        s23        s33
 0.0000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 3.9140e-04 -1.000e-06  0.000e+00  1.000e-06 -1.000e-06  0.000e+00  0.000e+00  0.000e+00  1.000e-08 -1.000e-07
 7.8280e-04 -2.000e-06  0.000e+00  2.000e-06 -1.000e-06  1.000e-06  0.000e+00 -1.000e-05  2.000e-08 -1.000e-07
 1.1740e-03 -3.000e-06  0.000e+00  2.000e-06 -2.000e-06  2.000e-06  0.000e+00 -1.000e-05  2.000e-08 -1.000e-07
 1.5660e-03 -4.000e-06 -1.000e-05  3.000e-06 -2.000e-06  3.000e-06  0.000e+00 -1.000e-05  2.000e-08 -1.000e-07
 1.9570e-03 -4.000e-06 -1.000e-05  4.000e-06 -3.000e-06  3.000e-06  0.000e+00 -2.000e-05  2.000e-08 -1.000e-07
 2.3480e-03 -5.000e-06 -1.000e-05  5.000e-06 -3.000e-06  4.000e-06 -1.000e-08 -2.000e-05  0.000e+00 -1.000e-07
 2.7400e-03 -5.000e-06 -1.000e-05  5.000e-06 -4.000e-06  5.000e-06 -1.000e-08 -2.000e-05 -1.000e-08 -2.000e-07
 3.1310e-03 -6.000e-06 -2.000e-05  6.000e-06 -4.000e-06  5.000e-06 -1.000e-08 -3.000e-05  2.000e-08 -2.000e-07
 3.5220e-03 -6.000e-06 -2.000e-05  7.000e-06 -5.000e-06  6.000e-06 -1.000e-08 -3.000e-05  5.000e-08 -1.000e-07
 3.9140e-03 -7.000e-06 -2.000e-05  7.000e-06 -5.000e-06  7.000e-06 -2.000e-08 -3.000e-05  8.000e-08 -2.000e-07
 4.3050e-03 -7.000e-06 -2.000e-05  8.000e-06 -5.000e-06  7.000e-06 -2.000e-08 -4.000e-05  1.000e-07 -1.000e-07
 4.6960e-03 -8.000e-06 -3.000e-05  9.000e-06 -6.000e-06  8.000e-06 -2.000e-08 -4.000e-05  1.300e-07 -1.000e-07
 5.0870e-03 -8.000e-06 -3.000e-05  9.000e-06 -6.000e-06  8.000e-06 -3.000e-08 -4.000e-05  1.500e-07 -1.000e-07
 5.4790e-03 -8.000e-06 -3.000e-05  1.000e-05 -7.000e-06  9.000e-06 -3.000e-08 -5.000e-05  1.700e-07 -1.000e-07
 5.8700e-03 -9.000e-06 -3.000e-05  1.000e-05 -7.000e-06  1.000e-05 -3.000e-08 -5.000e-05  1.900e-07 -1.000e-07
 6.2610e-03 -9.000e-06 -4.000e-05  1.100e-05 -8.000e-06  1.000e-05 -4.000e-08 -5.000e-05  2.000e-07 -1.000e-07
 6.6520e-03 -1.000e-05 -4.000e-05  1.200e-05 -8.000e-06  1.100e-05 -4.000e-08 -6.000e-05  2.200e-07 -2.000e-07
 7.0430e-03 -1.000e-05 -4.000e-05  1.200e-05 -8.000e-06  1.200e-05 -4.000e-08 -6.000e-05  2.300e-07 -2.000e-07
 7.4350e-03 -1.000e-05 -4.000e-05  1.300e-05 -9.000e-06  1.200e-05 -5.000e-08 -6.000e-05  2.400e-07 -2.000e-07
 7.8260e-03 -1.100e-05 -4.000e-05  1.300e-05 -9.000e-06  1.300e-05 -5.000e-08 -7.000e-05  2.500e-07 -2.000e-07
 8.2170e-03 -1.100e-05 -5.000e-05  1.400e-05 -1.000e-05  1.300e-05 -6.000e-08 -7.000e-05  2.600e-07 -2.000e-07
 8.6080e-03 -1.100e-05 -5.000e-05  1.500e-05 -1.000e-05  1.400e-05 -6.000e-08 -7.000e-05  2.700e-07 -2.000e-07
 8.9990e-03 -1.200e-05 -5.000e-05  1.500e-05 -1.000e-05  1.500e-05 -6.000e-08 -8.000e-05  2.700e-07 -2.000e-07
 9.3900e-03 -1.200e-05 -5.000e-05  1.600e-05 -1.100e-05  1.500e-05 -6.000e-08 -8.000e-05  3.200e-07 -2.000e-07
 9.7810e-03 -1.200e-05 -6.000e-05  1.600e-05 -1.100e-05  1.600e-05 -7.000e-08 -8.000e-05  3.200e-07 -2.000e-07
 1.0170e-02 -1.300e-05 -6.000e-05  1.700e-05 -1.100e-05  1.600e-05 -7.000e-08 -9.000e-05  3.200e-07 -2.000e-07
 1.0560e-02 -1.300e-05 -6.000e-05  1.800e-05 -1.200e-05  1.700e-05 -7.000e-08 -9.000e-05  3.700e-07 -2.000e-07
 1.0950e-02 -1.300e-05 -6.000e-05  1.800e-05 -1.200e-05  1.700e-05 -7.000e-08 -9.000e-05  3.700e-07 -2.000e-07
 1.1350e-02 -1.300e-05 -6.000e-05  1.900e-05 -1.300e-05  1.800e-05 -7.000e-08 -9.000e-05  3.600e-07 -2.000e-07
 1.1740e-02 -1.400e-05 -7.000e-05  1.900e-05 -1.300e-05  1.800e-05 -7.000e-08 -1.000e-04  3.500e-07 -2.000e-07
 1.2130e-02 -1.400e-05 -7.000e-05  2.000e-05 -1.300e-05  1.900e-05 -7.000e-08 -1.000e-04  3.800e-07 -2.000e-07
 1.2520e-02 -1.400e-05 -7.000e-05  2.000e-05 -1.400e-05  2.000e-05 -7.000e-08 -1.000e-04  3.700e-07 -3.000e-07
 1.2910e-02 -1.400e-05 -7.000e-05  2.100e-05 -1.400e-05  2.000e-05 -8.000e-08 -1.100e-04  3.600e-07 -3.000e-07
