#         t         u1         u2         u3        s11        s12        s13        s22        s23        s33
 0.0000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 2.1160e-01 -1.500e-05 -2.200e-04  3.600e-05 -2.200e-05  6.300e-05 -1.300e-07 -3.100e-04  8.400e-07 -2.400e-06
 4.2320e-01 -2.300e-05 -3.900e-04  6.400e-05 -3.700e-05  1.130e-04 -2.000e-07 -5.500e-04  1.490e-06 -1.300e-06
 6.3480e-01 -2.500e-05 -5.300e-04  8.500e-05 -4.800e-05  1.530e-04  0.000e+00 -7.500e-04  2.320e-06  4.400e-06
 8.4640e-01 -4.600e-05 -6.500e-04  1.040e-04 -5.700e-05  1.850e-04 -5.500e-07 -9.100e-04  2.020e-06  7.500e-06
 1.0580e+00 -5.500e-05 -7.400e-04  1.190e-04 -6.500e-05  2.110e-04  1.400e-07 -1.040e-03  3.550e-06  8.600e-06
 1.2700e+00 -7.100e-05 -8.200e-04  1.320e-04 -7.300e-05  2.330e-04  1.300e-07 -1.150e-03  3.930e-06  4.700e-06
 1.4810e+00 -7.500e-05 -8.900e-04  1.410e-04 -8.000e-05  2.500e-04 -1.100e-06 -1.240e-03  2.470e-06 -2.900e-06
 1.6930e+00 -7.500e-05 -9.400e-04  1.480e-04 -8.400e-05  2.650e-04 -7.700e-07 -1.320e-03  3.980e-06 -2.500e-06
 1.9150e+00 -9.200e-05 -9.900e-04  1.570e-04 -8.600e-05  2.760e-04  2.440e-06 -1.380e-03  7.440e-06  1.530e-05
 2.1370e+00 -8.700e-05 -1.040e-03  1.620e-04 -9.200e-05  2.920e-04 -1.920e-06 -1.450e-03  2.610e-06 -1.500e-06
 2.3590e+00 -7.700e-05 -1.070e-03  1.660e-04 -9.000e-05  3.050e-04 -8.680e-06 -1.510e-03 -5.670e-06 -2.600e-06
 2.5820e+00 -9.400e-05 -1.120e-03  1.730e-04 -9.300e-05  3.140e-04 -8.400e-07 -1.570e-03  4.220e-06  1.210e-05
 2.8040e+00 -1.080e-04 -1.160e-03  1.800e-04 -9.200e-05  3.290e-04 -6.280e-06 -1.610e-03 -8.550e-06  2.340e-05
 3.0260e+00 -1.220e-04 -1.210e-03  1.850e-04 -1.040e-04  3.410e-04 -7.050e-06 -1.680e-03 -6.800e-06  1.400e-06
