#         t         u1         u2         u3        s11        s12        s13        s22        s23        s33
 0.0000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 2.7780e-02 -4.000e-06 -2.400e-04  2.630e-04 -1.150e-04  2.600e-05 -5.500e-07 -2.300e-04  6.800e-07  3.400e-06
 5.5560e-02 -7.000e-06 -4.600e-04  5.200e-04 -2.270e-04  5.000e-05 -1.100e-06 -4.500e-04  1.320e-06  6.900e-06
 8.3330e-02 -1.000e-05 -6.800e-04  7.720e-04 -3.370e-04  7.300e-05 -1.630e-06 -6.600e-04  1.970e-06  1.020e-05
 1.1110e-01 -1.200e-05 -8.900e-04  1.017e-03 -4.440e-04  9.500e-05 -2.160e-06 -8.700e-04  2.570e-06  1.350e-05
 1.3890e-01 -1.400e-05 -1.090e-03  1.258e-03 -5.480e-04  1.160e-04 -2.690e-06 -1.070e-03  3.180e-06  1.670e-05
 1.6670e-01 -1.600e-05 -1.280e-03  1.493e-03 -6.500e-04  1.360e-04 -3.210e-06 -1.270e-03  3.820e-06  1.990e-05
 1.9440e-01 -1.700e-05 -1.470e-03  1.723e-03 -7.490e-04  1.550e-04 -3.720e-06 -1.470e-03  4.420e-06  2.300e-05
 2.2220e-01 -1.800e-05 -1.650e-03  1.948e-03 -8.470e-04  1.730e-04 -4.240e-06 -1.660e-03  5.000e-06  2.610e-05
 2.5000e-01 -1.800e-05 -1.820e-03  2.169e-03 -9.420e-04  1.900e-04 -4.740e-06 -1.840e-03  5.510e-06  2.900e-05
 2.7780e-01 -1.800e-05 -1.990e-03  2.385e-03 -1.035e-03  2.060e-04 -5.240e-06 -2.020e-03  6.080e-06  3.200e-05
 3.0560e-01 -1.700e-05 -2.150e-03  2.596e-03 -1.127e-03  2.210e-04 -5.710e-06 -2.200e-03  6.660e-06  3.490e-05
 3.3330e-01 -1.700e-05 -2.300e-03  2.804e-03 -1.216e-03  2.360e-04 -6.210e-06 -2.370e-03  7.200e-06  3.780e-05
 3.6110e-01 -1.500e-05 -2.450e-03  3.007e-03 -1.304e-03  2.500e-04 -6.680e-06 -2.540e-03  7.710e-06  4.060e-05
 3.8890e-01 -1.400e-05 -2.590e-03  3.206e-03 -1.390e-03  2.630e-04 -7.150e-06 -2.700e-03  8.240e-06  4.330e-05
 4.1670e-01 -1.200e-05 -2.730e-03  3.401e-03 -1.474e-03  2.760e-04 -7.610e-06 -2.860e-03  8.720e-06  4.610e-05
 4.4440e-01 -9.000e-06 -2.870e-03  3.593e-03 -1.557e-03  2.880e-04 -8.070e-06 -3.020e-03  9.120e-06  4.880e-05
 4.7220e-01 -7.000e-06 -3.000e-03  3.780e-03 -1.638e-03  2.990e-04 -8.530e-06 -3.170e-03  9.560e-06  5.150e-05
 5.0000e-01 -4.000e-06 -3.120e-03  3.964e-03 -1.718e-03  3.100e-04 -8.990e-06 -3.330e-03  9.960e-06  5.410e-05
 5.2780e-01  0.000e+00 -3.250e-03  4.145e-03 -1.796e-03  3.210e-04 -9.440e-06 -3.470e-03  1.038e-05  5.660e-05
 5.5560e-01  4.000e-06 -3.360e-03  4.322e-03 -1.873e-03  3.310e-04 -9.860e-06 -3.620e-03  1.075e-05  5.910e-05
 5.8330e-01  8.000e-06 -3.480e-03  4.496e-03 -1.948e-03  3.400e-04 -1.030e-05 -3.760e-03  1.108e-05  6.160e-05
 6.1110e-01  1.200e-05 -3.590e-03  4.666e-03 -2.022e-03  3.500e-04 -1.073e-05 -3.900e-03  1.152e-05  6.410e-05
 6.3890e-01  1.700e-05 -3.690e-03  4.834e-03 -2.095e-03  3.580e-04 -1.115e-05 -4.040e-03  1.191e-05  6.660e-05
 6.6670e-01  2.300e-05 -3.800e-03  4.998e-03 -2.166e-03  3.670e-04 -1.158e-05 -4.170e-03  1.229e-05  6.900e-05
 6.9440e-01  2.900e-05 -3.900e-03  5.160e-03 -2.236e-03  3.750e-04 -1.198e-05 -4.300e-03  1.259e-05  7.130e-05
 7.2220e-01  3.500e-05 -3.990e-03  5.318e-03 -2.305e-03  3.820e-04 -1.238e-05 -4.430e-03  1.294e-05  7.360e-05
 7.5000e-01  4.100e-05 -4.090e-03  5.473e-03 -2.373e-03  3.900e-04 -1.279e-05 -4.560e-03  1.326e-05  7.590e-05
 7.7780e-01  4.800e-05 -4.180e-03  5.630e-03 -2.440e-03  3.970e-04 -1.317e-05 -4.680e-03  1.359e-05  7.810e-05
 8.0560e-01  5.600e-05 -4.270e-03  5.780e-03 -2.506e-03  4.040e-04 -1.355e-05 -4.800e-03  1.387e-05  8.030e-05
 8.3330e-01  6.300e-05 -4.360e-03  5.920e-03 -2.570e-03  4.110e-04 -1.394e-05 -4.920e-03  1.413e-05  8.240e-05
 8.6110e-01  7.100e-05 -4.440e-03  6.070e-03 -2.634e-03  4.170e-04 -1.432e-05 -5.040e-03  1.447e-05  8.440e-05
 8.8890e-01  8.000e-05 -4.520e-03  6.210e-03 -2.696e-03  4.230e-04 -1.469e-05 -5.160e-03  1.475e-05  8.647e-05
 9.1670e-01  8.900e-05 -4.600e-03  6.350e-03 -2.757e-03  4.290e-04 -1.506e-05 -5.270e-03  1.510e-05  8.856e-05
 9.4440e-01  9.800e-05 -4.680e-03  6.490e-03 -2.818e-03  4.350e-04 -1.542e-05 -5.380e-03  1.543e-05  9.063e-05
 9.7220e-01  1.080e-04 -4.750e-03  6.620e-03 -2.877e-03  4.410e-04 -1.577e-05 -5.490e-03  1.569e-05  9.257e-05
 1.0000e+00  1.180e-04 -4.820e-03  6.750e-03 -2.935e-03  4.460e-04 -1.612e-05 -5.600e-03  1.596e-05  9.456e-05
 1.0280e+00  1.280e-04 -4.890e-03  6.880e-03 -2.993e-03  4.520e-04 -1.646e-05 -5.700e-03  1.622e-05  9.647e-05
 1.0560e+00  1.390e-04 -4.960e-03  7.010e-03 -3.049e-03  4.570e-04 -1.678e-05 -5.810e-03  1.655e-05  9.834e-05
 1.0830e+00  1.500e-04 -5.030e-03  7.140e-03 -3.105e-03  4.620e-04 -1.711e-05 -5.910e-03  1.678e-05  1.002e-04
 1.1110e+00  1.620e-04 -5.100e-03  7.260e-03 -3.160e-03  4.670e-04 -1.743e-05 -6.010e-03  1.706e-05  1.020e-04
 1.1390e+00  1.740e-04 -5.160e-03  7.380e-03 -3.213e-03  4.720e-04 -1.775e-05 -6.110e-03  1.729e-05  1.037e-04
 1.1670e+00  1.860e-04 -5.220e-03  7.500e-03 -3.266e-03  4.770e-04 -1.805e-05 -6.200e-03  1.752e-05  1.055e-04
 1.1940e+00  1.990e-04 -5.280e-03  7.620e-03 -3.318e-03  4.810e-04 -1.836e-05 -6.300e-03  1.773e-05  1.073e-04
 1.2220e+00  2.120e-04 -5.340e-03  7.730e-03 -3.370e-03  4.860e-04 -1.865e-05 -6.390e-03  1.790e-05  1.089e-04
 1.2500e+00  2.250e-04 -5.400e-03  7.850e-03 -3.420e-03  4.900e-04 -1.897e-05 -6.480e-03  1.811e-05  1.107e-04
 1.2780e+00  2.390e-04 -5.450e-03  7.960e-03 -3.470e-03  4.950e-04 -1.926e-05 -6.570e-03  1.836e-05  1.123e-04
 1.3060e+00  2.530e-04 -5.510e-03  8.070e-03 -3.519e-03  4.990e-04 -1.956e-05 -6.660e-03  1.853e-05  1.139e-04
 1.3330e+00  2.680e-04 -5.560e-03  8.180e-03 -3.567e-03  5.030e-04 -1.984e-05 -6.750e-03  1.867e-05  1.154e-04
 1.3610e+00  2.830e-04 -5.610e-03  8.280e-03 -3.614e-03  5.080e-04 -2.011e-05 -6.840e-03  1.883e-05  1.170e-04
 1.3890e+00  2.980e-04 -5.660e-03  8.390e-03 -3.661e-03  5.120e-04 -2.039e-05 -6.920e-03  1.904e-05  1.185e-04
 1.4170e+00  3.140e-04 -5.710e-03  8.490e-03 -3.707e-03  5.160e-04 -2.068e-05 -7.000e-03  1.920e-05  1.199e-04
 1.4440e+00  3.300e-04 -5.760e-03  8.590e-03 -3.752e-03  5.200e-04 -2.095e-05 -7.080e-03  1.934e-05  1.215e-04
 1.4720e+00  3.460e-04 -5.810e-03  8.690e-03 -3.796e-03  5.240e-04 -2.119e-05 -7.160e-03  1.957e-05  1.229e-04
 1.5000e+00  3.630e-04 -5.850e-03  8.780e-03 -3.840e-03  5.280e-04 -2.146e-05 -7.240e-03  1.974e-05  1.243e-04
 1.5280e+00  3.800e-04 -5.900e-03  8.880e-03 -3.883e-03  5.320e-04 -2.172e-05 -7.320e-03  1.990e-05  1.257e-04
 1.5560e+00  3.970e-04 -5.940e-03  8.970e-03 -3.925e-03  5.360e-04 -2.197e-05 -7.400e-03  2.002e-05  1.270e-04
 1.5830e+00  4.150e-04 -5.980e-03  9.070e-03 -3.967e-03  5.400e-04 -2.223e-05 -7.470e-03  2.009e-05  1.283e-04
 1.6110e+00  4.330e-04 -6.030e-03  9.160e-03 -4.008e-03  5.440e-04 -2.248e-05 -7.550e-03  2.023e-05  1.297e-04
 1.6390e+00  4.510e-04 -6.070e-03  9.250e-03 -4.048e-03  5.480e-04 -2.272e-05 -7.620e-03  2.034e-05  1.309e-04
 1.6670e+00  4.700e-04 -6.110e-03  9.330e-03 -4.088e-03  5.520e-04 -2.295e-05 -7.690e-03  2.046e-05  1.321e-04
 1.6940e+00  4.890e-04 -6.150e-03  9.420e-03 -4.127e-03  5.550e-04 -2.317e-05 -7.760e-03  2.060e-05  1.333e-04
 1.7220e+00  5.080e-04 -6.180e-03  9.510e-03 -4.166e-03  5.590e-04 -2.340e-05 -7.830e-03  2.064e-05  1.345e-04
 1.7500e+00  5.280e-04 -6.220e-03  9.590e-03 -4.204e-03  5.630e-04 -2.362e-05 -7.900e-03  2.083e-05  1.357e-04
 1.7780e+00  5.480e-04 -6.260e-03  9.670e-03 -4.241e-03  5.670e-04 -2.383e-05 -7.960e-03  2.095e-05  1.369e-04
 1.8060e+00  5.680e-04 -6.290e-03  9.750e-03 -4.278e-03  5.710e-04 -2.407e-05 -8.030e-03  2.104e-05  1.383e-04
 1.8330e+00  5.890e-04 -6.330e-03  9.830e-03 -4.314e-03  5.740e-04 -2.428e-05 -8.090e-03  2.111e-05  1.396e-04
 1.8610e+00  6.100e-04 -6.360e-03  9.910e-03 -4.349e-03  5.780e-04 -2.449e-05 -8.160e-03  2.125e-05  1.406e-04
 1.8890e+00  6.310e-04 -6.400e-03  9.990e-03 -4.384e-03  5.820e-04 -2.470e-05 -8.220e-03  2.137e-05  1.417e-04
