#         t         u1         u2         u3        s11        s12        s13        s22        s23        s33
 0.0000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 5.5560e-02 -4.000e-04  1.270e-04 -3.000e-04  6.000e-05 -2.350e-04  5.600e-06  3.200e-04  1.900e-07 -5.600e-06
 1.1110e-01 -7.500e-04  2.420e-04 -5.600e-04  8.000e-05 -4.530e-04  1.100e-05  6.000e-04  4.200e-07 -1.080e-05
 1.6670e-01 -1.060e-03  3.460e-04 -7.900e-04  8.000e-05 -6.540e-04  1.640e-05  8.600e-04  6.600e-07 -1.540e-05
 2.2220e-01 -1.340e-03  4.410e-04 -1.000e-03  6.000e-05 -8.420e-04  2.160e-05  1.090e-03  9.800e-07 -1.980e-05
 2.7780e-01 -1.580e-03  5.260e-04 -1.180e-03  2.000e-05 -1.015e-03  2.670e-05  1.310e-03  1.310e-06 -2.380e-05
 3.3330e-01 -1.790e-03  6.040e-04 -1.340e-03 -4.000e-05 -1.177e-03  3.160e-05  1.500e-03  1.660e-06 -2.760e-05
 3.8890e-01 -1.980e-03  6.750e-04 -1.490e-03 -1.100e-04 -1.327e-03  3.630e-05  1.680e-03  2.060e-06 -3.120e-05
 4.4440e-01 -2.150e-03  7.390e-04 -1.620e-03 -1.800e-04 -1.467e-03  4.080e-05  1.850e-03  2.490e-06 -3.440e-05
 5.0000e-01 -2.300e-03  7.980e-04 -1.740e-03 -2.700e-04 -1.597e-03  4.520e-05  2.000e-03  2.940e-06 -3.750e-05
 5.5560e-01 -2.430e-03  8.520e-04 -1.850e-03 -3.500e-04 -1.719e-03  4.950e-05  2.140e-03  3.410e-06 -4.040e-05
 6.1110e-01 -2.540e-03  9.010e-04 -1.950e-03 -4.500e-04 -1.833e-03  5.370e-05  2.280e-03  3.880e-06 -4.320e-05
 6.6670e-01 -2.640e-03  9.460e-04 -2.050e-03 -5.400e-04 -1.939e-03  5.780e-05  2.410e-03  4.370e-06 -4.570e-05
 7.2220e-01 -2.730e-03  9.870e-04 -2.140e-03 -6.400e-04 -2.039e-03  6.160e-05  2.530e-03  4.850e-06 -4.840e-05
 7.7780e-01 -2.800e-03  1.026e-03 -2.220e-03 -7.300e-04 -2.132e-03  6.510e-05  2.640e-03  5.340e-06 -5.080e-05
 8.3330e-01 -2.870e-03  1.061e-03 -2.310e-03 -8.300e-04 -2.219e-03  6.860e-05  2.750e-03  5.860e-06 -5.310e-05
 8.8890e-01 -2.920e-03  1.093e-03 -2.390e-03 -9.200e-04 -2.301e-03  7.180e-05  2.860e-03  6.370e-06 -5.550e-05
 9.4440e-01 -2.970e-03  1.123e-03 -2.460e-03 -1.010e-03 -2.378e-03  7.510e-05  2.960e-03  6.900e-06 -5.770e-05
 1.0000e+00 -3.010e-03  1.151e-03 -2.540e-03 -1.110e-03 -2.450e-03  7.830e-05  3.060e-03  7.420e-06 -5.990e-05
 1.0560e+00 -3.050e-03  1.177e-03 -2.610e-03 -1.190e-03 -2.518e-03  8.140e-05  3.160e-03  7.950e-06 -6.190e-05
 1.1110e+00 -3.080e-03  1.201e-03 -2.680e-03 -1.280e-03 -2.582e-03  8.420e-05  3.250e-03  8.460e-06 -6.400e-05
 1.1670e+00 -3.100e-03  1.223e-03 -2.750e-03 -1.370e-03 -2.642e-03  8.700e-05  3.340e-03  9.000e-06 -6.610e-05
 1.2220e+00 -3.120e-03  1.244e-03 -2.820e-03 -1.450e-03 -2.699e-03  8.970e-05  3.430e-03  9.510e-06 -6.810e-05
 1.2780e+00 -3.130e-03  1.264e-03 -2.890e-03 -1.530e-03 -2.752e-03  9.230e-05  3.510e-03  1.000e-05 -7.020e-05
 1.3330e+00 -3.150e-03  1.282e-03 -2.950e-03 -1.600e-03 -2.802e-03  9.460e-05  3.600e-03  1.049e-05 -7.220e-05
 1.3890e+00 -3.150e-03  1.299e-03 -3.020e-03 -1.670e-03 -2.850e-03  9.700e-05  3.680e-03  1.098e-05 -7.420e-05
 1.4440e+00 -3.160e-03  1.315e-03 -3.090e-03 -1.740e-03 -2.894e-03  9.940e-05  3.760e-03  1.147e-05 -7.610e-05
 1.5000e+00 -3.160e-03  1.331e-03 -3.150e-03 -1.810e-03 -2.936e-03  1.017e-04  3.840e-03  1.198e-05 -7.800e-05
 1.5560e+00 -3.150e-03  1.345e-03 -3.220e-03 -1.880e-03 -2.976e-03  1.038e-04  3.920e-03  1.247e-05 -7.980e-05
 1.6110e+00 -3.150e-03  1.358e-03 -3.290e-03 -1.940e-03 -3.014e-03  1.059e-04  3.990e-03  1.296e-05 -8.180e-05
 1.6670e+00 -3.140e-03  1.371e-03 -3.350e-03 -1.990e-03 -3.049e-03  1.078e-04  4.070e-03  1.340e-05 -8.370e-05
 1.7220e+00 -3.140e-03  1.383e-03 -3.420e-03 -2.050e-03 -3.083e-03  1.099e-04  4.140e-03  1.386e-05 -8.550e-05
 1.7780e+00 -3.130e-03  1.395e-03 -3.480e-03 -2.100e-03 -3.114e-03  1.118e-04  4.220e-03  1.431e-05 -8.720e-05
 1.8330e+00 -3.120e-03  1.406e-03 -3.550e-03 -2.150e-03 -3.144e-03  1.136e-04  4.290e-03  1.473e-05 -8.890e-05
 1.8890e+00 -3.100e-03  1.417e-03 -3.610e-03 -2.200e-03 -3.173e-03  1.153e-04  4.360e-03  1.514e-05 -9.070e-05
 1.9440e+00 -3.090e-03  1.427e-03 -3.680e-03 -2.240e-03 -3.199e-03  1.169e-04  4.430e-03  1.559e-05 -9.230e-05
 2.0000e+00 -3.070e-03  1.436e-03 -3.740e-03 -2.290e-03 -3.225e-03  1.186e-04  4.500e-03  1.601e-05 -9.410e-05
 2.0560e+00 -3.060e-03  1.445e-03 -3.810e-03 -2.330e-03 -3.249e-03  1.202e-04  4.570e-03  1.643e-05 -9.590e-05
 2.1110e+00 -3.040e-03  1.454e-03 -3.870e-03 -2.360e-03 -3.271e-03  1.217e-04  4.640e-03  1.684e-05 -9.750e-05
