#         t         u1         u2         u3        s11        s12        s13        s22        s23        s33
 0.0000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 1.8430e-04 -1.000e-04  1.000e-05 -1.000e-05 -1.000e-04  0.000e+00 -1.000e-06  1.000e-04  6.000e-07  0.000e+00
 4.2440e-04 -1.000e-04  3.000e-05 -2.000e-05 -1.000e-04  0.000e+00 -1.000e-06  2.000e-04  1.300e-06  0.000e+00
 7.3390e-04 -2.000e-04  5.000e-05 -4.000e-05 -2.000e-04  0.000e+00 -2.000e-06  3.000e-04  2.000e-06  0.000e+00
 1.1210e-03 -2.000e-04  7.000e-05 -7.000e-05 -2.000e-04  0.000e+00 -2.000e-06  4.000e-04  2.800e-06  0.000e+00
 1.5990e-03 -3.000e-04  9.000e-05 -1.000e-04 -2.000e-04  1.000e-05 -3.000e-06  5.000e-04  3.600e-06  0.000e+00
 2.1830e-03 -3.000e-04  1.100e-04 -1.500e-04 -3.000e-04  2.000e-05 -4.000e-06  7.000e-04  4.500e-06  0.000e+00
 2.8920e-03 -4.000e-04  1.400e-04 -2.000e-04 -3.000e-04  4.000e-05 -4.000e-06  9.000e-04  5.500e-06  0.000e+00
 3.7420e-03 -5.000e-04  1.600e-04 -2.700e-04 -3.000e-04  6.000e-05 -5.000e-06  1.200e-03  6.400e-06  0.000e+00
 4.7530e-03 -5.000e-04  1.900e-04 -3.500e-04 -3.000e-04  9.000e-05 -6.000e-06  1.400e-03  7.400e-06  1.000e-06
 5.9490e-03 -6.000e-04  2.200e-04 -4.400e-04 -3.000e-04  1.200e-04 -6.000e-06  1.700e-03  8.300e-06  1.000e-06
 7.3580e-03 -7.000e-04  2.500e-04 -5.500e-04 -2.000e-04  1.600e-04 -7.000e-06  2.000e-03  9.300e-06  2.000e-06
 9.0110e-03 -8.000e-04  2.900e-04 -6.700e-04 -2.000e-04  2.000e-04 -8.000e-06  2.400e-03  1.030e-05  3.000e-06
 1.0940e-02 -9.000e-04  3.200e-04 -8.000e-04 -1.000e-04  2.500e-04 -8.000e-06  2.800e-03  1.120e-05  4.000e-06
 1.3170e-02 -1.000e-03  3.500e-04 -9.400e-04  0.000e+00  3.000e-04 -9.000e-06  3.200e-03  1.210e-05  5.000e-06
 1.5760e-02 -1.100e-03  3.800e-04 -1.100e-03  1.000e-04  3.600e-04 -1.000e-05  3.600e-03  1.300e-05  6.000e-06
 1.8740e-02 -1.200e-03  4.100e-04 -1.280e-03  2.000e-04  4.300e-04 -1.100e-05  4.100e-03  1.380e-05  7.000e-06
