#         t         u1         u2         u3        s11        s12        s13        s22        s23        s33
 0.0000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 2.0030e-04 -1.000e-04  2.000e-05 -1.000e-05 -1.000e-04 -1.000e-05 -1.000e-06  1.000e-04  6.000e-07  0.000e+00
 4.5660e-04 -1.000e-04  4.000e-05 -3.000e-05 -1.000e-04 -3.000e-05 -1.000e-06  2.000e-04  1.200e-06 -1.000e-06
 7.8060e-04 -1.000e-04  6.000e-05 -5.000e-05 -2.000e-04 -4.000e-05 -2.000e-06  2.000e-04  2.000e-06 -1.000e-06
 1.1850e-03 -2.000e-04  9.000e-05 -8.000e-05 -3.000e-04 -6.000e-05 -2.000e-06  3.000e-04  2.800e-06 -2.000e-06
 1.6860e-03 -2.000e-04  1.200e-04 -1.100e-04 -3.000e-04 -8.000e-05 -3.000e-06  5.000e-04  3.600e-06 -3.000e-06
 2.2980e-03 -3.000e-04  1.600e-04 -1.600e-04 -4.000e-04 -1.000e-04 -3.000e-06  6.000e-04  4.500e-06 -3.000e-06
 3.0380e-03 -3.000e-04  2.000e-04 -2.200e-04 -4.000e-04 -1.200e-04 -4.000e-06  8.000e-04  5.500e-06 -4.000e-06
 3.9260e-03 -4.000e-04  2.400e-04 -2.900e-04 -5.000e-04 -1.400e-04 -4.000e-06  1.000e-03  6.500e-06 -4.000e-06
 4.9850e-03 -4.000e-04  2.900e-04 -3.700e-04 -5.000e-04 -1.600e-04 -4.000e-06  1.200e-03  7.600e-06 -5.000e-06
 6.2420e-03 -5.000e-04  3.400e-04 -4.600e-04 -6.000e-04 -1.700e-04 -4.000e-06  1.400e-03  8.700e-06 -5.000e-06
 7.7280e-03 -6.000e-04  3.900e-04 -5.600e-04 -6.000e-04 -1.900e-04 -5.000e-06  1.700e-03  9.800e-06 -6.000e-06
 9.4800e-03 -6.000e-04  4.500e-04 -6.800e-04 -6.000e-04 -2.100e-04 -5.000e-06  2.000e-03  1.090e-05 -6.000e-06
 1.1540e-02 -7.000e-04  5.100e-04 -8.100e-04 -6.000e-04 -2.300e-04 -5.000e-06  2.300e-03  1.200e-05 -7.000e-06
 1.3940e-02 -8.000e-04  5.700e-04 -9.600e-04 -5.000e-04 -2.400e-04 -5.000e-06  2.600e-03  1.310e-05 -8.000e-06
 1.6750e-02 -8.000e-04  6.400e-04 -1.110e-03 -5.000e-04 -2.600e-04 -4.000e-06  3.000e-03  1.430e-05 -8.000e-06
 2.0010e-02 -9.000e-04  7.100e-04 -1.280e-03 -4.000e-04 -2.700e-04 -5.000e-06  3.400e-03  1.530e-05 -8.000e-06
 2.3800e-02 -1.000e-03  7.700e-04 -1.470e-03 -4.000e-04 -2.900e-04 -4.000e-06  3.800e-03  1.640e-05 -9.000e-06
 2.8190e-02 -1.100e-03  8.400e-04 -1.660e-03 -3.000e-04 -3.000e-04 -4.000e-06  4.200e-03  1.740e-05 -9.000e-06
 3.3260e-02 -1.200e-03  9.100e-04 -1.870e-03 -2.000e-04 -3.100e-04 -5.000e-06  4.600e-03  1.850e-05 -1.000e-05
 3.8970e-02 -1.200e-03  9.800e-04 -2.090e-03 -1.000e-04 -3.100e-04 -5.000e-06  5.100e-03  1.930e-05 -1.000e-05
 4.5370e-02 -1.300e-03  1.050e-03 -2.310e-03  0.000e+00 -3.200e-04 -5.000e-06  5.600e-03  2.020e-05 -1.100e-05
 5.2550e-02 -1.400e-03  1.110e-03 -2.540e-03  1.000e-04 -3.200e-04 -5.000e-06  6.000e-03  2.090e-05 -1.200e-05
 6.0560e-02 -1.500e-03  1.170e-03 -2.780e-03  3.000e-04 -3.200e-04 -5.000e-06  6.500e-03  2.160e-05 -1.300e-05
 6.9490e-02 -1.600e-03  1.230e-03 -3.020e-03  4.000e-04 -3.200e-04 -5.000e-06  7.000e-03  2.220e-05 -1.400e-05
 7.9410e-02 -1.700e-03  1.290e-03 -3.260e-03  5.000e-04 -3.200e-04 -6.000e-06  7.500e-03  2.270e-05 -1.500e-05
 9.0410e-02 -1.800e-03  1.340e-03 -3.510e-03  6.000e-04 -3.100e-04 -6.000e-06  7.900e-03  2.310e-05 -1.600e-05
 1.0260e-01 -1.800e-03  1.390e-03 -3.760e-03  8.000e-04 -3.000e-04 -6.000e-06  8.400e-03  2.350e-05 -1.700e-05
 1.1610e-01 -1.900e-03  1.440e-03 -4.010e-03  9.000e-04 -2.900e-04 -6.000e-06  8.900e-03  2.370e-05 -1.900e-05
 1.3090e-01 -2.000e-03  1.480e-03 -4.270e-03  1.000e-03 -2.800e-04 -7.000e-06  9.400e-03  2.390e-05 -2.000e-05
 1.4720e-01 -2.100e-03  1.520e-03 -4.530e-03  1.200e-03 -2.700e-04 -7.000e-06  9.900e-03  2.400e-05 -2.200e-05
 1.6500e-01 -2.200e-03  1.560e-03 -4.790e-03  1.300e-03 -2.500e-04 -7.000e-06  1.030e-02  2.410e-05 -2.300e-05
 1.8440e-01 -2.300e-03  1.590e-03 -5.050e-03  1.500e-03 -2.400e-04 -7.000e-06  1.080e-02  2.400e-05 -2.500e-05
 2.0530e-01 -2.300e-03  1.620e-03 -5.310e-03  1.600e-03 -2.200e-04 -7.000e-06  1.130e-02  2.390e-05 -2.600e-05
 2.2780e-01 -2.400e-03  1.650e-03 -5.560e-03  1.700e-03 -2.000e-04 -7.000e-06  1.170e-02  2.380e-05 -2.800e-05
 2.5190e-01 -2.500e-03  1.670e-03 -5.810e-03  1.900e-03 -1.800e-04 -7.000e-06  1.220e-02  2.360e-05 -2.900e-05
 2.7780e-01 -2.500e-03  1.700e-03 -6.060e-03  2.000e-03 -1.600e-04 -7.000e-06  1.260e-02  2.340e-05 -3.100e-05
 3.0530e-01 -2.600e-03  1.710e-03 -6.310e-03  2.100e-03 -1.400e-04 -7.000e-06  1.310e-02  2.320e-05 -3.300e-05
 3.3470e-01 -2.700e-03  1.730e-03 -6.550e-03  2.200e-03 -1.100e-04 -8.000e-06  1.350e-02  2.280e-05 -3.500e-05
 3.6600e-01 -2.700e-03  1.750e-03 -6.790e-03  2.300e-03 -9.000e-05 -8.000e-06  1.390e-02  2.260e-05 -3.600e-05
 3.9910e-01 -2.800e-03  1.760e-03 -7.030e-03  2.500e-03 -6.000e-05 -8.000e-06  1.430e-02  2.220e-05 -3.800e-05
 4.3430e-01 -2.900e-03  1.770e-03 -7.270e-03  2.600e-03 -4.000e-05 -8.000e-06  1.470e-02  2.180e-05 -4.000e-05
 4.7150e-01 -2.900e-03  1.780e-03 -7.500e-03  2.700e-03 -1.000e-05 -8.000e-06  1.510e-02  2.130e-05 -4.200e-05
 5.1080e-01 -3.000e-03  1.780e-03 -7.730e-03  2.800e-03  2.000e-05 -8.000e-06  1.550e-02  2.080e-05 -4.400e-05
 5.5230e-01 -3.000e-03  1.790e-03 -7.950e-03  2.900e-03  5.000e-05 -9.000e-06  1.590e-02  2.040e-05 -4.600e-05
 5.9610e-01 -3.100e-03  1.790e-03 -8.180e-03  3.000e-03  8.000e-05 -9.000e-06  1.630e-02  1.990e-05 -4.800e-05
 6.4220e-01 -3.100e-03  1.790e-03 -8.400e-03  3.100e-03  1.000e-04 -9.000e-06  1.660e-02  1.940e-05 -5.000e-05
 6.9070e-01 -3.100e-03  1.790e-03 -8.610e-03  3.200e-03  1.300e-04 -9.000e-06  1.700e-02  1.890e-05 -5.200e-05
 7.4160e-01 -3.200e-03  1.790e-03 -8.830e-03  3.300e-03  1.600e-04 -9.000e-06  1.730e-02  1.850e-05 -5.400e-05
 7.9520e-01 -3.200e-03  1.790e-03 -9.040e-03  3.400e-03  1.900e-04 -9.000e-06  1.770e-02  1.790e-05 -5.600e-05
 8.5130e-01 -3.300e-03  1.790e-03 -9.250e-03  3.500e-03  2.200e-04 -9.000e-06  1.800e-02  1.740e-05 -5.800e-05
 9.1010e-01 -3.300e-03  1.790e-03 -9.460e-03  3.600e-03  2.500e-04 -9.000e-06  1.840e-02  1.700e-05 -6.000e-05
 9.7170e-01 -3.300e-03  1.780e-03 -9.670e-03  3.700e-03  2.800e-04 -9.000e-06  1.870e-02  1.650e-05 -6.100e-05
 1.0360e+00 -3.400e-03  1.780e-03 -9.870e-03  3.700e-03  3.100e-04 -9.000e-06  1.900e-02  1.600e-05 -6.300e-05
 1.1030e+00 -3.400e-03  1.770e-03 -1.007e-02  3.800e-03  3.400e-04 -9.000e-06  1.940e-02  1.550e-05 -6.500e-05
 1.1740e+00 -3.400e-03  1.760e-03 -1.027e-02  3.900e-03  3.700e-04 -9.000e-06  1.970e-02  1.490e-05 -6.700e-05
 1.2470e+00 -3.500e-03  1.760e-03 -1.047e-02  4.000e-03  4.000e-04 -9.000e-06  2.000e-02  1.440e-05 -6.900e-05
 1.3240e+00 -3.500e-03  1.750e-03 -1.066e-02  4.100e-03  4.300e-04 -9.000e-06  2.030e-02  1.380e-05 -7.100e-05
 1.4030e+00 -3.500e-03  1.740e-03 -1.085e-02  4.200e-03  4.700e-04 -9.000e-06  2.060e-02  1.320e-05 -7.300e-05
 1.4870e+00 -3.500e-03  1.730e-03 -1.104e-02  4.200e-03  5.000e-04 -8.000e-06  2.090e-02  1.270e-05 -7.600e-05
 1.5730e+00 -3.600e-03  1.720e-03 -1.123e-02  4.300e-03  5.300e-04 -8.000e-06  2.120e-02  1.210e-05 -7.700e-05
 1.6630e+00 -3.600e-03  1.710e-03 -1.142e-02  4.400e-03  5.600e-04 -8.000e-06  2.150e-02  1.150e-05 -7.900e-05
 1.7570e+00 -3.600e-03  1.700e-03 -1.160e-02  4.500e-03  5.900e-04 -8.000e-06  2.180e-02  1.090e-05 -8.000e-05
 1.8540e+00 -3.600e-03  1.690e-03 -1.179e-02  4.500e-03  6.200e-04 -8.000e-06  2.210e-02  1.030e-05 -8.300e-05
 1.9550e+00 -3.600e-03  1.680e-03 -1.197e-02  4.600e-03  6.500e-04 -7.000e-06  2.240e-02  9.700e-06 -8.500e-05
 2.0600e+00 -3.700e-03  1.670e-03 -1.215e-02  4.700e-03  6.800e-04 -7.000e-06  2.260e-02  9.200e-06 -8.600e-05
 2.1690e+00 -3.700e-03  1.660e-03 -1.233e-02  4.800e-03  7.100e-04 -7.000e-06  2.290e-02  8.600e-06 -8.800e-05
 2.2820e+00 -3.700e-03  1.650e-03 -1.251e-02  4.800e-03  7.400e-04 -7.000e-06  2.320e-02  8.100e-06 -9.000e-05
 2.4000e+00 -3.700e-03  1.630e-03 -1.268e-02  4.900e-03  7.700e-04 -7.000e-06  2.350e-02  7.500e-06 -9.200e-05
 2.5210e+00 -3.700e-03  1.620e-03 -1.286e-02  5.000e-03  8.000e-04 -7.000e-06  2.370e-02  7.000e-06 -9.300e-05
 2.6470e+00 -3.700e-03  1.610e-03 -1.303e-02  5.000e-03  8.300e-04 -6.000e-06  2.400e-02  6.400e-06 -9.500e-05
 2.7780e+00 -3.800e-03  1.590e-03 -1.320e-02  5.100e-03  8.600e-04 -6.000e-06  2.420e-02  5.900e-06 -9.700e-05
 2.9130e+00 -3.800e-03  1.580e-03 -1.337e-02  5.200e-03  8.900e-04 -6.000e-06  2.450e-02  5.400e-06 -9.900e-05
 3.0530e+00 -3.800e-03  1.570e-03 -1.354e-02  5.200e-03  9.200e-04 -6.000e-06  2.470e-02  4.900e-06 -1.010e-04
