#         t         u1         u2         u3        s11        s12        s13        s22        s23        s33
 0.0000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 2.3940e-04 -1.000e-04  2.000e-05 -1.000e-05 -1.000e-04 -2.000e-05 -1.000e-06  1.000e-04  8.000e-07  0.000e+00
 5.4130e-04 -1.000e-04  5.000e-05 -3.000e-05 -2.000e-04 -4.000e-05 -1.000e-06  2.000e-04  1.600e-06 -1.000e-06
 9.1820e-04 -2.000e-04  7.000e-05 -6.000e-05 -2.000e-04 -6.000e-05 -2.000e-06  3.000e-04  2.500e-06 -2.000e-06
 1.3830e-03 -2.000e-04  1.100e-04 -9.000e-05 -3.000e-04 -8.000e-05 -3.000e-06  4.000e-04  3.400e-06 -3.000e-06
 1.9490e-03 -3.000e-04  1.400e-04 -1.300e-04 -4.000e-04 -1.000e-04 -4.000e-06  5.000e-04  4.400e-06 -3.000e-06
 2.6330e-03 -3.000e-04  1.800e-04 -1.800e-04 -4.000e-04 -1.300e-04 -4.000e-06  7.000e-04  5.500e-06 -4.000e-06
 3.4530e-03 -4.000e-04  2.300e-04 -2.500e-04 -5.000e-04 -1.500e-04 -5.000e-06  9.000e-04  6.600e-06 -5.000e-06
 4.4280e-03 -4.000e-04  2.800e-04 -3.200e-04 -6.000e-04 -1.800e-04 -5.000e-06  1.100e-03  7.700e-06 -5.000e-06
 5.5800e-03 -5.000e-04  3.300e-04 -4.100e-04 -6.000e-04 -2.100e-04 -6.000e-06  1.300e-03  8.900e-06 -6.000e-06
 6.9340e-03 -6.000e-04  3.900e-04 -5.000e-04 -6.000e-04 -2.300e-04 -6.000e-06  1.500e-03  1.010e-05 -7.000e-06
 8.5190e-03 -6.000e-04  4.500e-04 -6.200e-04 -6.000e-04 -2.600e-04 -6.000e-06  1.800e-03  1.130e-05 -7.000e-06
 1.0370e-02 -7.000e-04  5.100e-04 -7.400e-04 -6.000e-04 -2.900e-04 -6.000e-06  2.100e-03  1.260e-05 -7.000e-06
 1.2510e-02 -8.000e-04  5.800e-04 -8.700e-04 -6.000e-04 -3.200e-04 -6.000e-06  2.400e-03  1.380e-05 -8.000e-06
 1.5000e-02 -9.000e-04  6.500e-04 -1.020e-03 -6.000e-04 -3.500e-04 -7.000e-06  2.800e-03  1.510e-05 -8.000e-06
