#         t         u1         u2         u3        s11        s12        s13        s22        s23        s33
 0.0000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 1.2500e-01  1.000e-05  2.000e-05  3.100e-05 -1.800e-05  1.900e-05 -1.000e-08  1.000e-05 -8.000e-08  1.900e-06
 2.5000e-01  1.900e-05  3.000e-05  6.200e-05 -3.500e-05  3.800e-05 -2.000e-08  3.000e-05 -1.800e-07  3.800e-06
 3.7500e-01  2.700e-05  5.000e-05  9.200e-05 -5.200e-05  5.500e-05 -1.000e-08  4.000e-05 -2.300e-07  5.600e-06
 5.0000e-01  3.600e-05  6.000e-05  1.210e-04 -6.700e-05  7.100e-05  0.000e+00  5.000e-05 -3.500e-07  7.500e-06
 6.2500e-01  4.400e-05  7.000e-05  1.490e-04 -8.200e-05  8.700e-05 -1.000e-08  5.000e-05 -4.000e-07  9.200e-06
 7.5000e-01  5.100e-05  8.000e-05  1.770e-04 -9.700e-05  1.010e-04 -1.000e-08  6.000e-05 -4.800e-07  1.100e-05
 8.7500e-01  5.900e-05  9.000e-05  2.040e-04 -1.110e-04  1.140e-04 -2.000e-08  7.000e-05 -5.400e-07  1.270e-05
 1.0000e+00  6.600e-05  1.000e-04  2.310e-04 -1.240e-04  1.270e-04 -2.000e-08  7.000e-05 -6.200e-07  1.430e-05
 1.1250e+00  7.200e-05  1.100e-04  2.570e-04 -1.370e-04  1.390e-04 -3.000e-08  8.000e-05 -6.900e-07  1.600e-05
 1.2500e+00  7.900e-05  1.200e-04  2.830e-04 -1.500e-04  1.500e-04 -3.000e-08  8.000e-05 -7.600e-07  1.760e-05
 1.3750e+00  8.500e-05  1.300e-04  3.070e-04 -1.610e-04  1.600e-04 -3.000e-08  9.000e-05 -8.200e-07  1.910e-05
 1.5000e+00  9.000e-05  1.400e-04  3.320e-04 -1.730e-04  1.700e-04 -3.000e-08  9.000e-05 -8.900e-07  2.060e-05
 1.6250e+00  9.600e-05  1.500e-04  3.560e-04 -1.840e-04  1.790e-04 -3.000e-08  9.000e-05 -9.400e-07  2.210e-05
 1.7500e+00  1.010e-04  1.600e-04  3.790e-04 -1.950e-04  1.880e-04 -2.000e-08  1.000e-04 -1.010e-06  2.350e-05
 1.8750e+00  1.060e-04  1.700e-04  4.020e-04 -2.050e-04  1.960e-04 -3.000e-08  1.000e-04 -1.070e-06  2.500e-05
 2.0000e+00  1.110e-04  1.800e-04  4.240e-04 -2.150e-04  2.040e-04 -2.000e-08  1.000e-04 -1.080e-06  2.630e-05
 2.1250e+00  1.150e-04  1.800e-04  4.450e-04 -2.240e-04  2.110e-04 -2.000e-08  1.000e-04 -1.110e-06  2.770e-05
 2.2500e+00  1.200e-04  1.900e-04  4.670e-04 -2.340e-04  2.170e-04 -1.000e-08  1.000e-04 -1.180e-06  2.900e-05
 2.3750e+00  1.240e-04  2.000e-04  4.870e-04 -2.420e-04  2.230e-04  0.000e+00  1.100e-04 -1.200e-06  3.030e-05
 2.5000e+00  1.270e-04  2.100e-04  5.080e-04 -2.510e-04  2.290e-04  1.000e-08  1.100e-04 -1.240e-06  3.150e-05
 2.6250e+00  1.310e-04  2.100e-04  5.270e-04 -2.590e-04  2.350e-04  2.000e-08  1.100e-04 -1.270e-06  3.270e-05
 2.7500e+00  1.340e-04  2.200e-04  5.470e-04 -2.670e-04  2.400e-04  3.000e-08  1.100e-04 -1.310e-06  3.390e-05
 2.8750e+00  1.370e-04  2.300e-04  5.660e-04 -2.750e-04  2.440e-04  4.000e-08  1.100e-04 -1.310e-06  3.510e-05
 3.0000e+00  1.400e-04  2.400e-04  5.840e-04 -2.820e-04  2.490e-04  4.000e-08  1.100e-04 -1.350e-06  3.620e-05
