# nb. dgammadot0 x1 x2 x3 length width thickness strike dip
1 0.4 -200 -200 5.06909 20 12.5 20 0 90
2 0.4 -200 -180 6.14351 20 12.5 20 0 90
3 0.4 -200 -160 7.14873 20 12.5 20 0 90
4 0.4 -200 -140 8.00823 20 12.5 20 0 90
5 0.4 -200 -120 8.74116 20 12.5 20 0 90
6 0.4 -200 -100 9.26633 20 12.5 20 0 90
7 0.4 -200 -80 9.59276 20 12.5 20 0 90
8 0.4 -200 -60 9.7471 20 12.5 20 0 90
9 0.4 -200 -40 9.8462 20 12.5 20 0 90
10 0.4 -200 -20 9.91503 20 12.5 20 0 90
11 0.4 -200 0 9.98669 20 12.5 20 0 90
12 0.4 -200 20 9.96369 20 12.5 20 0 90
13 0.4 -200 40 9.8827 20 12.5 20 0 90
14 0.4 -200 60 9.77156 20 12.5 20 0 90
15 0.4 -200 80 9.56158 20 12.5 20 0 90
16 0.4 -200 100 9.18993 20 12.5 20 0 90
17 0.4 -200 120 8.78213 20 12.5 20 0 90
18 0.4 -200 140 8.596 20 12.5 20 0 90
19 0.4 -200 160 8.84698 20 12.5 20 0 90
20 0.4 -200 180 9.5192 20 12.5 20 0 90
21 0.4 -180 -200 5.86751 20 12.5 20 0 90
22 0.4 -180 -180 7.07088 20 12.5 20 0 90
23 0.4 -180 -160 8.20257 20 12.5 20 0 90
24 0.4 -180 -140 9.18198 20 12.5 20 0 90
25 0.4 -180 -120 9.95657 20 12.5 20 0 90
26 0.4 -180 -100 10.4561 20 12.5 20 0 90
27 0.4 -180 -80 10.691 20 12.5 20 0 90
28 0.4 -180 -60 10.7268 20 12.5 20 0 90
29 0.4 -180 -40 10.679 20 12.5 20 0 90
30 0.4 -180 -20 10.6172 20 12.5 20 0 90
31 0.4 -180 0 10.5764 20 12.5 20 0 90
32 0.4 -180 20 10.5038 20 12.5 20 0 90
33 0.4 -180 40 10.4346 20 12.5 20 0 90
34 0.4 -180 60 10.3614 20 12.5 20 0 90
35 0.4 -180 80 10.1295 20 12.5 20 0 90
36 0.4 -180 100 9.6006 20 12.5 20 0 90
37 0.4 -180 120 9.00866 20 12.5 20 0 90
38 0.4 -180 140 8.72903 20 12.5 20 0 90
39 0.4 -180 160 9.05076 20 12.5 20 0 90
40 0.4 -180 180 9.99356 20 12.5 20 0 90
41 0.4 -160 -200 6.7662 20 12.5 20 0 90
42 0.4 -160 -180 8.11233 20 12.5 20 0 90
43 0.4 -160 -160 9.39725 20 12.5 20 0 90
44 0.4 -160 -140 10.5262 20 12.5 20 0 90
45 0.4 -160 -120 11.3649 20 12.5 20 0 90
46 0.4 -160 -100 11.8251 20 12.5 20 0 90
47 0.4 -160 -80 11.9237 20 12.5 20 0 90
48 0.4 -160 -60 11.761 20 12.5 20 0 90
49 0.4 -160 -40 11.4757 20 12.5 20 0 90
50 0.4 -160 -20 11.1819 20 12.5 20 0 90
51 0.4 -160 0 10.9352 20 12.5 20 0 90
52 0.4 -160 20 10.7413 20 12.5 20 0 90
53 0.4 -160 40 10.6434 20 12.5 20 0 90
54 0.4 -160 60 10.6497 20 12.5 20 0 90
55 0.4 -160 80 10.4737 20 12.5 20 0 90
56 0.4 -160 100 9.94519 20 12.5 20 0 90
57 0.4 -160 120 9.38293 20 12.5 20 0 90
58 0.4 -160 140 9.12038 20 12.5 20 0 90
59 0.4 -160 160 9.39525 20 12.5 20 0 90
60 0.4 -160 180 10.3155 20 12.5 20 0 90
61 0.4 -140 -200 7.76089 20 12.5 20 0 90
62 0.4 -140 -180 9.24417 20 12.5 20 0 90
63 0.4 -140 -160 10.6884 20 12.5 20 0 90
64 0.4 -140 -140 11.8576 20 12.5 20 0 90
65 0.4 -140 -120 12.8202 20 12.5 20 0 90
66 0.4 -140 -100 13.2701 20 12.5 20 0 90
67 0.4 -140 -80 13.2056 20 12.5 20 0 90
68 0.4 -140 -60 12.7886 20 12.5 20 0 90
69 0.4 -140 -40 12.2377 20 12.5 20 0 90
70 0.4 -140 -20 11.626 20 12.5 20 0 90
71 0.4 -140 0 11.0678 20 12.5 20 0 90
72 0.4 -140 20 10.5847 20 12.5 20 0 90
73 0.4 -140 40 10.2612 20 12.5 20 0 90
74 0.4 -140 60 10.292 20 12.5 20 0 90
75 0.4 -140 80 10.261 20 12.5 20 0 90
76 0.4 -140 100 10.0163 20 12.5 20 0 90
77 0.4 -140 120 9.79151 20 12.5 20 0 90
78 0.4 -140 140 9.69637 20 12.5 20 0 90
79 0.4 -140 160 9.8648 20 12.5 20 0 90
80 0.4 -140 180 10.5431 20 12.5 20 0 90
81 0.4 -120 -200 8.82558 20 12.5 20 0 90
82 0.4 -120 -180 10.4288 20 12.5 20 0 90
83 0.4 -120 -160 12.0132 20 12.5 20 0 90
84 0.4 -120 -140 13.4039 20 12.5 20 0 90
85 0.4 -120 -120 14.401 20 12.5 20 0 90
86 0.4 -120 -100 14.7956 20 12.5 20 0 90
87 0.4 -120 -80 14.5744 20 12.5 20 0 90
88 0.4 -120 -60 13.9001 20 12.5 20 0 90
89 0.4 -120 -40 13.0015 20 12.5 20 0 90
90 0.4 -120 -20 12.036 20 12.5 20 0 90
91 0.4 -120 0 11.0575 20 12.5 20 0 90
92 0.4 -120 20 10.058 20 12.5 20 0 90
93 0.4 -120 40 9.29892 20 12.5 20 0 90
94 0.4 -120 60 9.09249 20 12.5 20 0 90
95 0.4 -120 80 9.2615 20 12.5 20 0 90
96 0.4 -120 100 9.4976 20 12.5 20 0 90
97 0.4 -120 120 9.79012 20 12.5 20 0 90
98 0.4 -120 140 10.0216 20 12.5 20 0 90
99 0.4 -120 160 10.2313 20 12.5 20 0 90
100 0.4 -120 180 10.7569 20 12.5 20 0 90
101 0.4 -100 -200 9.92286 20 12.5 20 0 90
102 0.4 -100 -180 11.6194 20 12.5 20 0 90
103 0.4 -100 -160 13.3079 20 12.5 20 0 90
104 0.4 -100 -140 14.7594 20 12.5 20 0 90
105 0.4 -100 -120 15.829 20 12.5 20 0 90
106 0.4 -100 -100 16.2094 20 12.5 20 0 90
107 0.4 -100 -80 15.842 20 12.5 20 0 90
108 0.4 -100 -60 14.8877 20 12.5 20 0 90
109 0.4 -100 -40 13.7334 20 12.5 20 0 90
110 0.4 -100 -20 12.4735 20 12.5 20 0 90
111 0.4 -100 0 11.0329 20 12.5 20 0 90
112 0.4 -100 20 9.41226 20 12.5 20 0 90
113 0.4 -100 40 8.08804 20 12.5 20 0 90
114 0.4 -100 60 7.71066 20 12.5 20 0 90
115 0.4 -100 80 8.10101 20 12.5 20 0 90
116 0.4 -100 100 8.75538 20 12.5 20 0 90
117 0.4 -100 120 9.53374 20 12.5 20 0 90
118 0.4 -100 140 10.0792 20 12.5 20 0 90
119 0.4 -100 160 10.5026 20 12.5 20 0 90
120 0.4 -100 180 11.0663 20 12.5 20 0 90
121 0.4 -80 -200 10.9942 20 12.5 20 0 90
122 0.4 -80 -180 12.7562 20 12.5 20 0 90
123 0.4 -80 -160 14.5155 20 12.5 20 0 90
124 0.4 -80 -140 16.0385 20 12.5 20 0 90
125 0.4 -80 -120 17.0568 20 12.5 20 0 90
126 0.4 -80 -100 17.3691 20 12.5 20 0 90
127 0.4 -80 -80 16.8887 20 12.5 20 0 90
128 0.4 -80 -60 15.6461 20 12.5 20 0 90
129 0.4 -80 -40 14.2556 20 12.5 20 0 90
130 0.4 -80 -20 12.8377 20 12.5 20 0 90
131 0.4 -80 0 11.1637 20 12.5 20 0 90
132 0.4 -80 20 9.23857 20 12.5 20 0 90
133 0.4 -80 40 7.7428 20 12.5 20 0 90
134 0.4 -80 60 7.35189 20 12.5 20 0 90
135 0.4 -80 80 7.73526 20 12.5 20 0 90
136 0.4 -80 100 8.52828 20 12.5 20 0 90
137 0.4 -80 120 9.47523 20 12.5 20 0 90
138 0.4 -80 140 10.2947 20 12.5 20 0 90
139 0.4 -80 160 10.9062 20 12.5 20 0 90
140 0.4 -80 180 11.452 20 12.5 20 0 90
141 0.4 -60 -200 11.9757 20 12.5 20 0 90
142 0.4 -60 -180 13.7669 20 12.5 20 0 90
143 0.4 -60 -160 15.5409 20 12.5 20 0 90
144 0.4 -60 -140 16.9927 20 12.5 20 0 90
145 0.4 -60 -120 17.9749 20 12.5 20 0 90
146 0.4 -60 -100 18.2728 20 12.5 20 0 90
147 0.4 -60 -80 17.6935 20 12.5 20 0 90
148 0.4 -60 -60 16.2657 20 12.5 20 0 90
149 0.4 -60 -40 14.5237 20 12.5 20 0 90
150 0.4 -60 -20 13.0264 20 12.5 20 0 90
151 0.4 -60 0 11.5364 20 12.5 20 0 90
152 0.4 -60 20 9.91042 20 12.5 20 0 90
153 0.4 -60 40 8.66971 20 12.5 20 0 90
154 0.4 -60 60 8.29518 20 12.5 20 0 90
155 0.4 -60 80 8.47014 20 12.5 20 0 90
156 0.4 -60 100 9.08456 20 12.5 20 0 90
157 0.4 -60 120 9.93073 20 12.5 20 0 90
158 0.4 -60 140 10.7533 20 12.5 20 0 90
159 0.4 -60 160 11.3925 20 12.5 20 0 90
160 0.4 -60 180 11.8217 20 12.5 20 0 90
161 0.4 -40 -200 12.8246 20 12.5 20 0 90
162 0.4 -40 -180 14.6006 20 12.5 20 0 90
