# nb. dgammadot0 x1 x2 x3 length width thickness strike dip
1 0.4 -200 -200 10 20 7.56909 20 0 90
2 0.4 -200 -180 10 20 8.64351 20 0 90
3 0.4 -200 -160 10 20 9.64873 20 0 90
4 0.4 -200 -140 10 20 10.5082 20 0 90
5 0.4 -200 -120 10 20 11.2412 20 0 90
6 0.4 -200 -100 10 20 11.7663 20 0 90
7 0.4 -200 -80 10 20 12.0928 20 0 90
8 0.4 -200 -60 10 20 12.2471 20 0 90
9 0.4 -200 -40 10 20 12.3462 20 0 90
10 0.4 -200 -20 10 20 12.415 20 0 90
11 0.4 -200 0 10 20 12.4867 20 0 90
12 0.4 -200 20 10 20 12.4637 20 0 90
13 0.4 -200 40 10 20 12.3827 20 0 90
14 0.4 -200 60 10 20 12.2716 20 0 90
15 0.4 -200 80 10 20 12.0616 20 0 90
16 0.4 -200 100 10 20 11.6899 20 0 90
17 0.4 -200 120 10 20 11.2821 20 0 90
18 0.4 -200 140 10 20 11.096 20 0 90
19 0.4 -200 160 10 20 11.347 20 0 90
20 0.4 -200 180 10 20 12.0192 20 0 90
21 0.4 -180 -200 10 20 8.36751 20 0 90
22 0.4 -180 -180 10 20 9.57088 20 0 90
23 0.4 -180 -160 10 20 10.7026 20 0 90
24 0.4 -180 -140 10 20 11.682 20 0 90
25 0.4 -180 -120 10 20 12.4566 20 0 90
26 0.4 -180 -100 10 20 12.9561 20 0 90
27 0.4 -180 -80 10 20 13.191 20 0 90
28 0.4 -180 -60 10 20 13.2268 20 0 90
29 0.4 -180 -40 10 20 13.179 20 0 90
30 0.4 -180 -20 10 20 13.1172 20 0 90
31 0.4 -180 0 10 20 13.0764 20 0 90
32 0.4 -180 20 10 20 13.0038 20 0 90
33 0.4 -180 40 10 20 12.9346 20 0 90
34 0.4 -180 60 10 20 12.8614 20 0 90
35 0.4 -180 80 10 20 12.6295 20 0 90
36 0.4 -180 100 10 20 12.1006 20 0 90
37 0.4 -180 120 10 20 11.5087 20 0 90
38 0.4 -180 140 10 20 11.229 20 0 90
39 0.4 -180 160 10 20 11.5508 20 0 90
40 0.4 -180 180 10 20 12.4936 20 0 90
41 0.4 -160 -200 10 20 9.2662 20 0 90
42 0.4 -160 -180 10 20 10.6123 20 0 90
43 0.4 -160 -160 10 20 11.8973 20 0 90
44 0.4 -160 -140 10 20 13.0262 20 0 90
45 0.4 -160 -120 10 20 13.8649 20 0 90
46 0.4 -160 -100 10 20 14.3251 20 0 90
47 0.4 -160 -80 10 20 14.4237 20 0 90
48 0.4 -160 -60 10 20 14.261 20 0 90
49 0.4 -160 -40 10 20 13.9757 20 0 90
50 0.4 -160 -20 10 20 13.6819 20 0 90
51 0.4 -160 0 10 20 13.4352 20 0 90
52 0.4 -160 20 10 20 13.2413 20 0 90
53 0.4 -160 40 10 20 13.1434 20 0 90
54 0.4 -160 60 10 20 13.1497 20 0 90
55 0.4 -160 80 10 20 12.9737 20 0 90
56 0.4 -160 100 10 20 12.4452 20 0 90
57 0.4 -160 120 10 20 11.8829 20 0 90
58 0.4 -160 140 10 20 11.6204 20 0 90
59 0.4 -160 160 10 20 11.8952 20 0 90
60 0.4 -160 180 10 20 12.8155 20 0 90
61 0.4 -140 -200 10 20 10.2609 20 0 90
62 0.4 -140 -180 10 20 11.7442 20 0 90
63 0.4 -140 -160 10 20 13.1884 20 0 90
64 0.4 -140 -140 10 20 14.3576 20 0 90
65 0.4 -140 -120 10 20 15.3202 20 0 90
66 0.4 -140 -100 10 20 15.7701 20 0 90
67 0.4 -140 -80 10 20 15.7056 20 0 90
68 0.4 -140 -60 10 20 15.2886 20 0 90
69 0.4 -140 -40 10 20 14.7377 20 0 90
70 0.4 -140 -20 10 20 14.126 20 0 90
71 0.4 -140 0 10 20 13.5678 20 0 90
72 0.4 -140 20 10 20 13.0847 20 0 90
73 0.4 -140 40 10 20 12.7612 20 0 90
74 0.4 -140 60 10 20 12.792 20 0 90
75 0.4 -140 80 10 20 12.761 20 0 90
76 0.4 -140 100 10 20 12.5163 20 0 90
77 0.4 -140 120 10 20 12.2915 20 0 90
78 0.4 -140 140 10 20 12.1964 20 0 90
79 0.4 -140 160 10 20 12.3648 20 0 90
80 0.4 -140 180 10 20 13.0431 20 0 90
81 0.4 -120 -200 10 20 11.3256 20 0 90
82 0.4 -120 -180 10 20 12.9288 20 0 90
83 0.4 -120 -160 10 20 14.5132 20 0 90
84 0.4 -120 -140 10 20 15.9039 20 0 90
85 0.4 -120 -120 10 20 16.901 20 0 90
86 0.4 -120 -100 10 20 17.2956 20 0 90
87 0.4 -120 -80 10 20 17.0744 20 0 90
88 0.4 -120 -60 10 20 16.4001 20 0 90
89 0.4 -120 -40 10 20 15.5015 20 0 90
90 0.4 -120 -20 10 20 14.536 20 0 90
91 0.4 -120 0 10 20 13.5575 20 0 90
92 0.4 -120 20 10 20 12.558 20 0 90
93 0.4 -120 40 10 20 11.7989 20 0 90
94 0.4 -120 60 10 20 11.5925 20 0 90
95 0.4 -120 80 10 20 11.7615 20 0 90
96 0.4 -120 100 10 20 11.9976 20 0 90
97 0.4 -120 120 10 20 12.2901 20 0 90
98 0.4 -120 140 10 20 12.5216 20 0 90
99 0.4 -120 160 10 20 12.7313 20 0 90
100 0.4 -120 180 10 20 13.2569 20 0 90
101 0.4 -100 -200 10 20 12.4229 20 0 90
102 0.4 -100 -180 10 20 14.1194 20 0 90
103 0.4 -100 -160 10 20 15.8079 20 0 90
104 0.4 -100 -140 10 20 17.2594 20 0 90
105 0.4 -100 -120 10 20 18.329 20 0 90
106 0.4 -100 -100 10 20 18.7094 20 0 90
107 0.4 -100 -80 10 20 18.342 20 0 90
108 0.4 -100 -60 10 20 17.3877 20 0 90
109 0.4 -100 -40 10 20 16.2334 20 0 90
110 0.4 -100 -20 10 20 14.9735 20 0 90
111 0.4 -100 0 10 20 13.5329 20 0 90
112 0.4 -100 20 10 20 11.9123 20 0 90
113 0.4 -100 40 10 20 10.588 20 0 90
114 0.4 -100 60 10 20 10.2107 20 0 90
115 0.4 -100 80 10 20 10.601 20 0 90
116 0.4 -100 100 10 20 11.2554 20 0 90
117 0.4 -100 120 10 20 12.0337 20 0 90
118 0.4 -100 140 10 20 12.5792 20 0 90
119 0.4 -100 160 10 20 13.0026 20 0 90
120 0.4 -100 180 10 20 13.5663 20 0 90
121 0.4 -80 -200 10 20 13.4942 20 0 90
122 0.4 -80 -180 10 20 15.2562 20 0 90
123 0.4 -80 -160 10 20 17.0155 20 0 90
124 0.4 -80 -140 10 20 18.5385 20 0 90
125 0.4 -80 -120 10 20 19.5568 20 0 90
126 0.4 -80 -100 10 20 19.8691 20 0 90
127 0.4 -80 -80 10 20 19.3887 20 0 90
128 0.4 -80 -60 10 20 18.1461 20 0 90
129 0.4 -80 -40 10 20 16.7556 20 0 90
130 0.4 -80 -20 10 20 15.3377 20 0 90
131 0.4 -80 0 10 20 13.6637 20 0 90
