#         t         u1         u2         u3        s11        s12        s13        s22        s23        s33
 0.0000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 8.3280e-06 -2.000e-04  1.000e-05  2.000e-05  5.000e-04 -3.000e-05  0.000e+00  0.000e+00 -1.100e-06  3.000e-06
 1.8530e-05 -4.000e-04  2.000e-05  3.000e-05  1.000e-03 -7.000e-05  0.000e+00  0.000e+00 -2.400e-06  6.000e-06
 3.0980e-05 -6.000e-04  4.000e-05  5.000e-05  1.600e-03 -1.100e-04  1.000e-06  0.000e+00 -3.900e-06  1.000e-05
 4.6110e-05 -9.000e-04  6.000e-05  8.000e-05  2.300e-03 -1.600e-04  1.000e-06 -1.000e-04 -5.800e-06  1.500e-05
 6.4050e-05 -1.200e-03  8.000e-05  1.100e-04  3.100e-03 -2.200e-04  2.000e-06 -1.000e-04 -7.900e-06  2.100e-05
 8.5090e-05 -1.500e-03  1.100e-04  1.400e-04  4.000e-03 -2.800e-04  3.000e-06 -1.000e-04 -1.020e-05  2.700e-05
 1.0970e-04 -1.900e-03  1.400e-04  1.800e-04  5.000e-03 -3.500e-04  4.000e-06 -1.000e-04 -1.270e-05  3.500e-05
 1.3860e-04 -2.300e-03  1.700e-04  2.200e-04  6.100e-03 -4.200e-04  5.000e-06 -1.000e-04 -1.560e-05  4.300e-05
 1.7240e-04 -2.800e-03  2.100e-04  2.700e-04  7.400e-03 -4.900e-04  7.000e-06 -1.000e-04 -1.880e-05  5.300e-05
 2.1210e-04 -3.300e-03  2.500e-04  3.300e-04  8.700e-03 -5.600e-04  9.000e-06 -2.000e-04 -2.240e-05  6.300e-05
 2.5830e-04 -3.800e-03  2.900e-04  4.000e-04  1.020e-02 -6.400e-04  1.100e-05 -2.000e-04 -2.630e-05  7.500e-05
 3.1240e-04 -4.400e-03  3.400e-04  4.800e-04  1.180e-02 -7.200e-04  1.300e-05 -2.000e-04 -3.070e-05  8.800e-05
 3.7540e-04 -5.000e-03  4.000e-04  5.700e-04  1.350e-02 -8.000e-04  1.600e-05 -3.000e-04 -3.560e-05  1.030e-04
 4.4910e-04 -5.700e-03  4.500e-04  6.700e-04  1.540e-02 -8.800e-04  1.800e-05 -3.000e-04 -4.100e-05  1.180e-04
 5.3510e-04 -6.400e-03  5.100e-04  7.900e-04  1.740e-02 -9.500e-04  2.100e-05 -4.000e-04 -4.710e-05  1.350e-04
 6.3540e-04 -7.200e-03  5.800e-04  9.300e-04  1.950e-02 -1.020e-03  2.300e-05 -5.000e-04 -5.380e-05  1.540e-04
 7.5270e-04 -8.000e-03  6.500e-04  1.080e-03  2.180e-02 -1.090e-03  2.500e-05 -6.000e-04 -6.130e-05  1.740e-04
 8.8960e-04 -8.900e-03  7.300e-04  1.260e-03  2.420e-02 -1.150e-03  2.700e-05 -7.000e-04 -6.970e-05  1.960e-04
 1.0490e-03 -9.800e-03  8.000e-04  1.450e-03  2.680e-02 -1.200e-03  3.000e-05 -9.000e-04 -7.910e-05  2.190e-04
 1.2340e-03 -1.080e-02  8.900e-04  1.670e-03  2.950e-02 -1.240e-03  3.100e-05 -1.100e-03 -8.960e-05  2.440e-04
 1.4490e-03 -1.180e-02  9.700e-04  1.920e-03  3.230e-02 -1.260e-03  3.200e-05 -1.300e-03 -1.012e-04  2.700e-04
 1.6890e-03 -1.280e-02  1.060e-03  2.180e-03  3.520e-02 -1.280e-03  3.200e-05 -1.600e-03 -1.136e-04  2.970e-04
 1.9550e-03 -1.380e-02  1.150e-03  2.470e-03  3.800e-02 -1.270e-03  3.200e-05 -1.900e-03 -1.269e-04  3.240e-04
 2.2500e-03 -1.480e-02  1.240e-03  2.770e-03  4.090e-02 -1.260e-03  3.000e-05 -2.210e-03 -1.411e-04  3.520e-04
 2.5760e-03 -1.580e-02  1.320e-03  3.090e-03  4.380e-02 -1.240e-03  2.700e-05 -2.570e-03 -1.561e-04  3.800e-04
 2.9350e-03 -1.680e-02  1.410e-03  3.430e-03  4.670e-02 -1.200e-03  2.400e-05 -2.960e-03 -1.722e-04  4.080e-04
