#         t         u1         u2         u3        s11        s12        s13        s22        s23        s33
 0.0000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 8.3280e-06  0.000e+00 -1.000e-06  1.000e-06 -1.000e-06  0.000e+00 -1.000e-07  1.000e-05 -1.000e-07  2.000e-07
 1.8520e-05 -1.000e-05 -1.000e-06  3.000e-06 -3.000e-06 -1.000e-05  0.000e+00  2.000e-05 -1.000e-07  4.000e-07
 3.0960e-05 -2.000e-05 -1.000e-06  5.000e-06 -4.000e-06 -2.000e-05  0.000e+00  3.000e-05 -2.000e-07  7.000e-07
 4.6090e-05 -2.000e-05 -1.000e-06  7.000e-06 -5.000e-06 -3.000e-05  0.000e+00  4.000e-05 -3.000e-07  1.100e-06
 6.4000e-05 -3.000e-05  0.000e+00  1.000e-05 -6.000e-06 -4.000e-05  1.000e-07  6.000e-05 -5.000e-07  1.500e-06
 8.4990e-05 -5.000e-05  1.000e-06  1.200e-05 -6.000e-06 -5.000e-05  1.000e-07  7.000e-05 -6.000e-07  2.100e-06
 1.0960e-04 -6.000e-05  2.000e-06  1.500e-05 -7.000e-06 -6.000e-05  1.000e-07  9.000e-05 -7.000e-07  2.700e-06
 1.3840e-04 -8.000e-05  5.000e-06  1.800e-05 -6.000e-06 -8.000e-05  3.000e-07  1.200e-04 -9.000e-07  3.300e-06
 1.7210e-04 -9.000e-05  7.000e-06  2.200e-05 -6.000e-06 -9.000e-05  5.000e-07  1.500e-04 -1.100e-06  4.100e-06
 2.1140e-04 -1.100e-04  1.100e-05  2.500e-05 -4.000e-06 -1.100e-04  6.000e-07  1.800e-04 -1.400e-06  5.100e-06
 2.5730e-04 -1.300e-04  1.500e-05  3.000e-05 -2.000e-06 -1.400e-04  8.000e-07  2.100e-04 -1.600e-06  6.100e-06
 3.1080e-04 -1.600e-04  2.100e-05  3.400e-05  1.000e-06 -1.600e-04  1.100e-06  2.500e-04 -2.000e-06  7.200e-06
 3.7320e-04 -1.800e-04  2.800e-05  4.000e-05  5.000e-06 -1.900e-04  1.400e-06  3.000e-04 -2.300e-06  8.600e-06
 4.4590e-04 -2.100e-04  3.600e-05  4.500e-05  1.000e-05 -2.300e-04  1.600e-06  3.500e-04 -2.700e-06  1.010e-05
 5.3070e-04 -2.400e-04  4.600e-05  5.200e-05  1.700e-05 -2.600e-04  2.000e-06  4.100e-04 -3.100e-06  1.180e-05
 6.2950e-04 -2.800e-04  5.800e-05  6.000e-05  2.600e-05 -3.000e-04  2.300e-06  4.700e-04 -3.600e-06  1.370e-05
 7.4480e-04 -3.200e-04  7.100e-05  6.800e-05  3.600e-05 -3.500e-04  2.700e-06  5.400e-04 -4.100e-06  1.580e-05
 8.7910e-04 -3.600e-04  8.800e-05  7.700e-05  4.900e-05 -4.000e-04  3.200e-06  6.200e-04 -4.700e-06  1.810e-05
 1.0360e-03 -4.100e-04  1.070e-04  8.800e-05  6.500e-05 -4.600e-04  3.700e-06  7.000e-04 -5.400e-06  2.080e-05
 1.2180e-03 -4.600e-04  1.300e-04  1.000e-04  8.400e-05 -5.200e-04  4.300e-06  7.900e-04 -6.200e-06  2.360e-05
 1.4290e-03 -5.100e-04  1.550e-04  1.130e-04  1.060e-04 -5.900e-04  5.000e-06  9.000e-04 -7.000e-06  2.680e-05
 1.6740e-03 -5.700e-04  1.850e-04  1.280e-04  1.310e-04 -6.700e-04  5.800e-06  1.010e-03 -7.900e-06  3.030e-05
 1.9580e-03 -6.300e-04  2.190e-04  1.440e-04  1.610e-04 -7.600e-04  6.600e-06  1.130e-03 -8.900e-06  3.410e-05
 2.2820e-03 -7.000e-04  2.560e-04  1.610e-04  1.950e-04 -8.500e-04  7.500e-06  1.260e-03 -1.000e-05  3.830e-05
 2.6480e-03 -7.600e-04  2.980e-04  1.800e-04  2.329e-04 -9.500e-04  8.400e-06  1.400e-03 -1.120e-05  4.260e-05
 3.0550e-03 -8.300e-04  3.430e-04  2.000e-04  2.742e-04 -1.050e-03  9.400e-06  1.540e-03 -1.240e-05  4.720e-05
 3.5040e-03 -9.000e-04  3.910e-04  2.210e-04  3.188e-04 -1.160e-03  1.050e-05  1.690e-03 -1.370e-05  5.200e-05
 3.9980e-03 -9.800e-04  4.430e-04  2.430e-04  3.668e-04 -1.270e-03  1.150e-05  1.850e-03 -1.500e-05  5.690e-05
 4.5420e-03 -1.050e-03  4.970e-04  2.660e-04  4.181e-04 -1.380e-03  1.270e-05  2.010e-03 -1.640e-05  6.210e-05
 5.1360e-03 -1.120e-03  5.550e-04  2.890e-04  4.725e-04 -1.500e-03  1.390e-05  2.170e-03 -1.790e-05  6.740e-05
 5.7800e-03 -1.200e-03  6.150e-04  3.130e-04  5.294e-04 -1.620e-03  1.510e-05  2.340e-03 -1.940e-05  7.290e-05
 6.4790e-03 -1.270e-03  6.780e-04  3.380e-04  5.888e-04 -1.740e-03  1.630e-05  2.510e-03 -2.090e-05  7.840e-05
 7.2340e-03 -1.340e-03  7.430e-04  3.630e-04  6.507e-04 -1.860e-03  1.760e-05  2.680e-03 -2.250e-05  8.400e-05
 8.0490e-03 -1.420e-03  8.100e-04  3.890e-04  7.149e-04 -1.980e-03  1.900e-05  2.860e-03 -2.410e-05  8.970e-05
 8.9280e-03 -1.490e-03  8.800e-04  4.160e-04  7.813e-04 -2.110e-03  2.030e-05  3.040e-03 -2.570e-05  9.550e-05
 9.8730e-03 -1.570e-03  9.520e-04  4.430e-04  8.499e-04 -2.240e-03  2.160e-05  3.230e-03 -2.730e-05  1.014e-04
 1.0890e-02 -1.640e-03  1.026e-03  4.700e-04  9.203e-04 -2.370e-03  2.300e-05  3.410e-03 -2.910e-05  1.073e-04
 1.1980e-02 -1.710e-03  1.102e-03  4.980e-04  9.925e-04 -2.490e-03  2.440e-05  3.600e-03 -3.080e-05  1.133e-04
 1.3140e-02 -1.790e-03  1.180e-03  5.260e-04  1.066e-03 -2.620e-03  2.580e-05  3.800e-03 -3.250e-05  1.194e-04
 1.4390e-02 -1.860e-03  1.260e-03  5.550e-04  1.141e-03 -2.750e-03  2.720e-05  3.990e-03 -3.430e-05  1.255e-04
 1.5710e-02 -1.930e-03  1.341e-03  5.840e-04  1.218e-03 -2.880e-03  2.860e-05  4.190e-03 -3.610e-05  1.316e-04
 1.7120e-02 -2.000e-03  1.423e-03  6.130e-04  1.295e-03 -3.010e-03  3.000e-05  4.380e-03 -3.790e-05  1.378e-04
 1.8620e-02 -2.070e-03  1.506e-03  6.420e-04  1.373e-03 -3.140e-03  3.140e-05  4.580e-03 -3.970e-05  1.440e-04
 2.0210e-02 -2.140e-03  1.591e-03  6.710e-04  1.453e-03 -3.270e-03  3.290e-05  4.790e-03 -4.150e-05  1.502e-04
 2.1890e-02 -2.210e-03  1.677e-03  7.010e-04  1.532e-03 -3.400e-03  3.440e-05  4.990e-03 -4.330e-05  1.564e-04
