# nb. dgammadot0 x1 x2 x3 length width thickness strike dip
1 20000 -200 -200 5.06909 20 12.5 20 0 90
2 20000 -200 -180 6.14351 20 12.5 20 0 90
3 20000 -200 -160 7.14873 20 12.5 20 0 90
4 20000 -200 -140 8.00823 20 12.5 20 0 90
5 20000 -200 -120 8.74116 20 12.5 20 0 90
6 20000 -200 -100 9.26633 20 12.5 20 0 90
7 20000 -200 -80 9.59276 20 12.5 20 0 90
8 20000 -200 -60 9.7471 20 12.5 20 0 90
9 20000 -200 -40 9.8462 20 12.5 20 0 90
10 20000 -200 -20 9.91503 20 12.5 20 0 90
11 20000 -200 0 9.98669 20 12.5 20 0 90
12 20000 -200 20 9.96369 20 12.5 20 0 90
13 20000 -200 40 9.8827 20 12.5 20 0 90
14 20000 -200 60 9.77156 20 12.5 20 0 90
15 20000 -200 80 9.56158 20 12.5 20 0 90
16 20000 -200 100 9.18993 20 12.5 20 0 90
17 20000 -200 120 8.78213 20 12.5 20 0 90
18 20000 -200 140 8.596 20 12.5 20 0 90
19 20000 -200 160 8.84698 20 12.5 20 0 90
20 20000 -200 180 9.5192 20 12.5 20 0 90
21 20000 -180 -200 5.86751 20 12.5 20 0 90
22 20000 -180 -180 7.07088 20 12.5 20 0 90
23 20000 -180 -160 8.20257 20 12.5 20 0 90
24 20000 -180 -140 9.18198 20 12.5 20 0 90
25 20000 -180 -120 9.95657 20 12.5 20 0 90
26 20000 -180 -100 10.4561 20 12.5 20 0 90
27 20000 -180 -80 10.691 20 12.5 20 0 90
28 20000 -180 -60 10.7268 20 12.5 20 0 90
29 20000 -180 -40 10.679 20 12.5 20 0 90
30 20000 -180 -20 10.6172 20 12.5 20 0 90
31 20000 -180 0 10.5764 20 12.5 20 0 90
32 20000 -180 20 10.5038 20 12.5 20 0 90
33 20000 -180 40 10.4346 20 12.5 20 0 90
34 20000 -180 60 10.3614 20 12.5 20 0 90
35 20000 -180 80 10.1295 20 12.5 20 0 90
36 20000 -180 100 9.6006 20 12.5 20 0 90
37 20000 -180 120 9.00866 20 12.5 20 0 90
38 20000 -180 140 8.72903 20 12.5 20 0 90
39 20000 -180 160 9.05076 20 12.5 20 0 90
40 20000 -180 180 9.99356 20 12.5 20 0 90
41 20000 -160 -200 6.7662 20 12.5 20 0 90
42 20000 -160 -180 8.11233 20 12.5 20 0 90
43 20000 -160 -160 9.39725 20 12.5 20 0 90
44 20000 -160 -140 10.5262 20 12.5 20 0 90
45 20000 -160 -120 11.3649 20 12.5 20 0 90
46 20000 -160 -100 11.8251 20 12.5 20 0 90
47 20000 -160 -80 11.9237 20 12.5 20 0 90
48 20000 -160 -60 11.761 20 12.5 20 0 90
49 20000 -160 -40 11.4757 20 12.5 20 0 90
50 20000 -160 -20 11.1819 20 12.5 20 0 90
51 20000 -160 0 10.9352 20 12.5 20 0 90
52 20000 -160 20 10.7413 20 12.5 20 0 90
53 20000 -160 40 10.6434 20 12.5 20 0 90
54 20000 -160 60 10.6497 20 12.5 20 0 90
55 20000 -160 80 10.4737 20 12.5 20 0 90
56 20000 -160 100 9.94519 20 12.5 20 0 90
57 20000 -160 120 9.38293 20 12.5 20 0 90
58 20000 -160 140 9.12038 20 12.5 20 0 90
59 20000 -160 160 9.39525 20 12.5 20 0 90
60 20000 -160 180 10.3155 20 12.5 20 0 90
61 20000 -140 -200 7.76089 20 12.5 20 0 90
62 20000 -140 -180 9.24417 20 12.5 20 0 90
63 20000 -140 -160 10.6884 20 12.5 20 0 90
64 20000 -140 -140 11.8576 20 12.5 20 0 90
65 20000 -140 -120 12.8202 20 12.5 20 0 90
66 20000 -140 -100 13.2701 20 12.5 20 0 90
