#         t         u1         u2         u3        s11        s12        s13        s22        s23        s33
 0.0000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 8.3280e-06 -3.000e-05 -3.000e-06  0.000e+00 -3.900e-05 -3.000e-05  0.000e+00  8.000e-05 -2.000e-07  2.000e-07
 1.8530e-05 -6.000e-05 -7.000e-06  0.000e+00 -8.400e-05 -7.000e-05  0.000e+00  1.700e-04 -4.000e-07  5.000e-07
 3.0980e-05 -1.000e-04 -1.000e-05 -1.000e-06 -1.380e-04 -1.200e-04 -1.000e-07  2.800e-04 -6.000e-07  8.000e-07
 4.6110e-05 -1.500e-04 -1.300e-05 -1.000e-06 -2.000e-04 -1.700e-04 -1.000e-07  4.100e-04 -9.000e-07  1.100e-06
 6.4050e-05 -2.000e-04 -1.600e-05 -1.000e-06 -2.700e-04 -2.300e-04 -1.000e-07  5.600e-04 -1.300e-06  1.600e-06
 8.5090e-05 -2.600e-04 -1.900e-05 -2.000e-06 -3.490e-04 -3.000e-04 -2.000e-07  7.200e-04 -1.600e-06  2.100e-06
 1.0970e-04 -3.300e-04 -2.100e-05 -3.000e-06 -4.360e-04 -3.800e-04 -2.000e-07  9.100e-04 -2.100e-06  2.600e-06
 1.3860e-04 -4.000e-04 -2.300e-05 -4.000e-06 -5.340e-04 -4.700e-04 -2.000e-07  1.120e-03 -2.500e-06  3.200e-06
 1.7240e-04 -4.800e-04 -2.400e-05 -5.000e-06 -6.410e-04 -5.700e-04 -2.000e-07  1.350e-03 -3.100e-06  3.800e-06
 2.1210e-04 -5.600e-04 -2.400e-05 -6.000e-06 -7.600e-04 -6.700e-04 -3.000e-07  1.600e-03 -3.700e-06  4.600e-06
 2.5830e-04 -6.500e-04 -2.200e-05 -7.000e-06 -8.910e-04 -7.900e-04 -3.000e-07  1.880e-03 -4.300e-06  5.500e-06
 3.1240e-04 -7.500e-04 -2.000e-05 -7.000e-06 -1.035e-03 -9.200e-04 -4.000e-07  2.190e-03 -5.000e-06  6.500e-06
 3.7540e-04 -8.500e-04 -1.500e-05 -8.000e-06 -1.192e-03 -1.060e-03 -5.000e-07  2.520e-03 -5.800e-06  7.600e-06
 4.4910e-04 -9.700e-04 -9.000e-06 -7.000e-06 -1.365e-03 -1.210e-03 -5.000e-07  2.880e-03 -6.700e-06  8.800e-06
 5.3510e-04 -1.080e-03  0.000e+00 -7.000e-06 -1.554e-03 -1.380e-03 -6.000e-07  3.280e-03 -7.700e-06  1.020e-05
 6.3550e-04 -1.210e-03  1.200e-05 -5.000e-06 -1.761e-03 -1.550e-03 -7.000e-07  3.710e-03 -8.700e-06  1.170e-05
 7.5270e-04 -1.330e-03  2.700e-05 -3.000e-06 -1.986e-03 -1.750e-03 -7.000e-07  4.170e-03 -9.900e-06  1.330e-05
 8.8960e-04 -1.470e-03  4.600e-05  1.000e-06 -2.232e-03 -1.960e-03 -7.000e-07  4.660e-03 -1.110e-05  1.510e-05
 1.0490e-03 -1.600e-03  6.900e-05  6.000e-06 -2.498e-03 -2.180e-03 -8.000e-07  5.200e-03 -1.250e-05  1.700e-05
 1.2340e-03 -1.740e-03  9.700e-05  1.300e-05 -2.787e-03 -2.420e-03 -8.000e-07  5.760e-03 -1.400e-05  1.920e-05
 1.4490e-03 -1.880e-03  1.310e-04  2.100e-05 -3.098e-03 -2.680e-03 -8.000e-07  6.370e-03 -1.550e-05  2.150e-05
 1.6890e-03 -2.020e-03  1.700e-04  3.200e-05 -3.423e-03 -2.940e-03 -8.000e-07  6.990e-03 -1.720e-05  2.390e-05
