# nb. dgammadot0 x1 x2 x3 length width thickness strike dip
1 20000 -200 -200 10 20 7.56909 20 0 90
2 20000 -200 -180 10 20 8.64351 20 0 90
3 20000 -200 -160 10 20 9.64873 20 0 90
4 20000 -200 -140 10 20 10.5082 20 0 90
5 20000 -200 -120 10 20 11.2412 20 0 90
6 20000 -200 -100 10 20 11.7663 20 0 90
7 20000 -200 -80 10 20 12.0928 20 0 90
8 20000 -200 -60 10 20 12.2471 20 0 90
9 20000 -200 -40 10 20 12.3462 20 0 90
10 20000 -200 -20 10 20 12.415 20 0 90
11 20000 -200 0 10 20 12.4867 20 0 90
12 20000 -200 20 10 20 12.4637 20 0 90
13 20000 -200 40 10 20 12.3827 20 0 90
14 20000 -200 60 10 20 12.2716 20 0 90
15 20000 -200 80 10 20 12.0616 20 0 90
16 20000 -200 100 10 20 11.6899 20 0 90
17 20000 -200 120 10 20 11.2821 20 0 90
18 20000 -200 140 10 20 11.096 20 0 90
19 20000 -200 160 10 20 11.347 20 0 90
20 20000 -200 180 10 20 12.0192 20 0 90
21 20000 -180 -200 10 20 8.36751 20 0 90
22 20000 -180 -180 10 20 9.57088 20 0 90
23 20000 -180 -160 10 20 10.7026 20 0 90
24 20000 -180 -140 10 20 11.682 20 0 90
25 20000 -180 -120 10 20 12.4566 20 0 90
26 20000 -180 -100 10 20 12.9561 20 0 90
27 20000 -180 -80 10 20 13.191 20 0 90
28 20000 -180 -60 10 20 13.2268 20 0 90
29 20000 -180 -40 10 20 13.179 20 0 90
30 20000 -180 -20 10 20 13.1172 20 0 90
31 20000 -180 0 10 20 13.0764 20 0 90
32 20000 -180 20 10 20 13.0038 20 0 90
33 20000 -180 40 10 20 12.9346 20 0 90
34 20000 -180 60 10 20 12.8614 20 0 90
35 20000 -180 80 10 20 12.6295 20 0 90
36 20000 -180 100 10 20 12.1006 20 0 90
37 20000 -180 120 10 20 11.5087 20 0 90
38 20000 -180 140 10 20 11.229 20 0 90
39 20000 -180 160 10 20 11.5508 20 0 90
40 20000 -180 180 10 20 12.4936 20 0 90
41 20000 -160 -200 10 20 9.2662 20 0 90
42 20000 -160 -180 10 20 10.6123 20 0 90
43 20000 -160 -160 10 20 11.8973 20 0 90
44 20000 -160 -140 10 20 13.0262 20 0 90
45 20000 -160 -120 10 20 13.8649 20 0 90
46 20000 -160 -100 10 20 14.3251 20 0 90
47 20000 -160 -80 10 20 14.4237 20 0 90
48 20000 -160 -60 10 20 14.261 20 0 90
49 20000 -160 -40 10 20 13.9757 20 0 90
50 20000 -160 -20 10 20 13.6819 20 0 90
51 20000 -160 0 10 20 13.4352 20 0 90
52 20000 -160 20 10 20 13.2413 20 0 90
53 20000 -160 40 10 20 13.1434 20 0 90
54 20000 -160 60 10 20 13.1497 20 0 90
55 20000 -160 80 10 20 12.9737 20 0 90
56 20000 -160 100 10 20 12.4452 20 0 90
57 20000 -160 120 10 20 11.8829 20 0 90
58 20000 -160 140 10 20 11.6204 20 0 90
59 20000 -160 160 10 20 11.8952 20 0 90
60 20000 -160 180 10 20 12.8155 20 0 90
61 20000 -140 -200 10 20 10.2609 20 0 90
62 20000 -140 -180 10 20 11.7442 20 0 90
63 20000 -140 -160 10 20 13.1884 20 0 90
64 20000 -140 -140 10 20 14.3576 20 0 90
65 20000 -140 -120 10 20 15.3202 20 0 90
66 20000 -140 -100 10 20 15.7701 20 0 90
67 20000 -140 -80 10 20 15.7056 20 0 90
68 20000 -140 -60 10 20 15.2886 20 0 90
69 20000 -140 -40 10 20 14.7377 20 0 90
70 20000 -140 -20 10 20 14.126 20 0 90
71 20000 -140 0 10 20 13.5678 20 0 90
72 20000 -140 20 10 20 13.0847 20 0 90
73 20000 -140 40 10 20 12.7612 20 0 90
74 20000 -140 60 10 20 12.792 20 0 90
75 20000 -140 80 10 20 12.761 20 0 90
76 20000 -140 100 10 20 12.5163 20 0 90
77 20000 -140 120 10 20 12.2915 20 0 90
78 20000 -140 140 10 20 12.1964 20 0 90
79 20000 -140 160 10 20 12.3648 20 0 90
80 20000 -140 180 10 20 13.0431 20 0 90
81 20000 -120 -200 10 20 11.3256 20 0 90
82 20000 -120 -180 10 20 12.9288 20 0 90
83 20000 -120 -160 10 20 14.5132 20 0 90
84 20000 -120 -140 10 20 15.9039 20 0 90
85 20000 -120 -120 10 20 16.901 20 0 90
86 20000 -120 -100 10 20 17.2956 20 0 90
87 20000 -120 -80 10 20 17.0744 20 0 90
88 20000 -120 -60 10 20 16.4001 20 0 90
89 20000 -120 -40 10 20 15.5015 20 0 90
90 20000 -120 -20 10 20 14.536 20 0 90
91 20000 -120 0 10 20 13.5575 20 0 90
92 20000 -120 20 10 20 12.558 20 0 90
93 20000 -120 40 10 20 11.7989 20 0 90
94 20000 -120 60 10 20 11.5925 20 0 90
95 20000 -120 80 10 20 11.7615 20 0 90
96 20000 -120 100 10 20 11.9976 20 0 90
97 20000 -120 120 10 20 12.2901 20 0 90
98 20000 -120 140 10 20 12.5216 20 0 90
99 20000 -120 160 10 20 12.7313 20 0 90
100 20000 -120 180 10 20 13.2569 20 0 90
101 20000 -100 -200 10 20 12.4229 20 0 90
102 20000 -100 -180 10 20 14.1194 20 0 90
103 20000 -100 -160 10 20 15.8079 20 0 90
104 20000 -100 -140 10 20 17.2594 20 0 90
105 20000 -100 -120 10 20 18.329 20 0 90
106 20000 -100 -100 10 20 18.7094 20 0 90
107 20000 -100 -80 10 20 18.342 20 0 90
108 20000 -100 -60 10 20 17.3877 20 0 90
109 20000 -100 -40 10 20 16.2334 20 0 90
110 20000 -100 -20 10 20 14.9735 20 0 90
111 20000 -100 0 10 20 13.5329 20 0 90
112 20000 -100 20 10 20 11.9123 20 0 90
113 20000 -100 40 10 20 10.588 20 0 90
114 20000 -100 60 10 20 10.2107 20 0 90
115 20000 -100 80 10 20 10.601 20 0 90
116 20000 -100 100 10 20 11.2554 20 0 90
117 20000 -100 120 10 20 12.0337 20 0 90
118 20000 -100 140 10 20 12.5792 20 0 90
119 20000 -100 160 10 20 13.0026 20 0 90
120 20000 -100 180 10 20 13.5663 20 0 90
121 20000 -80 -200 10 20 13.4942 20 0 90
122 20000 -80 -180 10 20 15.2562 20 0 90
123 20000 -80 -160 10 20 17.0155 20 0 90
124 20000 -80 -140 10 20 18.5385 20 0 90
125 20000 -80 -120 10 20 19.5568 20 0 90
126 20000 -80 -100 10 20 19.8691 20 0 90
127 20000 -80 -80 10 20 19.3887 20 0 90
128 20000 -80 -60 10 20 18.1461 20 0 90
129 20000 -80 -40 10 20 16.7556 20 0 90
130 20000 -80 -20 10 20 15.3377 20 0 90
131 20000 -80 0 10 20 13.6637 20 0 90
132 20000 -80 20 10 20 11.7386 20 0 90
133 20000 -80 40 10 20 10.2428 20 0 90
134 20000 -80 60 10 20 9.85189 20 0 90
135 20000 -80 80 10 20 10.2353 20 0 90
136 20000 -80 100 10 20 11.0283 20 0 90
137 20000 -80 120 10 20 11.9752 20 0 90
138 20000 -80 140 10 20 12.7947 20 0 90
139 20000 -80 160 10 20 13.4062 20 0 90
140 20000 -80 180 10 20 13.952 20 0 90
141 20000 -60 -200 10 20 14.4757 20 0 90
142 20000 -60 -180 10 20 16.2669 20 0 90
143 20000 -60 -160 10 20 18.0409 20 0 90
144 20000 -60 -140 10 20 19.4927 20 0 90
145 20000 -60 -120 10 20 20.4749 20 0 90
146 20000 -60 -100 10 20 20.7728 20 0 90
147 20000 -60 -80 10 20 20.1935 20 0 90
148 20000 -60 -60 10 20 18.7657 20 0 90
149 20000 -60 -40 10 20 17.0237 20 0 90
150 20000 -60 -20 10 20 15.5264 20 0 90
151 20000 -60 0 10 20 14.0364 20 0 90
152 20000 -60 20 10 20 12.4104 20 0 90
153 20000 -60 40 10 20 11.1697 20 0 90
154 20000 -60 60 10 20 10.7952 20 0 90
155 20000 -60 80 10 20 10.9701 20 0 90
156 20000 -60 100 10 20 11.5846 20 0 90
157 20000 -60 120 10 20 12.4307 20 0 90
158 20000 -60 140 10 20 13.2533 20 0 90
159 20000 -60 160 10 20 13.8925 20 0 90
160 20000 -60 180 10 20 14.3217 20 0 90
161 20000 -40 -200 10 20 15.3246 20 0 90
162 20000 -40 -180 10 20 17.1006 20 0 90
163 20000 -40 -160 10 20 18.8375 20 0 90
164 20000 -40 -140 10 20 20.2419 20 0 90
165 20000 -40 -120 10 20 21.3078 20 0 90
166 20000 -40 -100 10 20 21.7914 20 0 90
167 20000 -40 -80 10 20 21.234 20 0 90
168 20000 -40 -60 10 20 19.5714 20 0 90
169 20000 -40 -40 10 20 17.4814 20 0 90
170 20000 -40 -20 10 20 15.7355 20 0 90
171 20000 -40 0 10 20 14.3071 20 0 90
172 20000 -40 20 10 20 13.0754 20 0 90
173 20000 -40 40 10 20 12.2 20 0 90
174 20000 -40 60 10 20 11.8808 20 0 90
175 20000 -40 80 10 20 11.9962 20 0 90
176 20000 -40 100 10 20 12.4146 20 0 90
177 20000 -40 120 10 20 13.041 20 0 90
178 20000 -40 140 10 20 13.6781 20 0 90
179 20000 -40 160 10 20 14.1919 20 0 90
180 20000 -40 180 10 20 14.613 20 0 90
181 20000 -20 -200 10 20 16.0161 20 0 90
182 20000 -20 -180 10 20 17.7543 20 0 90
183 20000 -20 -160 10 20 19.4516 20 0 90
184 20000 -20 -140 10 20 20.9809 20 0 90
185 20000 -20 -120 10 20 22.6575 20 0 90
186 20000 -20 -100 10 20 23.93 20 0 90
187 20000 -20 -80 10 20 23.5754 20 0 90
188 20000 -20 -60 10 20 21.5001 20 0 90
189 20000 -20 -40 10 20 18.6562 20 0 90
190 20000 -20 -20 10 20 16.0279 20 0 90
191 20000 -20 0 10 20 14.1232 20 0 90
192 20000 -20 20 10 20 12.9629 20 0 90
193 20000 -20 40 10 20 12.3465 20 0 90
194 20000 -20 60 10 20 12.1536 20 0 90
195 20000 -20 80 10 20 12.3125 20 0 90
196 20000 -20 100 10 20 12.7941 20 0 90
197 20000 -20 120 10 20 13.4317 20 0 90
198 20000 -20 140 10 20 13.9916 20 0 90
199 20000 -20 160 10 20 14.4369 20 0 90
200 20000 -20 180 10 20 14.8449 20 0 90
201 20000 0 -200 10 20 16.4402 20 0 90
202 20000 0 -180 10 20 18.1928 20 0 90
203 20000 0 -160 10 20 19.9647 20 0 90
204 20000 0 -140 10 20 21.6981 20 0 90
205 20000 0 -120 10 20 24.1004 20 0 90
206 20000 0 -100 10 20 26.0216 20 0 90
207 20000 0 -80 10 20 25.7308 20 0 90
208 20000 0 -60 10 20 23.2535 20 0 90
209 20000 0 -40 10 20 19.5974 20 0 90
210 20000 0 -20 10 20 15.9356 20 0 90
211 20000 0 0 10 20 13.4349 20 0 90
212 20000 0 20 10 20 12.3472 20 0 90
213 20000 0 40 10 20 12.082 20 0 90
214 20000 0 60 10 20 12.1661 20 0 90
215 20000 0 80 10 20 12.4666 20 0 90
216 20000 0 100 10 20 13.0674 20 0 90
217 20000 0 120 10 20 13.8128 20 0 90
218 20000 0 140 10 20 14.3401 20 0 90
219 20000 0 160 10 20 14.68 20 0 90
220 20000 0 180 10 20 15.0133 20 0 90
221 20000 20 -200 10 20 16.3192 20 0 90
222 20000 20 -180 10 20 18.3446 20 0 90
223 20000 20 -160 10 20 20.5733 20 0 90
224 20000 20 -140 10 20 22.759 20 0 90
225 20000 20 -120 10 20 24.7748 20 0 90
226 20000 20 -100 10 20 25.4066 20 0 90
227 20000 20 -80 10 20 24.2368 20 0 90
228 20000 20 -60 10 20 21.947 20 0 90
229 20000 20 -40 10 20 18.9059 20 0 90
230 20000 20 -20 10 20 15.4646 20 0 90
231 20000 20 0 10 20 12.9269 20 0 90
232 20000 20 20 10 20 12.0384 20 0 90
233 20000 20 40 10 20 12.2801 20 0 90
234 20000 20 60 10 20 12.7399 20 0 90
235 20000 20 80 10 20 13.0885 20 0 90
236 20000 20 100 10 20 13.59 20 0 90
237 20000 20 120 10 20 14.3041 20 0 90
238 20000 20 140 10 20 14.8339 20 0 90
239 20000 20 160 10 20 15.0511 20 0 90
240 20000 20 180 10 20 15.2347 20 0 90
241 20000 40 -200 10 20 15.6634 20 0 90
242 20000 40 -180 10 20 18.4742 20 0 90
243 20000 40 -160 10 20 21.668 20 0 90
244 20000 40 -140 10 20 23.8331 20 0 90
245 20000 40 -120 10 20 24.2717 20 0 90
246 20000 40 -100 10 20 22.3232 20 0 90
247 20000 40 -80 10 20 19.5668 20 0 90
248 20000 40 -60 10 20 17.7376 20 0 90
249 20000 40 -40 10 20 16.3296 20 0 90
250 20000 40 -20 10 20 14.3465 20 0 90
251 20000 40 0 10 20 12.6077 20 0 90
252 20000 40 20 10 20 12.2369 20 0 90
253 20000 40 40 10 20 13.0054 20 0 90
254 20000 40 60 10 20 13.7865 20 0 90
255 20000 40 80 10 20 14.0413 20 0 90
256 20000 40 100 10 20 14.2354 20 0 90
257 20000 40 120 10 20 14.776 20 0 90
258 20000 40 140 10 20 15.3284 20 0 90
259 20000 40 160 10 20 15.6102 20 0 90
260 20000 40 180 10 20 15.7655 20 0 90
261 20000 60 -200 10 20 15.8291 20 0 90
262 20000 60 -180 10 20 19.7454 20 0 90
263 20000 60 -160 10 20 23.5599 20 0 90
264 20000 60 -140 10 20 25.1582 20 0 90
265 20000 60 -120 10 20 23.3764 20 0 90
266 20000 60 -100 10 20 19.0198 20 0 90
267 20000 60 -80 10 20 15.0267 20 0 90
268 20000 60 -60 10 20 13.7019 20 0 90
269 20000 60 -40 10 20 13.7478 20 0 90
270 20000 60 -20 10 20 13.3501 20 0 90
271 20000 60 0 10 20 12.5593 20 0 90
272 20000 60 20 10 20 12.5494 20 0 90
273 20000 60 40 10 20 13.4934 20 0 90
274 20000 60 60 10 20 14.3424 20 0 90
275 20000 60 80 10 20 14.5339 20 0 90
276 20000 60 100 10 20 14.635 20 0 90
277 20000 60 120 10 20 15.1596 20 0 90
278 20000 60 140 10 20 15.8217 20 0 90
279 20000 60 160 10 20 16.2532 20 0 90
280 20000 60 180 10 20 16.4363 20 0 90
281 20000 80 -200 10 20 17.8243 20 0 90
282 20000 80 -180 10 20 22.3343 20 0 90
283 20000 80 -160 10 20 25.4789 20 0 90
284 20000 80 -140 10 20 25.8745 20 0 90
285 20000 80 -120 10 20 23.0371 20 0 90
286 20000 80 -100 10 20 18.0622 20 0 90
287 20000 80 -80 10 20 13.8493 20 0 90
288 20000 80 -60 10 20 12.3762 20 0 90
289 20000 80 -40 10 20 12.6493 20 0 90
290 20000 80 -20 10 20 12.9383 20 0 90
291 20000 80 0 10 20 12.7874 20 0 90
292 20000 80 20 10 20 12.8939 20 0 90
293 20000 80 40 10 20 13.5575 20 0 90
294 20000 80 60 10 20 14.188 20 0 90
295 20000 80 80 10 20 14.4169 20 0 90
296 20000 80 100 10 20 14.7903 20 0 90
297 20000 80 120 10 20 15.5454 20 0 90
298 20000 80 140 10 20 16.3232 20 0 90
299 20000 80 160 10 20 16.8442 20 0 90
300 20000 80 180 10 20 17.0166 20 0 90
301 20000 100 -200 10 20 20.106 20 0 90
302 20000 100 -180 10 20 23.9644 20 0 90
303 20000 100 -160 10 20 25.6299 20 0 90
304 20000 100 -140 10 20 25.0032 20 0 90
305 20000 100 -120 10 20 22.3075 20 0 90
306 20000 100 -100 10 20 18.299 20 0 90
307 20000 100 -80 10 20 14.846 20 0 90
308 20000 100 -60 10 20 13.1411 20 0 90
309 20000 100 -40 10 20 12.91 20 0 90
310 20000 100 -20 10 20 13.2081 20 0 90
311 20000 100 0 10 20 13.3669 20 0 90
312 20000 100 20 10 20 13.5236 20 0 90
313 20000 100 40 10 20 13.844 20 0 90
314 20000 100 60 10 20 14.0868 20 0 90
315 20000 100 80 10 20 14.3115 20 0 90
316 20000 100 100 10 20 14.9374 20 0 90
317 20000 100 120 10 20 15.9667 20 0 90
318 20000 100 140 10 20 16.9138 20 0 90
319 20000 100 160 10 20 17.4006 20 0 90
