#         t         u1         u2         u3        s11        s12        s13        s22        s23        s33
 0.0000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 2.7740e-08  0.000e+00 -2.000e-06  0.000e+00 -4.000e-06  0.000e+00 -1.000e-07  1.000e-05  0.000e+00  0.000e+00
 6.7460e-08  0.000e+00 -3.000e-06  1.000e-06 -9.000e-06  0.000e+00 -1.000e-07  1.000e-05  0.000e+00  0.000e+00
 1.2390e-07 -1.000e-05 -5.000e-06  1.000e-06 -1.700e-05 -1.000e-05 -2.000e-07  2.000e-05  0.000e+00 -1.000e-07
 2.0340e-07 -1.000e-05 -7.000e-06  1.000e-06 -2.600e-05 -2.000e-05 -2.000e-07  4.000e-05 -1.000e-07 -1.000e-07
 3.1120e-07 -2.000e-05 -1.000e-05  2.000e-06 -3.900e-05 -2.000e-05 -2.000e-07  6.000e-05 -1.000e-07 -1.000e-07
 4.5390e-07 -4.000e-05 -1.300e-05  2.000e-06 -5.400e-05 -3.000e-05 -2.000e-07  8.000e-05 -1.000e-07 -2.000e-07
 6.4240e-07 -5.000e-05 -1.700e-05  2.000e-06 -7.300e-05 -5.000e-05 -4.000e-07  1.100e-04 -1.000e-07 -2.000e-07
 8.9100e-07 -7.000e-05 -2.100e-05  2.000e-06 -9.500e-05 -6.000e-05 -5.000e-07  1.500e-04 -2.000e-07 -2.000e-07
 1.2190e-06 -9.000e-05 -2.500e-05  1.000e-06 -1.220e-04 -8.000e-05 -6.000e-07  2.000e-04 -2.000e-07 -2.000e-07
 1.6500e-06 -1.200e-04 -3.100e-05  0.000e+00 -1.550e-04 -1.100e-04 -7.000e-07  2.600e-04 -3.000e-07 -2.000e-07
 2.2180e-06 -1.500e-04 -3.700e-05 -1.000e-06 -1.920e-04 -1.300e-04 -8.000e-07  3.300e-04 -4.000e-07 -1.000e-07
 2.9620e-06 -1.800e-04 -4.300e-05 -3.000e-06 -2.360e-04 -1.700e-04 -1.000e-06  4.100e-04 -5.000e-07  0.000e+00
 3.9390e-06 -2.200e-04 -5.000e-05 -5.000e-06 -2.870e-04 -2.100e-04 -1.100e-06  5.100e-04 -7.000e-07  1.000e-07
 5.2220e-06 -2.700e-04 -5.700e-05 -7.000e-06 -3.450e-04 -2.500e-04 -1.200e-06  6.300e-04 -9.000e-07  2.000e-07
 6.9060e-06 -3.300e-04 -6.500e-05 -1.100e-05 -4.120e-04 -3.000e-04 -1.400e-06  7.600e-04 -1.100e-06  5.000e-07
 9.1210e-06 -3.900e-04 -7.300e-05 -1.500e-05 -4.870e-04 -3.600e-04 -1.600e-06  9.100e-04 -1.400e-06  7.000e-07
 1.2030e-05 -4.600e-04 -8.200e-05 -1.900e-05 -5.720e-04 -4.300e-04 -1.800e-06  1.090e-03 -1.800e-06  1.000e-06
 1.5830e-05 -5.300e-04 -9.000e-05 -2.400e-05 -6.670e-04 -5.000e-04 -2.100e-06  1.290e-03 -2.100e-06  1.300e-06
 2.0810e-05 -6.200e-04 -9.900e-05 -3.000e-05 -7.730e-04 -5.900e-04 -2.300e-06  1.510e-03 -2.600e-06  1.600e-06
 2.7330e-05 -7.100e-04 -1.080e-04 -3.600e-05 -8.910e-04 -6.800e-04 -2.600e-06  1.750e-03 -3.100e-06  2.100e-06
 3.5820e-05 -8.000e-04 -1.160e-04 -4.200e-05 -1.020e-03 -7.800e-04 -2.900e-06  2.020e-03 -3.600e-06  2.600e-06
 4.6840e-05 -9.100e-04 -1.240e-04 -4.900e-05 -1.161e-03 -8.800e-04 -3.200e-06  2.310e-03 -4.300e-06  3.200e-06
 6.0850e-05 -1.010e-03 -1.320e-04 -5.600e-05 -1.311e-03 -1.000e-03 -3.500e-06  2.610e-03 -5.000e-06  3.900e-06
 7.8130e-05 -1.120e-03 -1.390e-04 -6.200e-05 -1.468e-03 -1.110e-03 -3.900e-06  2.930e-03 -5.700e-06  4.600e-06
 9.9300e-05 -1.220e-03 -1.440e-04 -6.800e-05 -1.630e-03 -1.230e-03 -4.200e-06  3.250e-03 -6.500e-06  5.300e-06
 1.2510e-04 -1.330e-03 -1.490e-04 -7.300e-05 -1.797e-03 -1.360e-03 -4.500e-06  3.590e-03 -7.400e-06  6.100e-06
 1.5620e-04 -1.430e-03 -1.520e-04 -7.800e-05 -1.969e-03 -1.480e-03 -4.800e-06  3.930e-03 -8.300e-06  6.800e-06
 1.9380e-04 -1.540e-03 -1.540e-04 -8.200e-05 -2.146e-03 -1.610e-03 -5.100e-06  4.270e-03 -9.300e-06  7.700e-06
 2.3870e-04 -1.640e-03 -1.530e-04 -8.500e-05 -2.327e-03 -1.740e-03 -5.500e-06  4.630e-03 -1.040e-05  8.500e-06
