#         t         u1         u2         u3        s11        s12        s13        s22        s23        s33
 0.0000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 2.7740e-08  0.000e+00 -1.000e-06  1.000e-06  0.000e+00  1.000e-06  0.000e+00  0.000e+00 -1.000e-08  0.000e+00
 6.7430e-08  0.000e+00 -1.000e-06  1.000e-06  0.000e+00  1.000e-06  0.000e+00  0.000e+00 -1.000e-08 -1.000e-07
 1.2390e-07  0.000e+00 -2.000e-06  2.000e-06  0.000e+00  2.000e-06  0.000e+00  0.000e+00  0.000e+00 -1.000e-07
 2.0340e-07  0.000e+00 -3.000e-06  2.000e-06  0.000e+00  3.000e-06  0.000e+00  0.000e+00  1.000e-08 -1.000e-07
 3.1250e-07  0.000e+00 -4.000e-06  3.000e-06  1.000e-05  4.000e-06  1.000e-07  0.000e+00  1.000e-08 -1.000e-07
 4.5900e-07 -1.000e-05 -5.000e-06  3.000e-06  1.000e-05  5.000e-06  1.000e-07  0.000e+00  2.000e-08  0.000e+00
 6.5030e-07 -1.000e-05 -6.000e-06  3.000e-06  2.000e-05  6.000e-06  2.000e-07 -1.000e-05  3.000e-08  1.000e-07
 8.9950e-07 -2.000e-05 -7.000e-06  3.000e-06  4.000e-05  7.000e-06  2.000e-07 -1.000e-05  3.000e-08  3.000e-07
 1.2230e-06 -3.000e-05 -7.000e-06  2.000e-06  6.000e-05  7.000e-06  3.000e-07 -1.000e-05  3.000e-08  3.000e-07
 1.6410e-06 -4.000e-05 -8.000e-06  1.000e-06  8.000e-05  7.000e-06  4.000e-07 -1.000e-05  4.000e-08  6.000e-07
 2.1830e-06 -6.000e-05 -8.000e-06 -1.000e-06  1.100e-04  7.000e-06  5.000e-07 -1.000e-05  6.000e-08  9.000e-07
 2.8820e-06 -8.000e-05 -8.000e-06 -3.000e-06  1.400e-04  7.000e-06  6.000e-07 -1.000e-05  6.000e-08  1.300e-06
 3.7830e-06 -1.100e-04 -7.000e-06 -6.000e-06  1.800e-04  6.000e-06  8.000e-07  0.000e+00  7.000e-08  1.700e-06
 4.9450e-06 -1.400e-04 -7.000e-06 -1.000e-05  2.300e-04  5.000e-06  9.000e-07  0.000e+00  8.000e-08  2.100e-06
 6.4430e-06 -1.800e-04 -6.000e-06 -1.500e-05  2.900e-04  4.000e-06  1.200e-06  0.000e+00  8.000e-08  2.800e-06
 8.3730e-06 -2.300e-04 -4.000e-06 -2.000e-05  3.600e-04  3.000e-06  1.400e-06  0.000e+00  8.000e-08  3.500e-06
 1.0860e-05 -2.800e-04 -2.000e-06 -2.700e-05  4.400e-04  2.000e-06  1.800e-06  1.000e-05  8.000e-08  4.300e-06
 1.4060e-05 -3.400e-04  0.000e+00 -3.500e-05  5.300e-04  1.000e-06  2.100e-06  1.000e-05  9.000e-08  5.300e-06
 1.8180e-05 -4.100e-04  3.000e-06 -4.400e-05  6.400e-04  0.000e+00  2.500e-06  2.000e-05  1.000e-07  6.300e-06
 2.3490e-05 -4.900e-04  6.000e-06 -5.400e-05  7.600e-04 -1.000e-06  3.000e-06  2.000e-05  1.100e-07  7.500e-06
 3.0350e-05 -5.800e-04  1.000e-05 -6.600e-05  9.000e-04 -1.000e-06  3.500e-06  3.000e-05  1.600e-07  8.800e-06
 3.9210e-05 -6.800e-04  1.500e-05 -7.900e-05  1.050e-03 -1.000e-06  4.100e-06  4.000e-05  2.000e-07  1.030e-05
 5.0390e-05 -8.000e-04  1.900e-05 -9.300e-05  1.220e-03 -1.000e-06  4.800e-06  5.000e-05  2.100e-07  1.190e-05
 6.4110e-05 -9.100e-04  2.400e-05 -1.080e-04  1.390e-03  1.000e-06  5.400e-06  6.000e-05  2.300e-07  1.360e-05
 8.0890e-05 -1.030e-03  3.000e-05 -1.230e-04  1.580e-03  2.000e-06  6.100e-06  7.000e-05  2.400e-07  1.540e-05
 1.0130e-04 -1.160e-03  3.500e-05 -1.390e-04  1.780e-03  5.000e-06  6.900e-06  8.000e-05  2.400e-07  1.750e-05
 1.2610e-04 -1.300e-03  4.100e-05 -1.550e-04  1.980e-03  7.000e-06  7.700e-06  1.000e-04  2.500e-07  1.950e-05
 1.5600e-04 -1.430e-03  4.700e-05 -1.710e-04  2.190e-03  1.100e-05  8.400e-06  1.100e-04  2.800e-07  2.170e-05
 1.9200e-04 -1.580e-03  5.300e-05 -1.930e-04  2.410e-03  1.500e-05  9.300e-06  1.200e-04  2.900e-07  2.390e-05
 2.3520e-04 -1.720e-03  5.900e-05 -2.030e-04  2.640e-03  2.100e-05  1.010e-05  1.400e-04  3.200e-07  2.630e-05
 2.8670e-04 -1.870e-03  6.600e-05 -2.230e-04  2.870e-03  2.600e-05  1.100e-05  1.500e-04  3.500e-07  2.860e-05
 3.4820e-04 -2.030e-03  7.200e-05 -2.430e-04  3.110e-03  3.300e-05  1.190e-05  1.600e-04  3.700e-07  3.100e-05
 4.2110e-04 -2.180e-03  7.900e-05 -2.530e-04  3.350e-03  4.000e-05  1.290e-05  1.800e-04  3.700e-07  3.350e-05
 5.0750e-04 -2.340e-03  8.600e-05 -2.730e-04  3.590e-03  4.900e-05  1.370e-05  1.900e-04  3.800e-07  3.600e-05
 6.0940e-04 -2.500e-03  9.300e-05 -2.830e-04  3.840e-03  5.800e-05  1.450e-05  2.100e-04  4.100e-07  3.870e-05
