#         t         u1         u2         u3        s11        s12        s13        s22        s23        s33
 0.0000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 5.0000e-02 -7.400e-04  2.600e-04  1.620e-04 -1.545e-03 -6.200e-04  1.600e-05  5.000e-04  3.400e-06 -1.460e-05
 1.0000e-01 -1.430e-03  5.240e-04  3.430e-04 -2.962e-03 -1.190e-03  3.070e-05  8.700e-04  6.300e-06 -2.820e-05
 1.5000e-01 -2.060e-03  7.880e-04  5.370e-04 -4.262e-03 -1.720e-03  4.440e-05  1.140e-03  8.800e-06 -4.080e-05
 2.0000e-01 -2.650e-03  1.049e-03  7.420e-04 -5.454e-03 -2.200e-03  5.680e-05  1.310e-03  1.080e-05 -5.250e-05
 2.5000e-01 -3.190e-03  1.308e-03  9.530e-04 -6.548e-03 -2.640e-03  6.850e-05  1.410e-03  1.260e-05 -6.350e-05
 3.0000e-01 -3.700e-03  1.561e-03  1.168e-03 -7.552e-03 -3.050e-03  7.910e-05  1.450e-03  1.390e-05 -7.360e-05
 3.5000e-01 -4.180e-03  1.810e-03  1.385e-03 -8.473e-03 -3.420e-03  8.890e-05  1.440e-03  1.510e-05 -8.300e-05
 4.0000e-01 -4.630e-03  2.051e-03  1.601e-03 -9.319e-03 -3.770e-03  9.800e-05  1.380e-03  1.590e-05 -9.180e-05
 4.5000e-01 -5.050e-03  2.287e-03  1.815e-03 -1.010e-02 -4.100e-03  1.064e-04  1.290e-03  1.650e-05 -9.980e-05
 5.0000e-01 -5.450e-03  2.515e-03  2.027e-03 -1.081e-02 -4.400e-03  1.142e-04  1.180e-03  1.690e-05 -1.073e-04
 5.5000e-01 -5.830e-03  2.736e-03  2.234e-03 -1.147e-02 -4.690e-03  1.214e-04  1.040e-03  1.710e-05 -1.143e-04
 6.0000e-01 -6.200e-03  2.950e-03  2.437e-03 -1.207e-02 -4.950e-03  1.280e-04  8.800e-04  1.710e-05 -1.208e-04
 6.5000e-01 -6.540e-03  3.156e-03  2.634e-03 -1.262e-02 -5.200e-03  1.341e-04  7.100e-04  1.690e-05 -1.270e-04
 7.0000e-01 -6.870e-03  3.356e-03  2.826e-03 -1.313e-02 -5.430e-03  1.399e-04  5.300e-04  1.660e-05 -1.326e-04
