#         t         u1         u2         u3        s11        s12        s13        s22        s23        s33
 0.0000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 2.5850e-02 -2.900e-05 -8.000e-05  0.000e+00 -5.000e-05  5.000e-05  7.000e-07  0.000e+00  0.000e+00  0.000e+00
 5.1700e-02 -5.600e-05 -1.600e-04 -1.000e-05 -9.000e-05  9.000e-05  1.400e-06  0.000e+00 -1.000e-06 -1.000e-06
 7.7550e-02 -8.100e-05 -2.300e-04 -1.000e-05 -1.400e-04  1.300e-04  2.100e-06 -1.000e-04 -2.000e-06 -1.000e-06
 1.0340e-01 -1.040e-04 -3.000e-04 -1.000e-05 -1.800e-04  1.600e-04  2.800e-06 -1.000e-04 -3.000e-06 -1.000e-06
 1.2930e-01 -1.270e-04 -3.700e-04 -2.000e-05 -2.200e-04  1.900e-04  3.400e-06 -1.000e-04 -3.000e-06 -1.000e-06
 1.5510e-01 -1.480e-04 -4.300e-04 -2.000e-05 -2.500e-04  2.200e-04  4.000e-06 -1.000e-04 -4.000e-06 -1.000e-06
 1.8100e-01 -1.690e-04 -4.900e-04 -2.000e-05 -2.800e-04  2.500e-04  4.600e-06 -1.000e-04 -5.000e-06 -1.000e-06
 2.0680e-01 -1.880e-04 -5.500e-04 -3.000e-05 -3.200e-04  2.700e-04  5.200e-06 -1.000e-04 -6.000e-06 -1.000e-06
 2.3270e-01 -2.060e-04 -6.000e-04 -3.000e-05 -3.500e-04  2.900e-04  5.700e-06 -1.000e-04 -7.000e-06 -1.000e-06
 2.5850e-01 -2.240e-04 -6.500e-04 -3.000e-05 -3.700e-04  3.100e-04  6.200e-06 -1.000e-04 -7.000e-06 -1.000e-06
 2.8440e-01 -2.410e-04 -7.000e-04 -4.000e-05 -4.000e-04  3.300e-04  6.700e-06 -1.000e-04 -8.000e-06 -1.000e-06
 3.1020e-01 -2.570e-04 -7.500e-04 -4.000e-05 -4.300e-04  3.400e-04  7.200e-06 -2.000e-04 -8.000e-06 -1.000e-06
 3.3610e-01 -2.720e-04 -7.900e-04 -4.000e-05 -4.500e-04  3.600e-04  7.700e-06 -2.000e-04 -9.000e-06 -1.000e-06
 3.6190e-01 -2.870e-04 -8.400e-04 -4.000e-05 -4.700e-04  3.700e-04  8.100e-06 -2.000e-04 -1.000e-05 -1.000e-06
 3.8780e-01 -3.020e-04 -8.800e-04 -5.000e-05 -4.900e-04  3.800e-04  8.600e-06 -2.000e-04 -1.000e-05 -1.000e-06
 4.1360e-01 -3.150e-04 -9.200e-04 -5.000e-05 -5.100e-04  3.900e-04  9.000e-06 -2.000e-04 -1.000e-05 -1.000e-06
 4.3950e-01 -3.290e-04 -9.500e-04 -5.000e-05 -5.300e-04  4.000e-04  9.400e-06 -2.000e-04 -1.100e-05 -1.000e-06
 4.6530e-01 -3.420e-04 -9.900e-04 -6.000e-05 -5.500e-04  4.100e-04  9.700e-06 -2.000e-04 -1.100e-05 -1.000e-06
 4.9120e-01 -3.540e-04 -1.020e-03 -6.000e-05 -5.600e-04  4.200e-04  1.010e-05 -2.000e-04 -1.200e-05 -1.000e-06
 5.1700e-01 -3.660e-04 -1.050e-03 -6.000e-05 -5.800e-04  4.200e-04  1.050e-05 -2.000e-04 -1.200e-05 -1.000e-06
 5.4290e-01 -3.780e-04 -1.090e-03 -7.000e-05 -6.000e-04  4.300e-04  1.080e-05 -2.000e-04 -1.200e-05 -1.000e-06
 5.6870e-01 -3.890e-04 -1.120e-03 -7.000e-05 -6.100e-04  4.300e-04  1.120e-05 -2.000e-04 -1.300e-05 -1.000e-06
 5.9460e-01 -4.000e-04 -1.140e-03 -7.000e-05 -6.200e-04  4.400e-04  1.150e-05 -2.000e-04 -1.300e-05 -1.000e-06
 6.2040e-01 -4.110e-04 -1.170e-03 -8.000e-05 -6.400e-04  4.400e-04  1.180e-05 -2.000e-04 -1.300e-05  0.000e+00
 6.4630e-01 -4.210e-04 -1.200e-03 -8.000e-05 -6.500e-04  4.400e-04  1.210e-05 -2.000e-04 -1.400e-05  0.000e+00
