#         t         u1         u2         u3        s11        s12        s13        s22        s23        s33
 0.0000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 5.0000e-02 -1.380e-03 -9.900e-05  1.230e-04 -1.570e-04 -2.900e-04 -6.300e-06  1.040e-03 -4.200e-06  1.320e-05
 1.0000e-01 -2.670e-03 -2.120e-04  2.570e-04 -2.840e-04 -5.400e-04 -1.260e-05  1.970e-03 -8.900e-06  2.600e-05
 1.5000e-01 -3.870e-03 -3.370e-04  3.990e-04 -3.870e-04 -7.700e-04 -1.890e-05  2.800e-03 -1.390e-05  3.830e-05
 2.0000e-01 -5.010e-03 -4.750e-04  5.470e-04 -4.680e-04 -9.700e-04 -2.530e-05  3.560e-03 -1.930e-05  5.020e-05
 2.5000e-01 -6.080e-03 -6.230e-04  7.020e-04 -5.300e-04 -1.140e-03 -3.140e-05  4.230e-03 -2.490e-05  6.170e-05
 3.0000e-01 -7.090e-03 -7.820e-04  8.600e-04 -5.760e-04 -1.290e-03 -3.770e-05  4.850e-03 -3.070e-05  7.290e-05
 3.5000e-01 -8.040e-03 -9.500e-04  1.022e-03 -6.080e-04 -1.420e-03 -4.390e-05  5.400e-03 -3.680e-05  8.370e-05
 4.0000e-01 -8.950e-03 -1.126e-03  1.186e-03 -6.280e-04 -1.530e-03 -5.010e-05  5.900e-03 -4.300e-05  9.420e-05
 4.5000e-01 -9.810e-03 -1.309e-03  1.352e-03 -6.380e-04 -1.620e-03 -5.630e-05  6.360e-03 -4.940e-05  1.043e-04
 5.0000e-01 -1.062e-02 -1.498e-03  1.519e-03 -6.380e-04 -1.700e-03 -6.240e-05  6.770e-03 -5.590e-05  1.142e-04
 5.5000e-01 -1.140e-02 -1.693e-03  1.686e-03 -6.310e-04 -1.770e-03 -6.830e-05  7.150e-03 -6.250e-05  1.237e-04
 6.0000e-01 -1.215e-02 -1.893e-03  1.854e-03 -6.180e-04 -1.830e-03 -7.420e-05  7.500e-03 -6.910e-05  1.329e-04
 6.5000e-01 -1.285e-02 -2.096e-03  2.021e-03 -5.990e-04 -1.870e-03 -8.020e-05  7.810e-03 -7.580e-05  1.420e-04
 7.0000e-01 -1.353e-02 -2.303e-03  2.187e-03 -5.760e-04 -1.900e-03 -8.610e-05  8.100e-03 -8.250e-05  1.507e-04
 7.5000e-01 -1.418e-02 -2.513e-03  2.353e-03 -5.480e-04 -1.930e-03 -9.190e-05  8.360e-03 -8.930e-05  1.593e-04
 8.0000e-01 -1.481e-02 -2.724e-03  2.517e-03 -5.180e-04 -1.950e-03 -9.750e-05  8.610e-03 -9.600e-05  1.676e-04
 8.5000e-01 -1.540e-02 -2.937e-03  2.680e-03 -4.840e-04 -1.960e-03 -1.031e-04  8.830e-03 -1.027e-04  1.755e-04
 9.0000e-01 -1.598e-02 -3.151e-03  2.841e-03 -4.490e-04 -1.960e-03 -1.084e-04  9.030e-03 -1.093e-04  1.834e-04
 9.5000e-01 -1.653e-02 -3.366e-03  3.000e-03 -4.110e-04 -1.960e-03 -1.136e-04  9.220e-03 -1.160e-04  1.910e-04
 1.0000e+00 -1.706e-02 -3.580e-03  3.157e-03 -3.720e-04 -1.960e-03 -1.189e-04  9.400e-03 -1.225e-04  1.985e-04
 1.0500e+00 -1.757e-02 -3.795e-03  3.312e-03 -3.320e-04 -1.950e-03 -1.241e-04  9.560e-03 -1.291e-04  2.056e-04
 1.1000e+00 -1.806e-02 -4.009e-03  3.465e-03 -2.910e-04 -1.930e-03 -1.291e-04  9.710e-03 -1.355e-04  2.126e-04
 1.1500e+00 -1.853e-02 -4.222e-03  3.616e-03 -2.490e-04 -1.910e-03 -1.341e-04  9.850e-03 -1.419e-04  2.194e-04
 1.2000e+00 -1.899e-02 -4.435e-03  3.764e-03 -2.060e-04 -1.890e-03 -1.391e-04  9.980e-03 -1.482e-04  2.261e-04
 1.2500e+00 -1.943e-02 -4.645e-03  3.910e-03 -1.630e-04 -1.870e-03 -1.437e-04  1.010e-02 -1.544e-04  2.325e-04
 1.3000e+00 -1.986e-02 -4.855e-03  4.053e-03 -1.190e-04 -1.840e-03 -1.485e-04  1.021e-02 -1.605e-04  2.389e-04
 1.3500e+00 -2.027e-02 -5.065e-03  4.194e-03 -7.600e-05 -1.810e-03 -1.530e-04  1.031e-02 -1.665e-04  2.450e-04
 1.4000e+00 -2.066e-02 -5.265e-03  4.333e-03 -3.300e-05 -1.780e-03 -1.574e-04  1.041e-02 -1.724e-04  2.510e-04
 1.4500e+00 -2.105e-02 -5.475e-03  4.469e-03  1.100e-05 -1.750e-03 -1.619e-04  1.050e-02 -1.782e-04  2.568e-04
 1.5000e+00 -2.142e-02 -5.675e-03  4.603e-03  5.400e-05 -1.710e-03 -1.660e-04  1.058e-02 -1.840e-04  2.624e-04
 1.5500e+00 -2.178e-02 -5.875e-03  4.734e-03  9.800e-05 -1.680e-03 -1.702e-04  1.066e-02 -1.896e-04  2.680e-04
 1.6000e+00 -2.213e-02 -6.075e-03  4.863e-03  1.410e-04 -1.640e-03 -1.743e-04  1.073e-02 -1.952e-04  2.733e-04
 1.6500e+00 -2.246e-02 -6.275e-03  4.990e-03  1.840e-04 -1.600e-03 -1.784e-04  1.080e-02 -2.006e-04  2.785e-04
 1.7000e+00 -2.279e-02 -6.465e-03  5.114e-03  2.266e-04 -1.560e-03 -1.824e-04  1.087e-02 -2.059e-04  2.836e-04
 1.7500e+00 -2.311e-02 -6.655e-03  5.235e-03  2.693e-04 -1.520e-03 -1.863e-04  1.093e-02 -2.111e-04  2.887e-04
 1.8000e+00 -2.341e-02 -6.845e-03  5.355e-03  3.117e-04 -1.480e-03 -1.901e-04  1.099e-02 -2.163e-04  2.936e-04
 1.8500e+00 -2.371e-02 -7.025e-03  5.472e-03  3.537e-04 -1.440e-03 -1.939e-04  1.104e-02 -2.214e-04  2.982e-04
 1.9000e+00 -2.400e-02 -7.215e-03  5.586e-03  3.955e-04 -1.400e-03 -1.977e-04  1.109e-02 -2.263e-04  3.029e-04
 1.9500e+00 -2.428e-02 -7.395e-03  5.699e-03  4.372e-04 -1.360e-03 -2.014e-04  1.114e-02 -2.312e-04  3.075e-04
 2.0000e+00 -2.455e-02 -7.575e-03  5.809e-03  4.786e-04 -1.320e-03 -2.050e-04  1.118e-02 -2.359e-04  3.119e-04
 2.0500e+00 -2.482e-02 -7.745e-03  5.916e-03  5.195e-04 -1.270e-03 -2.086e-04  1.122e-02 -2.406e-04  3.162e-04
 2.1000e+00 -2.508e-02 -7.925e-03  6.022e-03  5.602e-04 -1.230e-03 -2.121e-04  1.126e-02 -2.452e-04  3.203e-04
 2.1500e+00 -2.533e-02 -8.095e-03  6.126e-03  6.008e-04 -1.190e-03 -2.155e-04  1.130e-02 -2.497e-04  3.245e-04
 2.2000e+00 -2.557e-02 -8.265e-03  6.227e-03  6.408e-04 -1.140e-03 -2.189e-04  1.133e-02 -2.541e-04  3.284e-04
 2.2500e+00 -2.581e-02 -8.435e-03  6.326e-03  6.807e-04 -1.100e-03 -2.220e-04  1.136e-02 -2.585e-04  3.323e-04
