#         t         u1         u2         u3        s11        s12        s13        s22        s23        s33
 0.0000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 1.7010e-04 -3.000e-05  7.000e-06  6.000e-06 -6.300e-05 -3.000e-05 -2.000e-07  8.000e-05  4.000e-07  1.000e-07
 3.9110e-04 -6.000e-05  1.600e-05  1.300e-05 -1.390e-04 -6.000e-05 -3.000e-07  1.700e-04  9.000e-07  2.000e-07
 6.7510e-04 -1.100e-04  2.800e-05  2.200e-05 -2.290e-04 -1.100e-04 -5.000e-07  2.800e-04  1.600e-06  3.000e-07
 1.0360e-03 -1.600e-04  4.200e-05  3.300e-05 -3.360e-04 -1.500e-04 -6.000e-07  4.100e-04  2.400e-06  4.000e-07
 1.4920e-03 -2.100e-04  6.000e-05  4.600e-05 -4.590e-04 -2.100e-04 -8.000e-07  5.600e-04  3.300e-06  5.000e-07
 2.0490e-03 -2.700e-04  8.100e-05  6.200e-05 -5.980e-04 -2.700e-04 -1.000e-06  7.200e-04  4.500e-06  7.000e-07
 2.7230e-03 -3.300e-04  1.060e-04  7.900e-05 -7.510e-04 -3.300e-04 -1.300e-06  8.900e-04  5.800e-06  1.000e-06
 3.5330e-03 -4.000e-04  1.350e-04  9.900e-05 -9.190e-04 -4.000e-04 -1.600e-06  1.080e-03  7.300e-06  1.200e-06
 4.5000e-03 -4.700e-04  1.680e-04  1.220e-04 -1.102e-03 -4.800e-04 -1.800e-06  1.290e-03  9.100e-06  1.500e-06
 5.6460e-03 -5.400e-04  2.060e-04  1.470e-04 -1.300e-03 -5.600e-04 -2.100e-06  1.500e-03  1.100e-05  1.800e-06
 6.9970e-03 -6.200e-04  2.490e-04  1.750e-04 -1.513e-03 -6.400e-04 -2.200e-06  1.730e-03  1.320e-05  2.100e-06
 8.5820e-03 -6.900e-04  2.960e-04  2.060e-04 -1.740e-03 -7.200e-04 -2.400e-06  1.960e-03  1.560e-05  2.400e-06
 1.0430e-02 -7.700e-04  3.490e-04  2.410e-04 -1.980e-03 -8.100e-04 -2.600e-06  2.210e-03  1.820e-05  2.800e-06
 1.2580e-02 -8.500e-04  4.070e-04  2.790e-04 -2.235e-03 -9.000e-04 -2.800e-06  2.460e-03  2.120e-05  3.100e-06
 1.5060e-02 -9.300e-04  4.700e-04  3.200e-04 -2.501e-03 -1.000e-03 -2.900e-06  2.710e-03  2.430e-05  3.500e-06
 1.7900e-02 -1.010e-03  5.390e-04  3.650e-04 -2.779e-03 -1.090e-03 -2.900e-06  2.970e-03  2.770e-05  3.800e-06
 2.1160e-02 -1.090e-03  6.130e-04  4.140e-04 -3.068e-03 -1.190e-03 -2.900e-06  3.240e-03  3.140e-05  4.100e-06
 2.4860e-02 -1.180e-03  6.920e-04  4.670e-04 -3.367e-03 -1.280e-03 -2.700e-06  3.500e-03  3.520e-05  4.400e-06
 2.9070e-02 -1.260e-03  7.770e-04  5.230e-04 -3.675e-03 -1.380e-03 -2.500e-06  3.770e-03  3.930e-05  4.700e-06
 3.3840e-02 -1.340e-03  8.670e-04  5.830e-04 -3.991e-03 -1.470e-03 -2.200e-06  4.030e-03  4.370e-05  4.900e-06
 3.9220e-02 -1.420e-03  9.620e-04  6.470e-04 -4.315e-03 -1.570e-03 -1.700e-06  4.290e-03  4.820e-05  5.100e-06
 4.5300e-02 -1.500e-03  1.062e-03  7.150e-04 -4.645e-03 -1.660e-03 -1.200e-06  4.550e-03  5.300e-05  5.300e-06
 5.2130e-02 -1.580e-03  1.167e-03  7.880e-04 -4.982e-03 -1.760e-03 -4.000e-07  4.810e-03  5.800e-05  5.400e-06
 5.9800e-02 -1.660e-03  1.276e-03  8.640e-04 -5.325e-03 -1.850e-03  4.000e-07  5.060e-03  6.310e-05  5.500e-06
 6.8400e-02 -1.750e-03  1.391e-03  9.440e-04 -5.671e-03 -1.940e-03  1.500e-06  5.300e-03  6.840e-05  5.600e-06
 7.8030e-02 -1.830e-03  1.510e-03  1.028e-03 -6.022e-03 -2.040e-03  2.600e-06  5.540e-03  7.380e-05  5.500e-06
 8.8790e-02 -1.910e-03  1.633e-03  1.116e-03 -6.375e-03 -2.120e-03  4.000e-06  5.770e-03  7.940e-05  5.500e-06
 1.0080e-01 -1.990e-03  1.761e-03  1.208e-03 -6.730e-03 -2.210e-03  5.500e-06  5.990e-03  8.500e-05  5.400e-06
 1.1410e-01 -2.080e-03  1.892e-03  1.304e-03 -7.086e-03 -2.300e-03  7.200e-06  6.190e-03  9.070e-05  5.200e-06
 1.2900e-01 -2.160e-03  2.026e-03  1.402e-03 -7.441e-03 -2.390e-03  9.000e-06  6.390e-03  9.640e-05  5.000e-06
 1.4540e-01 -2.250e-03  2.164e-03  1.504e-03 -7.796e-03 -2.470e-03  1.100e-05  6.580e-03  1.022e-04  4.700e-06
 1.6360e-01 -2.340e-03  2.304e-03  1.609e-03 -8.148e-03 -2.550e-03  1.310e-05  6.750e-03  1.079e-04  4.300e-06
 1.8370e-01 -2.420e-03  2.446e-03  1.716e-03 -8.497e-03 -2.630e-03  1.550e-05  6.910e-03  1.135e-04  3.900e-06
 2.0590e-01 -2.510e-03  2.591e-03  1.826e-03 -8.846e-03 -2.710e-03  1.800e-05  7.060e-03  1.190e-04  3.400e-06
 2.3040e-01 -2.600e-03  2.737e-03  1.939e-03 -9.186e-03 -2.790e-03  2.070e-05  7.200e-03  1.244e-04  2.800e-06
 2.5740e-01 -2.690e-03  2.885e-03  2.053e-03 -9.526e-03 -2.860e-03  2.360e-05  7.320e-03  1.297e-04  2.200e-06
 2.8720e-01 -2.790e-03  3.033e-03  2.169e-03 -9.856e-03 -2.940e-03  2.660e-05  7.420e-03  1.348e-04  1.400e-06
 3.1990e-01 -2.880e-03  3.183e-03  2.287e-03 -1.019e-02 -3.010e-03  2.980e-05  7.520e-03  1.398e-04  5.000e-07
 3.5580e-01 -2.980e-03  3.333e-03  2.406e-03 -1.051e-02 -3.080e-03  3.310e-05  7.600e-03  1.445e-04 -3.000e-07
 3.9530e-01 -3.070e-03  3.484e-03  2.527e-03 -1.082e-02 -3.160e-03  3.650e-05  7.670e-03  1.490e-04 -1.300e-06
 4.3850e-01 -3.170e-03  3.634e-03  2.648e-03 -1.113e-02 -3.230e-03  4.010e-05  7.720e-03  1.532e-04 -2.400e-06
 4.8590e-01 -3.270e-03  3.784e-03  2.770e-03 -1.143e-02 -3.300e-03  4.380e-05  7.760e-03  1.572e-04 -3.500e-06
 5.3770e-01 -3.380e-03  3.933e-03  2.892e-03 -1.172e-02 -3.380e-03  4.750e-05  7.790e-03  1.609e-04 -4.700e-06
 5.9420e-01 -3.480e-03  4.081e-03  3.014e-03 -1.201e-02 -3.450e-03  5.120e-05  7.800e-03  1.644e-04 -5.900e-06
 6.5580e-01 -3.590e-03  4.228e-03  3.136e-03 -1.228e-02 -3.520e-03  5.510e-05  7.810e-03  1.675e-04 -7.200e-06
 7.2290e-01 -3.690e-03  4.373e-03  3.257e-03 -1.255e-02 -3.600e-03  5.900e-05  7.800e-03  1.703e-04 -8.600e-06
 7.9590e-01 -3.800e-03  4.517e-03  3.378e-03 -1.281e-02 -3.670e-03  6.290e-05  7.780e-03  1.729e-04 -9.900e-06
 8.7520e-01 -3.910e-03  4.659e-03  3.498e-03 -1.306e-02 -3.750e-03  6.690e-05  7.750e-03  1.751e-04 -1.140e-05
 9.6140e-01 -4.030e-03  4.798e-03  3.617e-03 -1.331e-02 -3.830e-03  7.080e-05  7.710e-03  1.771e-04 -1.290e-05
 1.0550e+00 -4.140e-03  4.936e-03  3.735e-03 -1.354e-02 -3.910e-03  7.480e-05  7.660e-03  1.787e-04 -1.440e-05
