#         t         u1         u2         u3        s11        s12        s13        s22        s23        s33
 0.0000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 1.8140e-04  1.000e-06  0.000e+00  2.000e-06 -2.000e-06  3.000e-06  0.000e+00  0.000e+00  2.000e-08 -1.000e-07
 4.2450e-04  3.000e-06 -1.000e-05  4.000e-06 -5.000e-06  6.000e-06 -1.000e-08 -1.000e-05 -1.000e-08 -2.000e-07
 7.4100e-04  4.000e-06 -1.000e-05  6.000e-06 -7.000e-06  1.100e-05 -2.000e-08 -1.000e-05  0.000e+00 -2.000e-07
 1.1500e-03  6.000e-06 -2.000e-05  9.000e-06 -1.100e-05  1.600e-05 -3.000e-08 -2.000e-05  3.000e-08 -3.000e-07
 1.6670e-03  8.000e-06 -3.000e-05  1.200e-05 -1.400e-05  2.100e-05 -3.000e-08 -3.000e-05  0.000e+00 -3.000e-07
 2.3000e-03  1.000e-05 -4.000e-05  1.600e-05 -1.800e-05  2.700e-05 -3.000e-08 -3.000e-05 -1.000e-08 -4.000e-07
 3.0710e-03  1.200e-05 -5.000e-05  2.000e-05 -2.300e-05  3.400e-05 -3.000e-08 -4.000e-05  0.000e+00 -5.000e-07
 4.0050e-03  1.400e-05 -6.000e-05  2.400e-05 -2.700e-05  4.100e-05 -3.000e-08 -5.000e-05  4.000e-08 -5.000e-07
 5.1270e-03  1.700e-05 -7.000e-05  2.900e-05 -3.200e-05  4.800e-05 -4.000e-08 -6.000e-05  5.000e-08 -5.000e-07
 6.4690e-03  1.900e-05 -8.000e-05  3.400e-05 -3.700e-05  5.600e-05 -3.000e-08 -7.000e-05  4.000e-08 -5.000e-07
 8.0550e-03  2.200e-05 -9.000e-05  3.900e-05 -4.300e-05  6.300e-05 -3.000e-08 -7.000e-05  3.000e-08 -6.000e-07
 9.9070e-03  2.500e-05 -1.000e-04  4.500e-05 -4.800e-05  7.200e-05 -3.000e-08 -8.000e-05  3.000e-08 -6.000e-07
 1.2060e-02  2.800e-05 -1.100e-04  5.100e-05 -5.400e-05  8.000e-05 -3.000e-08 -9.000e-05  2.000e-08 -5.000e-07
 1.4530e-02  3.100e-05 -1.200e-04  5.700e-05 -6.000e-05  8.800e-05 -3.000e-08 -1.000e-04  0.000e+00 -5.000e-07
 1.7360e-02  3.500e-05 -1.300e-04  6.300e-05 -6.600e-05  9.600e-05 -3.000e-08 -1.100e-04  0.000e+00 -6.000e-07
 2.0590e-02  3.800e-05 -1.400e-04  6.900e-05 -7.100e-05  1.040e-04 -2.000e-08 -1.100e-04  2.000e-08 -5.000e-07
 2.4240e-02  4.100e-05 -1.500e-04  7.500e-05 -7.700e-05  1.130e-04 -3.000e-08 -1.200e-04  1.000e-08 -5.000e-07
 2.8380e-02  4.500e-05 -1.600e-04  8.100e-05 -8.300e-05  1.210e-04 -3.000e-08 -1.300e-04 -4.000e-08 -4.000e-07
 3.3030e-02  4.900e-05 -1.700e-04  8.800e-05 -8.800e-05  1.290e-04 -3.000e-08 -1.300e-04 -5.000e-08 -4.000e-07
 3.8250e-02  5.200e-05 -1.800e-04  9.400e-05 -9.400e-05  1.380e-04 -3.000e-08 -1.400e-04 -6.000e-08 -3.000e-07
 4.4080e-02  5.600e-05 -1.800e-04  1.000e-04 -9.900e-05  1.460e-04 -3.000e-08 -1.500e-04 -4.000e-08 -2.000e-07
 5.0580e-02  6.000e-05 -1.900e-04  1.060e-04 -1.040e-04  1.540e-04 -3.000e-08 -1.500e-04 -7.000e-08  0.000e+00
 5.7800e-02  6.400e-05 -2.000e-04  1.120e-04 -1.090e-04  1.620e-04 -3.000e-08 -1.600e-04 -7.000e-08  0.000e+00
 6.5830e-02  6.800e-05 -2.100e-04  1.170e-04 -1.140e-04  1.700e-04 -3.000e-08 -1.600e-04 -4.000e-08  1.000e-07
 7.4720e-02  7.300e-05 -2.200e-04  1.230e-04 -1.190e-04  1.780e-04 -3.000e-08 -1.700e-04 -8.000e-08  2.000e-07
 8.4550e-02  7.700e-05 -2.200e-04  1.290e-04 -1.240e-04  1.860e-04 -3.000e-08 -1.800e-04 -5.000e-08  3.000e-07
 9.5410e-02  8.100e-05 -2.300e-04  1.340e-04 -1.280e-04  1.940e-04 -3.000e-08 -1.800e-04 -8.000e-08  3.000e-07
 1.0740e-01  8.600e-05 -2.400e-04  1.390e-04 -1.330e-04  2.020e-04 -3.000e-08 -1.900e-04 -9.000e-08  4.000e-07
 1.2060e-01  9.000e-05 -2.400e-04  1.440e-04 -1.370e-04  2.100e-04 -3.000e-08 -1.900e-04 -1.300e-07  5.000e-07
 1.3510e-01  9.400e-05 -2.500e-04  1.490e-04 -1.410e-04  2.170e-04 -4.000e-08 -2.000e-04 -1.100e-07  5.000e-07
 1.5100e-01  9.900e-05 -2.600e-04  1.540e-04 -1.450e-04  2.250e-04 -4.000e-08 -2.000e-04 -1.200e-07  5.000e-07
 1.6850e-01  1.040e-04 -2.600e-04  1.590e-04 -1.490e-04  2.330e-04 -4.000e-08 -2.100e-04 -1.100e-07  5.000e-07
 1.8760e-01  1.080e-04 -2.700e-04  1.640e-04 -1.530e-04  2.400e-04 -4.000e-08 -2.100e-04 -1.200e-07  6.000e-07
 2.0860e-01  1.130e-04 -2.800e-04  1.680e-04 -1.560e-04  2.480e-04 -3.000e-08 -2.200e-04 -1.200e-07  7.000e-07
 2.3160e-01  1.180e-04 -2.800e-04  1.720e-04 -1.590e-04  2.560e-04 -3.000e-08 -2.200e-04 -1.400e-07  7.000e-07
 2.5670e-01  1.220e-04 -2.900e-04  1.760e-04 -1.630e-04  2.630e-04 -3.000e-08 -2.300e-04 -2.000e-07  8.000e-07
 2.8410e-01  1.270e-04 -2.900e-04  1.810e-04 -1.660e-04  2.710e-04 -3.000e-08 -2.300e-04 -2.300e-07  9.000e-07
 3.1400e-01  1.320e-04 -3.000e-04  1.840e-04 -1.680e-04  2.780e-04 -3.000e-08 -2.400e-04 -2.500e-07  1.000e-06
 3.4660e-01  1.360e-04 -3.100e-04  1.880e-04 -1.710e-04  2.850e-04 -3.000e-08 -2.400e-04 -2.500e-07  1.000e-06
 3.8200e-01  1.410e-04 -3.100e-04  1.920e-04 -1.740e-04  2.930e-04 -3.000e-08 -2.500e-04 -2.800e-07  1.100e-06
 4.2050e-01  1.460e-04 -3.200e-04  1.950e-04 -1.760e-04  3.000e-04 -2.000e-08 -2.500e-04 -3.000e-07  1.100e-06
 4.6230e-01  1.500e-04 -3.200e-04  1.990e-04 -1.790e-04  3.070e-04 -3.000e-08 -2.500e-04 -3.200e-07  1.200e-06
 5.0780e-01  1.550e-04 -3.300e-04  2.020e-04 -1.810e-04  3.140e-04 -2.000e-08 -2.600e-04 -3.000e-07  1.200e-06
 5.5710e-01  1.590e-04 -3.300e-04  2.050e-04 -1.830e-04  3.210e-04 -2.000e-08 -2.600e-04 -3.200e-07  1.200e-06
 6.1050e-01  1.640e-04 -3.400e-04  2.080e-04 -1.850e-04  3.280e-04 -2.000e-08 -2.700e-04 -3.200e-07  1.300e-06
 6.6850e-01  1.690e-04 -3.400e-04  2.110e-04 -1.870e-04  3.340e-04 -1.000e-08 -2.700e-04 -3.400e-07  1.300e-06
 7.3130e-01  1.730e-04 -3.500e-04  2.140e-04 -1.890e-04  3.410e-04  0.000e+00 -2.800e-04 -3.900e-07  1.300e-06
 7.9930e-01  1.770e-04 -3.500e-04  2.160e-04 -1.910e-04  3.480e-04  0.000e+00 -2.800e-04 -3.600e-07  1.400e-06
 8.7290e-01  1.820e-04 -3.600e-04  2.190e-04 -1.920e-04  3.540e-04  1.000e-08 -2.900e-04 -3.700e-07  1.400e-06
 9.5250e-01  1.860e-04 -3.700e-04  2.210e-04 -1.940e-04  3.610e-04  1.000e-08 -2.900e-04 -3.500e-07  1.400e-06
 1.0380e+00  1.900e-04 -3.700e-04  2.230e-04 -1.950e-04  3.670e-04  1.000e-08 -2.900e-04 -3.600e-07  1.400e-06
 1.1300e+00  1.950e-04 -3.800e-04  2.260e-04 -1.970e-04  3.730e-04  1.000e-08 -3.000e-04 -3.400e-07  1.400e-06
 1.2290e+00  1.990e-04 -3.800e-04  2.280e-04 -1.980e-04  3.790e-04  1.000e-08 -3.000e-04 -3.500e-07  1.400e-06
 1.3350e+00  2.030e-04 -3.800e-04  2.300e-04 -1.990e-04  3.850e-04  1.000e-08 -3.100e-04 -3.400e-07  1.400e-06
 1.4490e+00  2.070e-04 -3.900e-04  2.320e-04 -2.000e-04  3.910e-04  1.000e-08 -3.100e-04 -3.400e-07  1.300e-06
 1.5710e+00  2.110e-04 -3.900e-04  2.340e-04 -2.010e-04  3.970e-04  1.000e-08 -3.200e-04 -3.600e-07  1.400e-06
 1.7020e+00  2.140e-04 -4.000e-04  2.350e-04 -2.020e-04  4.020e-04  1.000e-08 -3.200e-04 -3.600e-07  1.300e-06
 1.8420e+00  2.180e-04 -4.000e-04  2.370e-04 -2.030e-04  4.080e-04  1.000e-08 -3.200e-04 -3.400e-07  1.300e-06
 1.9920e+00  2.220e-04 -4.100e-04  2.390e-04 -2.040e-04  4.130e-04  1.000e-08 -3.300e-04 -3.300e-07  1.300e-06
 2.1520e+00  2.250e-04 -4.100e-04  2.400e-04 -2.050e-04  4.180e-04  1.000e-08 -3.300e-04 -3.300e-07  1.300e-06
 2.3220e+00  2.290e-04 -4.200e-04  2.410e-04 -2.060e-04  4.230e-04  0.000e+00 -3.400e-04 -3.500e-07  1.300e-06
 2.5040e+00  2.320e-04 -4.200e-04  2.430e-04 -2.060e-04  4.280e-04  0.000e+00 -3.400e-04 -3.400e-07  1.200e-06
 2.6960e+00  2.360e-04 -4.300e-04  2.440e-04 -2.070e-04  4.330e-04  1.000e-08 -3.400e-04 -3.400e-07  1.200e-06
