#         t         u1         u2         u3        s11        s12        s13        s22        s23        s33
 0.0000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 2.0700e-04  9.000e-06 -6.000e-05 -1.000e-05 -3.000e-05  6.000e-05  0.000e+00  0.000e+00  0.000e+00 -1.000e-06
 4.7630e-04  2.000e-05 -1.200e-04 -2.000e-05 -7.000e-05  1.300e-04  1.000e-07 -1.000e-04  0.000e+00 -2.000e-06
 8.2330e-04  3.400e-05 -1.900e-04 -3.000e-05 -1.200e-04  2.200e-04  2.000e-07 -1.000e-04 -1.000e-06 -3.000e-06
 1.2660e-03  5.000e-05 -2.700e-04 -4.000e-05 -1.700e-04  3.100e-04  3.000e-07 -2.000e-04 -1.000e-06 -4.000e-06
 1.8260e-03  6.900e-05 -3.700e-04 -6.000e-05 -2.200e-04  4.200e-04  5.000e-07 -2.000e-04 -2.000e-06 -6.000e-06
 2.5120e-03  9.000e-05 -4.700e-04 -8.000e-05 -2.800e-04  5.400e-04  7.000e-07 -3.000e-04 -2.000e-06 -7.000e-06
 3.3450e-03  1.140e-04 -5.800e-04 -1.000e-04 -3.400e-04  6.700e-04  1.000e-06 -3.000e-04 -3.000e-06 -9.000e-06
 4.3500e-03  1.400e-04 -7.000e-04 -1.200e-04 -4.000e-04  8.100e-04  1.300e-06 -4.000e-04 -3.000e-06 -1.000e-05
 5.5530e-03  1.690e-04 -8.200e-04 -1.500e-04 -4.700e-04  9.600e-04  1.700e-06 -4.000e-04 -4.000e-06 -1.200e-05
 6.9850e-03  2.010e-04 -9.500e-04 -1.700e-04 -5.300e-04  1.110e-03  2.200e-06 -5.000e-04 -5.000e-06 -1.400e-05
 8.6810e-03  2.350e-04 -1.080e-03 -2.000e-04 -6.000e-04  1.280e-03  2.800e-06 -5.000e-04 -6.000e-06 -1.500e-05
 1.0680e-02  2.710e-04 -1.220e-03 -2.400e-04 -6.600e-04  1.450e-03  3.400e-06 -6.000e-04 -7.000e-06 -1.700e-05
 1.3010e-02  3.100e-04 -1.360e-03 -2.700e-04 -7.200e-04  1.620e-03  4.100e-06 -6.000e-04 -8.000e-06 -1.800e-05
 1.5740e-02  3.520e-04 -1.500e-03 -3.100e-04 -7.900e-04  1.800e-03  4.900e-06 -6.000e-04 -9.000e-06 -2.000e-05
 1.8880e-02  3.960e-04 -1.640e-03 -3.500e-04 -8.400e-04  1.980e-03  5.700e-06 -6.000e-04 -1.000e-05 -2.100e-05
 2.2500e-02  4.420e-04 -1.780e-03 -3.900e-04 -9.000e-04  2.170e-03  6.700e-06 -7.000e-04 -1.100e-05 -2.200e-05
 2.6660e-02  4.900e-04 -1.920e-03 -4.300e-04 -9.600e-04  2.350e-03  7.800e-06 -7.000e-04 -1.300e-05 -2.300e-05
 3.1400e-02  5.410e-04 -2.070e-03 -4.700e-04 -1.010e-03  2.540e-03  8.900e-06 -6.000e-04 -1.400e-05 -2.400e-05
 3.6800e-02  5.930e-04 -2.210e-03 -5.200e-04 -1.050e-03  2.720e-03  1.010e-05 -6.000e-04 -1.400e-05 -2.400e-05
 4.2930e-02  6.480e-04 -2.350e-03 -5.600e-04 -1.100e-03  2.910e-03  1.140e-05 -6.000e-04 -1.600e-05 -2.500e-05
 4.9880e-02  7.040e-04 -2.480e-03 -6.100e-04 -1.140e-03  3.090e-03  1.280e-05 -6.000e-04 -1.600e-05 -2.500e-05
 5.7730e-02  7.620e-04 -2.620e-03 -6.500e-04 -1.180e-03  3.270e-03  1.420e-05 -5.000e-04 -1.700e-05 -2.600e-05
 6.6580e-02  8.220e-04 -2.760e-03 -7.000e-04 -1.210e-03  3.450e-03  1.560e-05 -5.000e-04 -1.800e-05 -2.600e-05
 7.6540e-02  8.830e-04 -2.890e-03 -7.400e-04 -1.250e-03  3.630e-03  1.720e-05 -4.000e-04 -1.800e-05 -2.600e-05
 8.7710e-02  9.450e-04 -3.020e-03 -7.800e-04 -1.280e-03  3.810e-03  1.870e-05 -4.000e-04 -1.800e-05 -2.500e-05
 1.0020e-01  1.009e-03 -3.150e-03 -8.300e-04 -1.310e-03  3.980e-03  2.020e-05 -3.000e-04 -1.800e-05 -2.500e-05
 1.1420e-01  1.073e-03 -3.280e-03 -8.700e-04 -1.330e-03  4.140e-03  2.180e-05 -2.000e-04 -1.800e-05 -2.500e-05
 1.2980e-01  1.138e-03 -3.410e-03 -9.000e-04 -1.360e-03  4.300e-03  2.330e-05 -1.000e-04 -1.800e-05 -2.400e-05
 1.4720e-01  1.203e-03 -3.540e-03 -9.400e-04 -1.380e-03  4.460e-03  2.480e-05 -1.000e-04 -1.800e-05 -2.300e-05
 1.6640e-01  1.268e-03 -3.660e-03 -9.700e-04 -1.400e-03  4.610e-03  2.630e-05  0.000e+00 -1.700e-05 -2.200e-05
 1.8770e-01  1.334e-03 -3.780e-03 -1.000e-03 -1.430e-03  4.760e-03  2.770e-05  1.000e-04 -1.500e-05 -2.100e-05
 2.1130e-01  1.399e-03 -3.900e-03 -1.030e-03 -1.450e-03  4.900e-03  2.910e-05  2.000e-04 -1.400e-05 -2.000e-05
 2.3740e-01  1.464e-03 -4.020e-03 -1.050e-03 -1.480e-03  5.030e-03  3.040e-05  2.000e-04 -1.200e-05 -1.900e-05
 2.6610e-01  1.528e-03 -4.140e-03 -1.070e-03 -1.510e-03  5.160e-03  3.160e-05  3.000e-04 -1.100e-05 -1.800e-05
 2.9790e-01  1.591e-03 -4.260e-03 -1.080e-03 -1.540e-03  5.280e-03  3.270e-05  4.000e-04 -8.000e-06 -1.600e-05
 3.3280e-01  1.653e-03 -4.380e-03 -1.090e-03 -1.570e-03  5.400e-03  3.370e-05  4.000e-04 -6.000e-06 -1.500e-05
 3.7120e-01  1.714e-03 -4.500e-03 -1.090e-03 -1.600e-03  5.510e-03  3.460e-05  5.000e-04 -3.000e-06 -1.400e-05
 4.1330e-01  1.773e-03 -4.620e-03 -1.090e-03 -1.640e-03  5.610e-03  3.540e-05  5.000e-04  0.000e+00 -1.200e-05
 4.5950e-01  1.830e-03 -4.740e-03 -1.080e-03 -1.690e-03  5.710e-03  3.600e-05  5.000e-04  3.000e-06 -1.000e-05
 5.0990e-01  1.885e-03 -4.860e-03 -1.070e-03 -1.730e-03  5.800e-03  3.660e-05  6.000e-04  7.000e-06 -9.000e-06
 5.6500e-01  1.939e-03 -4.980e-03 -1.050e-03 -1.790e-03  5.880e-03  3.700e-05  6.000e-04  1.100e-05 -7.000e-06
 6.2500e-01  1.989e-03 -5.100e-03 -1.020e-03 -1.850e-03  5.960e-03  3.730e-05  6.000e-04  1.500e-05 -6.000e-06
