# nb. dgammadot0 x1 x2 x3 length width thickness strike dip
1 10000000 -200 -200 17.5690888583 20 52.4309 20 0 90
2 10000000 -200 -180 18.6435122626 20 51.3565 20 0 90
3 10000000 -200 -160 19.6487279419 20 50.3513 20 0 90
4 10000000 -200 -140 20.5082258703 20 49.4918 20 0 90
5 10000000 -200 -120 21.241156178 20 48.7588 20 0 90
6 10000000 -200 -100 21.7663344483 20 48.2337 20 0 90
7 10000000 -200 -80 22.0927585064 20 47.9072 20 0 90
8 10000000 -200 -60 22.247100862 20 47.7529 20 0 90
9 10000000 -200 -40 22.3461997135 20 47.6538 20 0 90
10 10000000 -200 -20 22.4150308787 20 47.585 20 0 90
11 10000000 -200 0 22.4866945054 20 47.5133 20 0 90
12 10000000 -200 20 22.4636942729 20 47.5363 20 0 90
13 10000000 -200 40 22.3826971547 20 47.6173 20 0 90
14 10000000 -200 60 22.2715607764 20 47.7284 20 0 90
15 10000000 -200 80 22.0615802957 20 47.9384 20 0 90
16 10000000 -200 100 21.6899298212 20 48.3101 20 0 90
17 10000000 -200 120 21.2821281229 20 48.7179 20 0 90
18 10000000 -200 140 21.0960024597 20 48.904 20 0 90
19 10000000 -200 160 21.3469835259 20 48.653 20 0 90
20 10000000 -200 180 22.0191961153 20 47.9808 20 0 90
21 10000000 -180 -200 18.3675074478 20 51.6325 20 0 90
22 10000000 -180 -180 19.5708812423 20 50.4291 20 0 90
23 10000000 -180 -160 20.7025651451 20 49.2974 20 0 90
24 10000000 -180 -140 21.6819845478 20 48.318 20 0 90
25 10000000 -180 -120 22.4565733752 20 47.5434 20 0 90
26 10000000 -180 -100 22.9561430001 20 47.0439 20 0 90
27 10000000 -180 -80 23.1909566812 20 46.809 20 0 90
28 10000000 -180 -60 23.2267660142 20 46.7732 20 0 90
29 10000000 -180 -40 23.1789763492 20 46.821 20 0 90
30 10000000 -180 -20 23.117234565 20 46.8828 20 0 90
31 10000000 -180 0 23.0764068025 20 46.9236 20 0 90
32 10000000 -180 20 23.003847528 20 46.9962 20 0 90
33 10000000 -180 40 22.9346294862 20 47.0654 20 0 90
34 10000000 -180 60 22.8614220601 20 47.1386 20 0 90
35 10000000 -180 80 22.6295260697 20 47.3705 20 0 90
36 10000000 -180 100 22.1005954442 20 47.8994 20 0 90
37 10000000 -180 120 21.5086642913 20 48.4913 20 0 90
38 10000000 -180 140 21.2290292779 20 48.771 20 0 90
39 10000000 -180 160 21.5507619335 20 48.4492 20 0 90
40 10000000 -180 180 22.4935623709 20 47.5064 20 0 90
41 10000000 -160 -200 19.2661992495 20 50.7338 20 0 90
42 10000000 -160 -180 20.6123305921 20 49.3877 20 0 90
43 10000000 -160 -160 21.8972514183 20 48.1027 20 0 90
44 10000000 -160 -140 23.0261836037 20 46.9738 20 0 90
45 10000000 -160 -120 23.864946414 20 46.1351 20 0 90
46 10000000 -160 -100 24.3251187917 20 45.6749 20 0 90
47 10000000 -160 -80 24.4236857588 20 45.5763 20 0 90
48 10000000 -160 -60 24.2610124638 20 45.739 20 0 90
49 10000000 -160 -40 23.9756578366 20 46.0243 20 0 90
50 10000000 -160 -20 23.6819433308 20 46.3181 20 0 90
51 10000000 -160 0 23.4352032052 20 46.5648 20 0 90
52 10000000 -160 20 23.2413315152 20 46.7587 20 0 90
53 10000000 -160 40 23.1433651103 20 46.8566 20 0 90
54 10000000 -160 60 23.1496951312 20 46.8503 20 0 90
55 10000000 -160 80 22.9736724345 20 47.0263 20 0 90
56 10000000 -160 100 22.4451931975 20 47.5548 20 0 90
57 10000000 -160 120 21.8829327186 20 48.1171 20 0 90
58 10000000 -160 140 21.6203783262 20 48.3796 20 0 90
59 10000000 -160 160 21.8952479513 20 48.1048 20 0 90
60 10000000 -160 180 22.8154900891 20 47.1845 20 0 90
61 10000000 -140 -200 20.2608892628 20 49.7391 20 0 90
62 10000000 -140 -180 21.7441740232 20 48.2558 20 0 90
63 10000000 -140 -160 23.1883711075 20 46.8116 20 0 90
64 10000000 -140 -140 24.3576499736 20 45.6424 20 0 90
65 10000000 -140 -120 25.3202084684 20 44.6798 20 0 90
66 10000000 -140 -100 25.7700652364 20 44.2299 20 0 90
67 10000000 -140 -80 25.7056012558 20 44.2944 20 0 90
68 10000000 -140 -60 25.2886477471 20 44.7114 20 0 90
69 10000000 -140 -40 24.7377169233 20 45.2623 20 0 90
70 10000000 -140 -20 24.1259762118 20 45.874 20 0 90
71 10000000 -140 0 23.5678388609 20 46.4322 20 0 90
72 10000000 -140 20 23.0847041499 20 46.9153 20 0 90
73 10000000 -140 40 22.7612085731 20 47.2388 20 0 90
74 10000000 -140 60 22.791974817 20 47.208 20 0 90
75 10000000 -140 80 22.7610210842 20 47.239 20 0 90
76 10000000 -140 100 22.5163330032 20 47.4837 20 0 90
77 10000000 -140 120 22.2915069929 20 47.7085 20 0 90
78 10000000 -140 140 22.1963689232 20 47.8036 20 0 90
79 10000000 -140 160 22.3648021699 20 47.6352 20 0 90
80 10000000 -140 180 23.0430639146 20 46.9569 20 0 90
81 10000000 -120 -200 21.3255801153 20 48.6744 20 0 90
82 10000000 -120 -180 22.9287912914 20 47.0712 20 0 90
83 10000000 -120 -160 24.5132365137 20 45.4868 20 0 90
84 10000000 -120 -140 25.9038974666 20 44.0961 20 0 90
85 10000000 -120 -120 26.9010206484 20 43.099 20 0 90
86 10000000 -120 -100 27.29559165 20 42.7044 20 0 90
87 10000000 -120 -80 27.0743545857 20 42.9256 20 0 90
88 10000000 -120 -60 26.4001289536 20 43.5999 20 0 90
89 10000000 -120 -40 25.5014653641 20 44.4985 20 0 90
90 10000000 -120 -20 24.5360255479 20 45.464 20 0 90
91 10000000 -120 0 23.5575490867 20 46.4425 20 0 90
92 10000000 -120 20 22.5579776413 20 47.442 20 0 90
93 10000000 -120 40 21.7989200184 20 48.2011 20 0 90
94 10000000 -120 60 21.59248584 20 48.4075 20 0 90
95 10000000 -120 80 21.7614963328 20 48.2385 20 0 90
96 10000000 -120 100 21.9975964282 20 48.0024 20 0 90
97 10000000 -120 120 22.2901220443 20 47.7099 20 0 90
98 10000000 -120 140 22.5216072678 20 47.4784 20 0 90
99 10000000 -120 160 22.7313121264 20 47.2687 20 0 90
100 10000000 -120 180 23.2568522101 20 46.7431 20 0 90
101 10000000 -100 -200 22.422855708 20 47.5771 20 0 90
102 10000000 -100 -180 24.1193702878 20 45.8806 20 0 90
103 10000000 -100 -160 25.8079067191 20 44.1921 20 0 90
104 10000000 -100 -140 27.2594332918 20 42.7406 20 0 90
105 10000000 -100 -120 28.3290109481 20 41.671 20 0 90
106 10000000 -100 -100 28.7093602941 20 41.2906 20 0 90
107 10000000 -100 -80 28.3419847975 20 41.658 20 0 90
108 10000000 -100 -60 27.387740274 20 42.6123 20 0 90
109 10000000 -100 -40 26.2333619604 20 43.7666 20 0 90
110 10000000 -100 -20 24.9734567868 20 45.0265 20 0 90
111 10000000 -100 0 23.5328926815 20 46.4671 20 0 90
112 10000000 -100 20 21.9122646347 20 48.0877 20 0 90
113 10000000 -100 40 20.5880447806 20 49.412 20 0 90
114 10000000 -100 60 20.2106575882 20 49.7893 20 0 90
115 10000000 -100 80 20.6010064974 20 49.399 20 0 90
116 10000000 -100 100 21.2553805863 20 48.7446 20 0 90
117 10000000 -100 120 22.0337410264 20 47.9663 20 0 90
118 10000000 -100 140 22.5791872701 20 47.4208 20 0 90
119 10000000 -100 160 23.0025621122 20 46.9974 20 0 90
120 10000000 -100 180 23.5663225122 20 46.4337 20 0 90
121 10000000 -80 -200 23.4942345686 20 46.5058 20 0 90
122 10000000 -80 -180 25.2562084876 20 44.7438 20 0 90
123 10000000 -80 -160 27.0154834545 20 42.9845 20 0 90
124 10000000 -80 -140 28.5384879842 20 41.4615 20 0 90
125 10000000 -80 -120 29.5567899543 20 40.4432 20 0 90
126 10000000 -80 -100 29.8690812937 20 40.1309 20 0 90
127 10000000 -80 -80 29.3887217109 20 40.6113 20 0 90
128 10000000 -80 -60 28.1460590305 20 41.8539 20 0 90
129 10000000 -80 -40 26.7556028861 20 43.2444 20 0 90
130 10000000 -80 -20 25.3377313625 20 44.6623 20 0 90
131 10000000 -80 0 23.6637475698 20 46.3363 20 0 90
132 10000000 -80 20 21.7385713658 20 48.2614 20 0 90
133 10000000 -80 40 20.2427989276 20 49.7572 20 0 90
134 10000000 -80 60 19.8518909985 20 50.1481 20 0 90
135 10000000 -80 80 20.2352574889 20 49.7647 20 0 90
136 10000000 -80 100 21.0282769141 20 48.9717 20 0 90
137 10000000 -80 120 21.975234352 20 48.0248 20 0 90
138 10000000 -80 140 22.7947119552 20 47.2053 20 0 90
139 10000000 -80 160 23.4062164476 20 46.5938 20 0 90
140 10000000 -80 180 23.9519739629 20 46.048 20 0 90
141 10000000 -60 -200 24.4757136624 20 45.5243 20 0 90
142 10000000 -60 -180 26.2668610732 20 43.7331 20 0 90
143 10000000 -60 -160 28.0408846462 20 41.9591 20 0 90
144 10000000 -60 -140 29.4927477785 20 40.5073 20 0 90
145 10000000 -60 -120 30.4748563948 20 39.5251 20 0 90
146 10000000 -60 -100 30.7728329068 20 39.2272 20 0 90
147 10000000 -60 -80 30.1934938408 20 39.8065 20 0 90
148 10000000 -60 -60 28.7656832056 20 41.2343 20 0 90
149 10000000 -60 -40 27.0236910776 20 42.9763 20 0 90
150 10000000 -60 -20 25.526352995 20 44.4736 20 0 90
151 10000000 -60 0 24.0364391425 20 45.9636 20 0 90
152 10000000 -60 20 22.4104158695 20 47.5896 20 0 90
153 10000000 -60 40 21.1697098373 20 48.8303 20 0 90
154 10000000 -60 60 20.7951814874 20 49.2048 20 0 90
155 10000000 -60 80 20.9701367953 20 49.0299 20 0 90
156 10000000 -60 100 21.5845632213 20 48.4154 20 0 90
157 10000000 -60 120 22.4307316855 20 47.5693 20 0 90
158 10000000 -60 140 23.2532930496 20 46.7467 20 0 90
159 10000000 -60 160 23.8925404287 20 46.1075 20 0 90
160 10000000 -60 180 24.3217363373 20 45.6783 20 0 90
161 10000000 -40 -200 25.324598586 20 44.6754 20 0 90
162 10000000 -40 -180 27.1006458839 20 42.8994 20 0 90
163 10000000 -40 -160 28.8374867201 20 41.1625 20 0 90
164 10000000 -40 -140 30.2418986913 20 39.7581 20 0 90
165 10000000 -40 -120 31.3077889223 20 38.6922 20 0 90
166 10000000 -40 -100 31.7913700477 20 38.2086 20 0 90
167 10000000 -40 -80 31.234043265 20 38.766 20 0 90
168 10000000 -40 -60 29.5714433572 20 40.4286 20 0 90
169 10000000 -40 -40 27.4813925238 20 42.5186 20 0 90
170 10000000 -40 -20 25.7354529103 20 44.2645 20 0 90
171 10000000 -40 0 24.3071086463 20 45.6929 20 0 90
172 10000000 -40 20 23.0753653297 20 46.9246 20 0 90
173 10000000 -40 40 22.1999929908 20 47.8 20 0 90
174 10000000 -40 60 21.8807822662 20 48.1192 20 0 90
175 10000000 -40 80 21.9961641386 20 48.0038 20 0 90
176 10000000 -40 100 22.4146399745 20 47.5854 20 0 90
177 10000000 -40 120 23.0409605784 20 46.959 20 0 90
178 10000000 -40 140 23.6780641007 20 46.3219 20 0 90
179 10000000 -40 160 24.1918913114 20 45.8081 20 0 90
180 10000000 -40 180 24.6129551727 20 45.387 20 0 90
181 10000000 -20 -200 26.0160670816 20 43.9839 20 0 90
182 10000000 -20 -180 27.7543204592 20 42.2457 20 0 90
183 10000000 -20 -160 29.4515515077 20 40.5484 20 0 90
184 10000000 -20 -140 30.9808617959 20 39.0191 20 0 90
185 10000000 -20 -120 32.6574566332 20 37.3425 20 0 90
186 10000000 -20 -100 33.9299984538 20 36.07 20 0 90
187 10000000 -20 -80 33.5754242653 20 36.4246 20 0 90
188 10000000 -20 -60 31.5000653298 20 38.4999 20 0 90
189 10000000 -20 -40 28.656239409 20 41.3438 20 0 90
190 10000000 -20 -20 26.0278667715 20 43.9721 20 0 90
191 10000000 -20 0 24.123183627 20 45.8768 20 0 90
192 10000000 -20 20 22.9628782906 20 47.0371 20 0 90
193 10000000 -20 40 22.3464753789 20 47.6535 20 0 90
194 10000000 -20 60 22.1536115447 20 47.8464 20 0 90
195 10000000 -20 80 22.3125437013 20 47.6875 20 0 90
196 10000000 -20 100 22.7940711741 20 47.2059 20 0 90
197 10000000 -20 120 23.4316832256 20 46.5683 20 0 90
198 10000000 -20 140 23.9916057929 20 46.0084 20 0 90
199 10000000 -20 160 24.4368892229 20 45.5631 20 0 90
200 10000000 -20 180 24.8448594718 20 45.1551 20 0 90
201 10000000 0 -200 26.4402107905 20 43.5598 20 0 90
202 10000000 0 -180 28.1928055527 20 41.8072 20 0 90
203 10000000 0 -160 29.9647262176 20 40.0353 20 0 90
204 10000000 0 -140 31.6981225866 20 38.3019 20 0 90
205 10000000 0 -120 34.1003515506 20 35.8996 20 0 90
206 10000000 0 -100 36.0216183999 20 33.9784 20 0 90
207 10000000 0 -80 35.7307705473 20 34.2692 20 0 90
208 10000000 0 -60 33.2534615941 20 36.7465 20 0 90
209 10000000 0 -40 29.5973990321 20 40.4026 20 0 90
210 10000000 0 -20 25.9355738001 20 44.0644 20 0 90
211 10000000 0 0 23.4348813174 20 46.5651 20 0 90
212 10000000 0 20 22.3472409929 20 47.6528 20 0 90
213 10000000 0 40 22.0819536037 20 47.918 20 0 90
214 10000000 0 60 22.1661418714 20 47.8339 20 0 90
215 10000000 0 80 22.4666245242 20 47.5334 20 0 90
216 10000000 0 100 23.067355273 20 46.9326 20 0 90
217 10000000 0 120 23.812826761 20 46.1872 20 0 90
218 10000000 0 140 24.3400897805 20 45.6599 20 0 90
219 10000000 0 160 24.6800048641 20 45.32 20 0 90
220 10000000 0 180 25.0132748644 20 44.9867 20 0 90
221 10000000 20 -200 26.319190014 20 43.6808 20 0 90
222 10000000 20 -180 28.3446256933 20 41.6554 20 0 90
223 10000000 20 -160 30.5733262236 20 39.4267 20 0 90
224 10000000 20 -140 32.7589585632 20 37.241 20 0 90
225 10000000 20 -120 34.7748353045 20 35.2252 20 0 90
226 10000000 20 -100 35.4066437943 20 34.5934 20 0 90
227 10000000 20 -80 34.2368489802 20 35.7632 20 0 90
228 10000000 20 -60 31.9469825488 20 38.053 20 0 90
229 10000000 20 -40 28.905889918 20 41.0941 20 0 90
230 10000000 20 -20 25.4645849269 20 44.5354 20 0 90
231 10000000 20 0 22.9268555369 20 47.0731 20 0 90
232 10000000 20 20 22.0383507699 20 47.9616 20 0 90
233 10000000 20 40 22.2800780369 20 47.7199 20 0 90
234 10000000 20 60 22.7399108333 20 47.2601 20 0 90
235 10000000 20 80 23.0884701702 20 46.9115 20 0 90
236 10000000 20 100 23.5899796524 20 46.41 20 0 90
237 10000000 20 120 24.3040708671 20 45.6959 20 0 90
238 10000000 20 140 24.8338834176 20 45.1661 20 0 90
239 10000000 20 160 25.0510628763 20 44.9489 20 0 90
240 10000000 20 180 25.2347148534 20 44.7653 20 0 90
241 10000000 40 -200 25.6633762575 20 44.3366 20 0 90
242 10000000 40 -180 28.4742384218 20 41.5258 20 0 90
243 10000000 40 -160 31.6679691397 20 38.332 20 0 90
244 10000000 40 -140 33.8330703402 20 36.1669 20 0 90
245 10000000 40 -120 34.2716815086 20 35.7283 20 0 90
246 10000000 40 -100 32.3232262117 20 37.6768 20 0 90
247 10000000 40 -80 29.5667546433 20 40.4332 20 0 90
248 10000000 40 -60 27.7376090256 20 42.2624 20 0 90
249 10000000 40 -40 26.3295804837 20 43.6704 20 0 90
250 10000000 40 -20 24.3464668635 20 45.6535 20 0 90
251 10000000 40 0 22.6077267447 20 47.3923 20 0 90
252 10000000 40 20 22.2368847577 20 47.7631 20 0 90
253 10000000 40 40 23.0053975793 20 46.9946 20 0 90
254 10000000 40 60 23.7864624103 20 46.2135 20 0 90
255 10000000 40 80 24.0412986208 20 45.9587 20 0 90
256 10000000 40 100 24.2353973003 20 45.7646 20 0 90
257 10000000 40 120 24.7760111068 20 45.224 20 0 90
258 10000000 40 140 25.3283824793 20 44.6716 20 0 90
259 10000000 40 160 25.6101913644 20 44.3898 20 0 90
260 10000000 40 180 25.765479225 20 44.2345 20 0 90
261 10000000 60 -200 25.8290663057 20 44.1709 20 0 90
262 10000000 60 -180 29.7454090705 20 40.2546 20 0 90
263 10000000 60 -160 33.5599252557 20 36.4401 20 0 90
264 10000000 60 -140 35.1582363378 20 34.8418 20 0 90
265 10000000 60 -120 33.3763659222 20 36.6236 20 0 90
266 10000000 60 -100 29.0197815737 20 40.9802 20 0 90
267 10000000 60 -80 25.0266617554 20 44.9733 20 0 90
268 10000000 60 -60 23.7019338232 20 46.2981 20 0 90
269 10000000 60 -40 23.7478197841 20 46.2522 20 0 90
270 10000000 60 -20 23.3501342506 20 46.6499 20 0 90
271 10000000 60 0 22.5592859833 20 47.4407 20 0 90
272 10000000 60 20 22.5493870684 20 47.4506 20 0 90
273 10000000 60 40 23.4934006792 20 46.5066 20 0 90
274 10000000 60 60 24.3424273507 20 45.6576 20 0 90
275 10000000 60 80 24.5339209818 20 45.4661 20 0 90
276 10000000 60 100 24.6349959327 20 45.365 20 0 90
277 10000000 60 120 25.1596177255 20 44.8404 20 0 90
278 10000000 60 140 25.8216760389 20 44.1783 20 0 90
279 10000000 60 160 26.2531695498 20 43.7468 20 0 90
280 10000000 60 180 26.4362872137 20 43.5637 20 0 90
281 10000000 80 -200 27.8242574476 20 42.1757 20 0 90
282 10000000 80 -180 32.3342599785 20 37.6657 20 0 90
283 10000000 80 -160 35.4788870239 20 34.5211 20 0 90
