# name east(km) north(km) veast(m) vnorth(m) vup(m) eastrms(m) northrms(m) uprms(m)
azry -106.536000 114.373000 -0.000169 -0.008159 -0.010884 0.001784 0.001730 0.004912
bemt -48.399600 165.817000 -0.001330 -0.009574 0.004690 0.001381 0.002580 0.001797
bill -146.911000 118.546000 -0.002361 -0.005225 -0.002032 0.002289 0.001561 0.001462
blyt 71.093300 124.452000 -0.000261 -0.008195 0.008815 0.001244 0.002939 0.002772
cact -47.262500 127.526000 0.004791 -0.014566 -0.032863 0.004526 0.004883 0.008383
cotd -84.118900 135.814000 0.000749 -0.017477 0.001244 0.005951 0.008757 0.004742
crrs -22.837700 62.886900 0.002486 -0.029997 0.003726 0.001937 0.002848 0.003958
ctms -82.860100 179.245000 -0.003043 -0.011504 -0.001821 0.001475 0.003228 0.002996
desc -107.390000 35.638500 -0.015101 -0.002881 -0.006793 0.001375 0.001847 0.001692
dhlg -28.195500 98.308000 0.002804 -0.018361 0.002235 0.004827 0.004273 0.003202
dsme -164.217000 58.508200 -0.007521 -0.000424 -0.004668 0.003022 0.002152 0.002004
dssc -114.245000 135.776000 -0.001963 -0.012455 -0.005714 0.003191 0.002980 0.002612
glrs -3.212020 85.878000 0.003600 -0.019482 -0.004759 0.001952 0.002436 0.001790
gmpk 61.947500 62.198200 0.006322 -0.010221 0.001494 0.002987 0.005599 0.003962
hnps -14.453300 133.434000 -0.000350 -0.014028 0.004729 0.003705 0.004102 0.003607
hw62 57.987300 174.604000 -0.000908 -0.007358 0.008607 0.001673 0.003679 0.003033
iid2 43.567400 23.575700 0.022824 -0.015903 -0.002824 0.002795 0.002951 0.003826
imps 30.074600 184.331000 -0.001117 -0.008429 0.007326 0.003874 0.002273 0.006633
kyvw -64.512800 157.338000 -0.000095 -0.012282 0.005869 0.002311 0.003122 0.002532
monp -86.888000 42.605100 -0.013996 -0.003343 -0.000226 0.001193 0.001049 0.001098
mvfd -96.678100 77.914800 -0.004631 -0.008024 -0.003029 0.002400 0.003429 0.003570
p003 139.795000 27.646800 0.013246 -0.003397 -0.004204 0.004345 0.001299 0.002377
p066 -63.025800 12.230000 -0.028176 -0.004645 0.002083 0.005510 0.004695 0.002740
p472 -150.708000 42.159300 -0.009327 0.000814 -0.004251 0.002982 0.003385 0.001985
p473 -136.185000 24.924700 -0.013017 0.000570 -0.006996 0.002444 0.003208 0.002619
p474 -164.054000 93.842100 -0.004151 -0.001092 -0.003621 0.002427 0.002282 0.002777
p475 -163.788000 17.480500 -0.009869 0.001484 0.000707 0.003624 0.004792 0.001545
p476 -158.546000 103.194000 -0.003494 -0.001230 -0.004525 0.002500 0.003075 0.001123
p477 -151.446000 110.185000 -0.001237 -0.000511 -0.007364 0.002342 0.001739 0.002638
p478 -147.586000 80.570800 -0.005931 -0.000562 -0.005542 0.002384 0.003210 0.002042
p479 -120.751000 109.149000 -0.003214 -0.004345 -0.001186 0.003599 0.003683 0.002736
p480 -80.041500 51.963900 -0.012312 -0.005182 -0.004855 0.005710 0.006896 0.002761
p481 -48.321100 35.163600 -0.010602 -0.016540 0.010355 0.005088 0.003483 0.003115
p482 -110.304000 81.111500 -0.003940 -0.004452 -0.004587 0.001963 0.003994 0.002667
p483 -100.711000 61.078000 -0.009018 -0.006662 -0.001361 0.002358 0.002239 0.004703
p484 -105.647000 96.140300 -0.003111 -0.005195 -0.000277 0.001169 0.003088 0.001561
p485 -85.841400 77.896700 -0.000490 -0.003136 0.000257 0.001344 0.002894 0.001093
p486 -77.792300 83.486800 -0.001773 -0.008894 -0.007004 0.002354 0.003751 0.002995
