# created in copost_inversion_constraint.m in /Users/sbarbot/Documents/work/eqcycle/matlab
# created in copost_inversion_constraint, line 602
# i   v(m/yr)     n(km)     e(km) depth length width strike   dip  rake
001  0.00e+00 -2.86e+00  2.65e+00 14.00    2.0   1.0  -37.6  90.0   1.0
002  0.00e+00 -1.28e+00  1.43e+00 14.00    2.0   1.0  -37.6  90.0   1.0
003  0.00e+00  3.09e-01  2.09e-01 14.00    2.0   1.0  -37.6  90.0   1.0
004  0.00e+00  1.89e+00 -1.01e+00 14.00    2.0   1.0  -37.6  90.0   1.0
005  0.00e+00  3.48e+00 -2.23e+00 14.00    2.0   1.0  -37.6  90.0   1.0
006  0.00e+00  5.06e+00 -3.45e+00 14.00    2.0   1.0  -37.6  90.0   1.0
007  0.00e+00  6.65e+00 -4.67e+00 14.00    2.0   1.0  -37.6  90.0   1.0
008  0.00e+00  8.23e+00 -5.89e+00 14.00    2.0   1.0  -37.6  90.0   1.0
009  0.00e+00  9.82e+00 -7.11e+00 14.00    2.0   1.0  -37.6  90.0   1.0
010  0.00e+00  1.14e+01 -8.33e+00 14.00    2.0   1.0  -37.6  90.0   1.0
011  0.00e+00  1.30e+01 -9.55e+00 14.00    2.0   1.0  -37.6  90.0   1.0
012  0.00e+00  1.46e+01 -1.08e+01 14.00    2.0   1.0  -37.6  90.0   1.0
013  0.00e+00  1.62e+01 -1.20e+01 14.00    2.0   1.0  -37.6  90.0   1.0
014  0.00e+00  1.77e+01 -1.32e+01 14.00    2.0   1.0  -37.6  90.0   1.0
015  0.00e+00  1.93e+01 -1.44e+01 14.00    2.0   1.0  -37.6  90.0   1.0
016  0.00e+00  2.09e+01 -1.57e+01 14.00    2.0   1.0  -37.6  90.0   1.0
017  0.00e+00  2.25e+01 -1.69e+01 14.00    2.0   1.0  -37.6  90.0   1.0
018  0.00e+00  2.41e+01 -1.81e+01 14.00    2.0   1.0  -37.6  90.0   1.0
019  0.00e+00  2.57e+01 -1.93e+01 14.00    2.0   1.0  -37.6  90.0   1.0
020  0.00e+00  2.72e+01 -2.05e+01 14.00    2.0   1.0  -37.6  90.0   1.0
021  0.00e+00 -2.86e+00  2.65e+00 13.00    2.0   1.0  -37.6  90.0   1.0
022  0.00e+00 -1.28e+00  1.43e+00 13.00    2.0   1.0  -37.6  90.0   1.0
023  0.00e+00  3.09e-01  2.09e-01 13.00    2.0   1.0  -37.6  90.0   1.0
024  0.00e+00  1.89e+00 -1.01e+00 13.00    2.0   1.0  -37.6  90.0   1.0
025  0.00e+00  3.48e+00 -2.23e+00 13.00    2.0   1.0  -37.6  90.0   1.0
026  0.00e+00  5.06e+00 -3.45e+00 13.00    2.0   1.0  -37.6  90.0   1.0
027  0.00e+00  6.65e+00 -4.67e+00 13.00    2.0   1.0  -37.6  90.0   1.0
028  0.00e+00  8.23e+00 -5.89e+00 13.00    2.0   1.0  -37.6  90.0   1.0
029  0.00e+00  9.82e+00 -7.11e+00 13.00    2.0   1.0  -37.6  90.0   1.0
030  2.06e-02  1.14e+01 -8.33e+00 13.00    2.0   1.0  -37.6  90.0   1.0
031  2.91e-02  1.30e+01 -9.55e+00 13.00    2.0   1.0  -37.6  90.0   1.0
032  1.30e-02  1.46e+01 -1.08e+01 13.00    2.0   1.0  -37.6  90.0   1.0
033  0.00e+00  1.62e+01 -1.20e+01 13.00    2.0   1.0  -37.6  90.0   1.0
034  0.00e+00  1.77e+01 -1.32e+01 13.00    2.0   1.0  -37.6  90.0   1.0
035  0.00e+00  1.93e+01 -1.44e+01 13.00    2.0   1.0  -37.6  90.0   1.0
036  0.00e+00  2.09e+01 -1.57e+01 13.00    2.0   1.0  -37.6  90.0   1.0
037  0.00e+00  2.25e+01 -1.69e+01 13.00    2.0   1.0  -37.6  90.0   1.0
038  0.00e+00  2.41e+01 -1.81e+01 13.00    2.0   1.0  -37.6  90.0   1.0
039  0.00e+00  2.57e+01 -1.93e+01 13.00    2.0   1.0  -37.6  90.0   1.0
040  0.00e+00  2.72e+01 -2.05e+01 13.00    2.0   1.0  -37.6  90.0   1.0
041  0.00e+00 -2.86e+00  2.65e+00 12.00    2.0   1.0  -37.6  90.0   1.0
042  1.20e-02 -1.28e+00  1.43e+00 12.00    2.0   1.0  -37.6  90.0   1.0
043  2.36e-03  3.09e-01  2.09e-01 12.00    2.0   1.0  -37.6  90.0   1.0
