# n      slip         x1         x2        x3 length width strike dip    rake
001 1.000e+00 -9.903e+01 -1.249e+02 6.734e+00     20    16    315  12  76.667
002 1.000e+00 -8.498e+01 -1.391e+02 6.734e+00     20    16    315  12  82.000
003 1.000e-02 -1.470e+01 -2.101e+02 6.734e+00     20    16    315  12  74.000
004 1.000e+00 -1.161e+02 -8.544e+01 1.006e+01     20    16    315  12 102.000
005 1.000e+00 -1.021e+02 -9.965e+01 1.006e+01     20    16    315  12  87.333
006 2.000e+00 -8.801e+01 -1.139e+02 1.006e+01     20    16    315  12  88.667
007 2.000e+00 -7.395e+01 -1.281e+02 1.006e+01     20    16    315  12  88.667
008 1.000e+00 -5.990e+01 -1.422e+02 1.006e+01     20    16    315  12  87.333
009 1.000e+00 -1.191e+02 -6.016e+01 1.339e+01     20    16    315  12 100.667
010 2.000e+00 -1.051e+02 -7.437e+01 1.339e+01     20    16    315  12 104.667
011 3.000e+00 -9.103e+01 -8.857e+01 1.339e+01     20    16    315  12  96.667
012 4.000e+00 -7.698e+01 -1.028e+02 1.339e+01     20    16    315  12  87.333
013 4.000e+00 -6.292e+01 -1.170e+02 1.339e+01     20    16    315  12  79.333
014 2.000e+00 -4.887e+01 -1.312e+02 1.339e+01     20    16    315  12  71.333
015 1.000e+00 3.545e+01 -2.163e+02 1.339e+01     20    16    315  12  72.667
016 1.000e+00 4.950e+01 -2.304e+02 1.339e+01     20    16    315  12  74.000
017 1.000e+00 6.356e+01 -2.446e+02 1.339e+01     20    16    315  12  75.333
018 1.000e+00 -1.081e+02 -4.907e+01 1.671e+01     20    16    315  12  84.667
019 3.000e+00 -9.405e+01 -6.328e+01 1.671e+01     20    16    315  12  92.667
020 5.000e+00 -8.000e+01 -7.749e+01 1.671e+01     20    16    315  12  87.333
021 7.000e+00 -6.594e+01 -9.170e+01 1.671e+01     20    16    315  12  78.000
022 7.000e+00 -5.189e+01 -1.059e+02 1.671e+01     20    16    315  12  72.667
023 4.000e+00 -3.784e+01 -1.201e+02 1.671e+01     20    16    315  12  71.333
024 1.000e+00 -2.379e+01 -1.343e+02 1.671e+01     20    16    315  12  72.667
025 1.000e+00 3.242e+01 -1.910e+02 1.671e+01     20    16    315  12  90.000
026 2.000e+00 4.647e+01 -2.052e+02 1.671e+01     20    16    315  12  76.667
027 2.000e+00 6.052e+01 -2.194e+02 1.671e+01     20    16    315  12  80.667
028 2.000e+00 7.458e+01 -2.335e+02 1.671e+01     20    16    315  12  80.667
029 1.000e+00 -9.707e+01 -3.800e+01 2.004e+01     20    16    315  12  96.667
030 4.000e+00 -8.301e+01 -5.221e+01 2.004e+01     20    16    315  12  96.667
031 7.000e+00 -6.896e+01 -6.641e+01 2.004e+01     20    16    315  12  87.333
032 9.000e+00 -5.491e+01 -8.062e+01 2.004e+01     20    16    315  12  76.667
033 8.000e+00 -4.086e+01 -9.482e+01 2.004e+01     20    16    315  12  71.333
034 5.000e+00 -2.681e+01 -1.090e+02 2.004e+01     20    16    315  12  70.000
035 2.000e+00 -1.276e+01 -1.232e+02 2.004e+01     20    16    315  12  72.667
036 1.000e+00 1.291e+00 -1.374e+02 2.004e+01     20    16    315  12  88.667
037 1.000e+00 1.534e+01 -1.516e+02 2.004e+01     20    16    315  12  76.667
038 2.000e+00 2.939e+01 -1.658e+02 2.004e+01     20    16    315  12  92.667
039 3.000e+00 4.344e+01 -1.800e+02 2.004e+01     20    16    315  12  94.000
040 4.000e+00 5.749e+01 -1.941e+02 2.004e+01     20    16    315  12  99.333
041 3.000e+00 7.155e+01 -2.083e+02 2.004e+01     20    16    315  12  98.000
042 2.000e+00 8.560e+01 -2.225e+02 2.004e+01     20    16    315  12  91.333
043 1.000e+00 -1.001e+02 -1.269e+01 2.337e+01     20    16    315  12 108.667
044 3.000e+00 -8.603e+01 -2.691e+01 2.337e+01     20    16    315  12 100.667
045 6.000e+00 -7.197e+01 -4.113e+01 2.337e+01     20    16    315  12  91.333
046 8.000e+00 -5.792e+01 -5.534e+01 2.337e+01     20    16    315  12  87.333
047 9.000e+00 -4.387e+01 -6.955e+01 2.337e+01     20    16    315  12  79.333
048 8.000e+00 -2.982e+01 -8.376e+01 2.337e+01     20    16    315  12  74.000
049 5.000e+00 -1.577e+01 -9.795e+01 2.337e+01     20    16    315  12  76.667
050 3.000e+00 -1.725e+00 -1.121e+02 2.337e+01     20    16    315  12  80.667
051 2.000e+00 1.232e+01 -1.263e+02 2.337e+01     20    16    315  12 102.000
052 3.000e+00 2.637e+01 -1.405e+02 2.337e+01     20    16    315  12 103.333
053 4.000e+00 4.042e+01 -1.547e+02 2.337e+01     20    16    315  12 104.667
054 5.000e+00 5.447e+01 -1.689e+02 2.337e+01     20    16    315  12 100.667
055 6.000e+00 6.852e+01 -1.831e+02 2.337e+01     20    16    315  12 100.667
056 5.000e+00 8.257e+01 -1.973e+02 2.337e+01     20    16    315  12 102.000
057 3.000e+00 9.662e+01 -2.114e+02 2.337e+01     20    16    315  12 102.000
058 2.000e+00 -8.903e+01 -1.620e+00 2.669e+01     20    16    315  12 100.667
059 5.000e+00 -7.498e+01 -1.584e+01 2.669e+01     20    16    315  12  88.667
060 8.000e+00 -6.093e+01 -3.005e+01 2.669e+01     20    16    315  12  91.333
061 1.000e+01 -4.688e+01 -4.426e+01 2.669e+01     20    16    315  12  92.667
062 9.000e+00 -3.283e+01 -5.847e+01 2.669e+01     20    16    315  12  88.667
063 8.000e+00 -1.878e+01 -7.268e+01 2.669e+01     20    16    315  12  83.333
064 6.000e+00 -4.736e+00 -8.689e+01 2.669e+01     20    16    315  12  88.667
065 4.000e+00 9.310e+00 -1.011e+02 2.669e+01     20    16    315  12  92.667
066 4.000e+00 2.336e+01 -1.153e+02 2.669e+01     20    16    315  12 102.000
067 5.000e+00 3.740e+01 -1.295e+02 2.669e+01     20    16    315  12 108.667
068 7.000e+00 5.145e+01 -1.437e+02 2.669e+01     20    16    315  12 108.667
069 8.000e+00 6.550e+01 -1.578e+02 2.669e+01     20    16    315  12 103.333
070 8.000e+00 7.955e+01 -1.720e+02 2.669e+01     20    16    315  12 104.667
071 7.000e+00 9.360e+01 -1.862e+02 2.669e+01     20    16    315  12 106.000
072 4.000e+00 1.076e+02 -2.004e+02 2.669e+01     20    16    315  12 100.667
073 3.000e+00 -7.799e+01 9.463e+00 3.002e+01     20    16    315  12  95.333
074 7.000e+00 -6.394e+01 -4.760e+00 3.002e+01     20    16    315  12  87.333
075 1.000e+01 -4.989e+01 -1.898e+01 3.002e+01     20    16    315  12  88.667
076 1.100e+01 -3.584e+01 -3.320e+01 3.002e+01     20    16    315  12  95.333
077 1.000e+01 -2.179e+01 -4.741e+01 3.002e+01     20    16    315  12  98.000
078 9.000e+00 -7.742e+00 -6.161e+01 3.002e+01     20    16    315  12  98.000
079 7.000e+00 6.304e+00 -7.582e+01 3.002e+01     20    16    315  12  98.000
080 6.000e+00 2.035e+01 -9.002e+01 3.002e+01     20    16    315  12 103.333
081 6.000e+00 3.439e+01 -1.042e+02 3.002e+01     20    16    315  12 103.333
082 8.000e+00 4.844e+01 -1.184e+02 3.002e+01     20    16    315  12 107.333
083 1.000e+01 6.248e+01 -1.326e+02 3.002e+01     20    16    315  12 108.667
084 1.100e+01 7.653e+01 -1.468e+02 3.002e+01     20    16    315  12 107.333
085 1.100e+01 9.058e+01 -1.610e+02 3.002e+01     20    16    315  12 106.000
086 9.000e+00 1.046e+02 -1.751e+02 3.002e+01     20    16    315  12 107.333
087 5.000e+00 1.187e+02 -1.893e+02 3.002e+01     20    16    315  12 106.000
088 3.000e+00 -6.694e+01 2.053e+01 3.335e+01     20    16    315  12  92.667
089 6.000e+00 -5.289e+01 6.307e+00 3.335e+01     20    16    315  12  86.000
