# nb  slip      x1      x2      x3   length  width strike dip  rake
  1  93.12  -49.90 -289.04    7.60    20.00  20.00    326   8 135.5
  2 102.80  -33.40 -300.27    7.60    20.00  20.00    326   8 156.2
  3  53.33  -16.90 -311.48    7.60    20.00  20.00    326   8 155.7
  4  80.30   -0.40 -322.69    7.60    20.00  20.00    326   8 156.8
  5 105.43   16.10 -333.90    7.60    20.00  20.00    326   8 155.2
  6 118.21   32.60 -345.11    7.60    20.00  20.00    326   8 131.0
  7 206.38   49.12 -356.31    7.60    20.00  20.00    326   8 142.6
  8 203.96   65.63 -367.52    7.60    20.00  20.00    326   8 147.6
  9 198.99   82.14 -378.72    7.60    20.00  20.00    326   8 149.9
 10 252.59   98.65 -389.94    7.60    20.00  20.00    326   8 148.2
 11 312.31  115.17 -401.14    7.60    20.00  20.00    326   8 155.4
 12 282.85  131.69 -412.34    7.60    20.00  20.00    326   8 157.7
 13 300.90  148.21 -423.53    7.60    20.00  20.00    326   8 157.3
 14 267.37  164.75 -434.73    7.60    20.00  20.00    326   8 157.6
 15 237.49  181.28 -445.92    7.60    20.00  20.00    326   8 157.4
 16 228.76  197.81 -457.10    7.60    20.00  20.00    326   8 143.1
 17 316.82  214.35 -468.30    7.60    20.00  20.00    326   8 133.1
 18 214.58  230.89 -479.48    7.60    20.00  20.00    326   8 149.6
 19  98.73  247.44 -490.66    7.60    20.00  20.00    326   8 156.9
 20  96.31  -38.88 -272.59   10.38    20.00  20.00    326   8 124.9
 21  76.50  -22.39 -283.80   10.38    20.00  20.00    326   8 155.0
 22  32.83   -5.88 -295.01   10.38    20.00  20.00    326   8 157.4
 23  91.58   10.62 -306.22   10.38    20.00  20.00    326   8 157.6
 24 159.70   27.12 -317.43   10.38    20.00  20.00    326   8 137.4
 25 255.54   43.63 -328.65   10.38    20.00  20.00    326   8 106.9
 26 352.03   60.13 -339.85   10.38    20.00  20.00    326   8 115.8
 27 402.95   76.64 -351.06   10.38    20.00  20.00    326   8 118.0
 28 415.37   93.16 -362.26   10.38    20.00  20.00    326   8 118.0
 29 405.30  109.67 -373.46   10.38    20.00  20.00    326   8 124.0
 30 405.86  126.19 -384.66   10.38    20.00  20.00    326   8 144.2
 31 347.90  142.70 -395.85   10.38    20.00  20.00    326   8 157.6
 32 277.40  159.23 -407.05   10.38    20.00  20.00    326   8 157.2
 33 250.35  175.75 -418.25   10.38    20.00  20.00    326   8 156.8
 34 208.68  192.28 -429.44   10.38    20.00  20.00    326   8 157.7
 35 272.02  208.82 -440.62   10.38    20.00  20.00    326   8 157.5
 36 397.62  225.36 -451.81   10.38    20.00  20.00    326   8 143.3
 37 319.56  241.89 -462.98   10.38    20.00  20.00    326   8 149.2
 38  99.39  258.44 -474.16   10.38    20.00  20.00    326   8 148.1
 39  52.50  -27.86 -256.13   13.17    20.00  20.00    326   8 128.8
 40   2.30  -11.36 -267.34   13.17    20.00  20.00    326   8 145.3
 41  19.00    5.13 -278.55   13.17    20.00  20.00    326   8 106.7
 42 134.29   21.63 -289.77   13.17    20.00  20.00    326   8  98.7
 43 326.84   38.14 -300.97   13.17    20.00  20.00    326   8  98.1
 44 552.81   54.65 -312.18   13.17    20.00  20.00    326   8  86.4
 45 658.22   71.15 -323.38   13.17    20.00  20.00    326   8 102.0
 46 723.29   87.66 -334.58   13.17    20.00  20.00    326   8 108.7
 47 732.02  104.16 -345.78   13.17    20.00  20.00    326   8 104.1
 48 631.39  120.68 -356.98   13.17    20.00  20.00    326   8 113.9
 49 523.54  137.19 -368.19   13.17    20.00  20.00    326   8 126.8
 50 464.51  153.72 -379.39   13.17    20.00  20.00    326   8 125.1
 51 423.39  170.24 -390.58   13.17    20.00  20.00    326   8 110.9
 52 329.44  186.76 -401.77   13.17    20.00  20.00    326   8 107.7
 53 184.57  203.28 -412.95   13.17    20.00  20.00    326   8 128.3
 54 250.95  219.81 -424.14   13.17    20.00  20.00    326   8 156.3
 55 389.76  236.35 -435.32   13.17    20.00  20.00    326   8 156.5
 56 335.69  252.89 -446.49   13.17    20.00  20.00    326   8 144.5
 57  99.66  269.43 -457.68   13.17    20.00  20.00    326   8 110.2
 58   1.86  -16.83 -239.68   15.95    20.00  20.00    326   8 126.9
 59  76.80   -0.34 -250.89   15.95    20.00  20.00    326   8  77.8
 60 153.08   16.16 -262.10   15.95    20.00  20.00    326   8  79.4
 61 345.49   32.65 -273.30   15.95    20.00  20.00    326   8  78.6
 62 591.10   49.15 -284.51   15.95    20.00  20.00    326   8  86.2
 63 871.22   65.65 -295.71   15.95    20.00  20.00    326   8  78.0
 64 937.42   82.17 -306.91   15.95    20.00  20.00    326   8  89.0
 65 1010.30   98.67 -318.12   15.95    20.00  20.00    326   8  92.4
 66 939.66  115.18 -329.32   15.95    20.00  20.00    326   8  94.2
 67 803.58  131.69 -340.52   15.95    20.00  20.00    326   8 106.0
 68 680.55  148.20 -351.72   15.95    20.00  20.00    326   8 107.3
 69 713.97  164.72 -362.91   15.95    20.00  20.00    326   8 100.3
 70 732.28  181.23 -374.10   15.95    20.00  20.00    326   8  96.9
 71 546.48  197.77 -385.29   15.95    20.00  20.00    326   8 105.6
 72 302.00  214.29 -396.47   15.95    20.00  20.00    326   8  93.4
 73 164.29  230.82 -407.66   15.95    20.00  20.00    326   8 157.2
 74 215.09  247.35 -418.84   15.95    20.00  20.00    326   8 125.2
 75 261.40  263.88 -430.02   15.95    20.00  20.00    326   8 122.6
 76  99.27  280.42 -441.19   15.95    20.00  20.00    326   8  91.8
 77   0.60   -5.82 -223.22   18.73    20.00  20.00    326   8 128.6
 78 128.38   10.67 -234.43   18.73    20.00  20.00    326   8  78.8
 79 268.38   27.18 -245.63   18.73    20.00  20.00    326   8  78.4
 80 508.58   43.67 -256.84   18.73    20.00  20.00    326   8  78.4
 81 820.28   60.17 -268.05   18.73    20.00  20.00    326   8  78.0
 82 1112.96   76.67 -279.25   18.73    20.00  20.00    326   8  77.8
 83 1206.01   93.17 -290.46   18.73    20.00  20.00    326   8  78.2
 84 1139.31  109.68 -301.66   18.73    20.00  20.00    326   8  80.8
 85 910.99  126.19 -312.85   18.73    20.00  20.00    326   8  84.2
 86 707.13  142.70 -324.05   18.73    20.00  20.00    326   8  88.8
 87 635.30  159.21 -335.24   18.73    20.00  20.00    326   8  95.5
 88 797.62  175.73 -346.43   18.73    20.00  20.00    326   8  93.0
 89 857.80  192.24 -357.63   18.73    20.00  20.00    326   8  85.5
 90 585.60  208.76 -368.82   18.73    20.00  20.00    326   8  93.9
 91 342.34  225.28 -380.00   18.73    20.00  20.00    326   8  99.0
 92  94.25  241.82 -391.18   18.73    20.00  20.00    326   8 110.8
 93  83.40  258.35 -402.36   18.73    20.00  20.00    326   8 157.2
 94 106.84  274.88 -413.53   18.73    20.00  20.00    326   8 143.8
 95  97.60  291.41 -424.70   18.73    20.00  20.00    326   8  78.9
 96   2.24    5.20 -206.76   21.52    20.00  20.00    326   8 156.0
 97 105.60   21.69 -217.97   21.52    20.00  20.00    326   8  81.4
 98 239.88   38.19 -229.18   21.52    20.00  20.00    326   8  78.4
 99 416.45   54.68 -240.39   21.52    20.00  20.00    326   8  92.0
100 704.83   71.19 -251.59   21.52    20.00  20.00    326   8  78.4
101 1079.92   87.69 -262.79   21.52    20.00  20.00    326   8  81.1
102 1249.61  104.19 -273.99   21.52    20.00  20.00    326   8  78.0
103 1054.60  120.69 -285.19   21.52    20.00  20.00    326   8  82.2
104 674.06  137.20 -296.39   21.52    20.00  20.00    326   8  85.1
105 429.62  153.70 -307.59   21.52    20.00  20.00    326   8  87.1
106 347.89  170.21 -318.78   21.52    20.00  20.00    326   8  94.8
107 448.96  186.73 -329.97   21.52    20.00  20.00    326   8  88.6
108 425.35  203.25 -341.16   21.52    20.00  20.00    326   8  78.5
109 263.93  219.77 -352.34   21.52    20.00  20.00    326   8  78.2
110 196.94  236.29 -363.53   21.52    20.00  20.00    326   8 121.4
111  93.03  252.81 -374.70   21.52    20.00  20.00    326   8 126.5
112   0.75  269.34 -385.89   21.52    20.00  20.00    326   8 147.5
113  69.99  285.88 -397.06   21.52    20.00  20.00    326   8  78.1
114  89.91  302.41 -408.23   21.52    20.00  20.00    326   8  87.5
115   9.16   16.22 -190.31   24.30    20.00  20.00    326   8 157.5
116  88.53   32.71 -201.52   24.30    20.00  20.00    326   8 139.6
117  87.80   49.20 -212.72   24.30    20.00  20.00    326   8 105.7
118 203.65   65.70 -223.92   24.30    20.00  20.00    326   8 142.1
119 300.55   82.20 -235.13   24.30    20.00  20.00    326   8  85.2
120 724.15   98.69 -246.33   24.30    20.00  20.00    326   8  85.4
121 935.61  115.20 -257.54   24.30    20.00  20.00    326   8  84.3
122 689.67  131.71 -268.73   24.30    20.00  20.00    326   8  89.1
123 282.51  148.21 -279.93   24.30    20.00  20.00    326   8  83.2
124 157.45  164.71 -291.12   24.30    20.00  20.00    326   8  96.5
125 244.51  181.22 -302.31   24.30    20.00  20.00    326   8 138.1
126 341.59  197.73 -313.50   24.30    20.00  20.00    326   8 137.7
127 170.97  214.24 -324.69   24.30    20.00  20.00    326   8 152.4
128 144.73  230.77 -335.87   24.30    20.00  20.00    326   8 145.4
129 358.08  247.29 -347.06   24.30    20.00  20.00    326   8 157.7
130 348.98  263.81 -358.24   24.30    20.00  20.00    326   8 149.1
131 156.69  280.33 -369.41   24.30    20.00  20.00    326   8  91.8
132  55.33  296.86 -380.58   24.30    20.00  20.00    326   8 157.4
133  85.33  313.39 -391.75   24.30    20.00  20.00    326   8 153.4
134   0.57   27.22 -173.85   27.08    20.00  20.00    326   8 106.4
135  59.14   43.73 -185.06   27.08    20.00  20.00    326   8 155.0
136   6.79   60.22 -196.26   27.08    20.00  20.00    326   8  93.0
137  84.86   76.72 -207.47   27.08    20.00  20.00    326   8 157.7
138   1.20   93.21 -218.68   27.08    20.00  20.00    326   8 119.7
