# no NAME x1 x2 x3
1 BANC 134.994333 48.416379 0.000000
2 CHEN -75.363004 39.067354 0.000000
3 CHIA -29.824020 -56.501438 0.000000
4 CHNL -43.226427 -43.411341 0.000000
5 CHYN -40.934467 -71.265986 0.000000
6 CK01 -87.020943 -80.364941 0.000000
7 FCWS 118.950051 28.795845 0.000000
8 FIVE 142.772233 82.705727 0.000000
9 FLNM -3.600219 48.012958 0.000000
10 GAIS -76.148210 -41.185686 0.000000
11 HENC -195.613454 -27.007160 0.000000
12 HOKN -63.328077 -87.658706 0.000000
13 HSIN 116.739766 4.957366 0.000000
14 HUAL 21.599506 64.580955 0.000000
15 ILAN 108.786666 79.923464 0.000000
16 KDNM -201.702439 -23.428318 0.000000
17 KULN -48.234332 -49.277258 0.000000
18 LANY -192.928827 56.832896 0.000000
19 LIUC -157.019581 -65.329403 0.000000
20 NCTU 112.445058 3.175428 0.000000
21 PANG -20.296178 -145.182139 0.000000
22 PINT -1.376764 -34.835671 0.000000
23 PKGM -20.290041 -69.374990 0.000000
24 S011 -61.842825 -66.678693 0.000000
25 S012 -78.275601 -51.709854 0.000000
26 S016 45.266303 -17.556755 0.000000
27 S058 -50.871859 47.605630 0.000000
28 S01R -10.379850 -142.011515 0.000000
29 S092 -64.455528 -47.353679 0.000000
30 S101 139.545914 65.805507 0.000000
31 S102 -192.939995 56.843113 0.000000
32 S103 -22.323022 -52.076732 0.000000
33 S104 -105.769567 19.819916 0.000000
34 S105 -91.176022 12.152498 0.000000
35 S106 -78.959434 -67.534669 0.000000
36 S167 20.120297 -4.591368 0.000000
37 S23R -124.388554 -40.370005 0.000000
38 SANI 71.329946 -20.615251 0.000000
39 SUAO 89.687797 90.940066 0.000000
40 SUN1 12.051397 -7.327515 0.000000
41 TMAM -128.197152 0.841891 0.000000
42 TSHO -95.232502 -66.002996 0.000000
43 WUFN 30.282095 -28.323486 0.000000
44 YMSM 153.453202 61.936191 0.000000
45 YUSN -31.649323 -2.788163 0.000000
