# nb    s       x1      x2 x3  length width strike   dip  rake
1 0.286531 4.80428 -213.603 0 28.2469 16.5 107.564 90 119.249
2 2.05879 -3.71993 -186.673 0 31.8643 16.5 86.8109 90 174.705
3 2.69462 -1.94728 -154.858 0 45.7371 16.5 82.9265 90 165.603
4 1.54 3.68492 -109.469 0 30.0403 16.5 102.848 90 180
5 1.80044 -2.99495 -80.1808 0 26.1471 16.5 101.243 90 178.727
6 2.12462 -8.09293 -54.5355 0 28.7546 16.5 99.2078 90 176.222
7 2.29107 -12.6941 -26.1514 0 14.6165 16.5 96.5141 90 -178.249
8 3.78021 -14.3523 -11.6293 0 19.375 16.5 99.1973 90 179.394
9 5.21246 -17.4491 7.49662 0 29.7345 16.5 95.069 90 178.241
10 3.9246 -20.0763 37.1148 0 33.3903 16.5 98.9264 90 -172.386
11 5.36974 -25.2573 70.1007 0 35.1079 16.5 98.265 90 -175.086
12 3.23966 -30.3041 104.844 0 26.0727 16.5 98.0938 90 -175.574
13 3.32175 -33.975 130.657 0 20.6168 16.5 103.395 90 -159.928
14 2.6918 -38.862 150.715 0 26.9558 16.5 100.387 90 -156.578
15 2.51734 -43.7221 177.229 0 30.8066 16.5 97.7523 90 -171.548
16 1.3406 -47.8776 207.754 0 30.3743 16.5 102.813 90 178.29
